gene,spearman_r,p_value,n_samples
C1orf116,0.9299,1.153483845222695e-52,119
ABAT,0.9294,1.777898453562189e-52,119
ERAP2,0.923,2.4158163359204628e-50,119
NOSTRIN,0.921,1.0292721288725524e-49,119
DNAJC12,0.9191,3.88865922544175e-49,119
PADI2,0.916,3.135698071781229e-48,119
DCLK1,0.9159,3.357473485149716e-48,119
HSPA2,0.9138,1.335335519684007e-47,119
AGR3,0.9081,4.8263475867447276e-46,119
ESR1,0.9075,7.01414639378664e-46,119
VWA5A,0.907,9.291011093297736e-46,119
ACSS3,0.9066,1.1894438534113222e-45,119
PHGDH,0.9064,1.3156945388868671e-45,119
AR,0.9055,2.2924777682509675e-45,119
CA8,0.9036,6.717489877630026e-45,119
AGR2,0.9024,1.348102532064293e-44,119
NLRP2,0.9009,3.22571810399694e-44,119
POF1B,0.9,5.187005633167339e-44,119
ACADSB,0.8999,5.559608298116432e-44,119
UGDH,0.8986,1.1164323554060138e-43,119
LAD1,0.8981,1.5112162389745529e-43,119
MAOA,0.8979,1.6767536242665707e-43,119
RRM2,0.8944,1.058341390843905e-42,119
AS3MT,0.8938,1.5078507386501967e-42,119
INPP4B,0.8937,1.521234459683546e-42,119
HSPA4L,0.8933,1.8824046918776237e-42,119
GSTM3,0.8921,3.4830469158942e-42,119
MAOB,0.8913,5.2610416110396185e-42,119
PREX1,0.8898,1.115697005669296e-41,119
NAT1,0.8898,1.1398501106383907e-41,119
FAM83B,0.8869,4.744480597028433e-41,119
SERPINB5,0.8862,6.698777725229968e-41,119
RABEP1,0.8862,6.584406373601299e-41,119
SEC14L2,0.8833,2.6214641631591536e-40,119
BAIAP2L1,0.8829,3.1917706508154798e-40,119
TSPYL5,0.8822,4.4414020092587705e-40,119
IRS1,0.8822,4.549479338427974e-40,119
TBC1D9,0.8817,5.719435898198537e-40,119
CRAT,0.8815,6.053254967712135e-40,119
SYTL4,0.8813,6.646782217979877e-40,119
COL11A1,0.8801,1.195535663407391e-39,119
PFKP,0.8794,1.6013546083744546e-39,119
ASS1,0.8787,2.2309745889126626e-39,119
DACH1,0.8779,3.259446752123017e-39,119
NDC80,0.8779,3.2264410596046424e-39,119
GBP5,0.8771,4.65901000875327e-39,119
PSAT1,0.8767,5.5276341151759464e-39,119
ANXA3,0.8743,1.572764900234425e-38,119
STK39,0.8727,3.1323799877583137e-38,119
NMNAT3,0.8725,3.4581529608406883e-38,119
CHDH,0.8698,1.0799132495235304e-37,119
C1orf21,0.8698,1.0842656051206808e-37,119
KIF13B,0.8692,1.364828745638922e-37,119
HLA-DQA1,0.8692,1.9680927065737448e-35,112
REPS2,0.8691,1.4313305714198426e-37,119
ACSS1,0.8686,1.756261516983069e-37,119
CA12,0.8676,2.6265930894425907e-37,119
TRIM36,0.8673,2.982515633687189e-37,119
TFAP2B,0.8665,4.1573525939936026e-37,119
MX1,0.8662,4.742629631701648e-37,119
SLC25A4,0.8661,4.995146683008183e-37,119
KIF2C,0.8658,5.498078448913619e-37,119
DPYSL3,0.8654,6.445678498702792e-37,119
GATA3,0.8652,7.013467736653702e-37,119
AIF1L,0.8651,7.316275034823805e-37,119
NDRG2,0.8645,9.321458828668744e-37,119
ZNF703,0.8642,1.0741899896264454e-36,119
PPM1H,0.8641,1.117458322934406e-36,119
ABLIM3,0.8636,1.3570408376938632e-36,119
DEPTOR,0.8635,1.4050467444136799e-36,119
OSBPL6,0.863,1.7467162416175773e-36,119
PPFIBP2,0.863,1.7217348180920062e-36,119
PHYHD1,0.8624,2.1743758248607948e-36,119
SYBU,0.8613,3.4180500321629165e-36,119
SLC9A3R1,0.8612,3.536377633654377e-36,119
SH2D4A,0.8611,3.6967417198805994e-36,119
KIF16B,0.861,3.717947773088597e-36,119
FKBP4,0.86,5.6151363878442566e-36,119
IQGAP2,0.8597,6.287057285085748e-36,119
GBP1,0.8597,6.374272519615086e-36,119
MSI2,0.8591,8.018518258492555e-36,119
ITGB6,0.8591,7.987319738871251e-36,119
TMC5,0.8589,1.867262066532524e-33,111
CROT,0.8588,8.89051775738448e-36,119
GALNT6,0.8584,1.0199107698336667e-35,119
FAP,0.858,1.2144759305238384e-35,119
CAB39L,0.8569,1.8173271735531233e-35,119
SNCG,0.8558,2.728801521224811e-35,119
LRRC15,0.8555,3.045730241895192e-35,119
LMOD1,0.8548,4.0172406073216536e-35,119
TRIP13,0.8548,3.9530331736899596e-35,119
CLSTN2,0.8545,4.411807463637277e-35,119
ZNF516,0.8544,4.6227815789037767e-35,119
CRYBG1,0.8542,4.996714270502687e-35,119
TANC2,0.854,5.398388429758035e-35,119
LAMC2,0.8527,8.806144515256866e-35,119
STAT1,0.8525,9.363477988521303e-35,119
SEPTIN3,0.8521,1.0685405825779822e-34,119
B3GALT5,0.8516,0.00022021941625366217,13
GOLM1,0.8513,1.4617976265600975e-34,119
HSPB8,0.8513,1.450227151987497e-34,119
SULT2B1,0.8511,1.5607204037073478e-34,119
RERG,0.8502,2.180891726602816e-34,119
DNMT3B,0.8498,5.58790857753614e-07,22
COL1A2,0.8495,2.7690905487604693e-34,119
CALB2,0.8491,3.229891875191582e-34,119
NDRG1,0.8487,3.646789486689622e-34,119
CRABP2,0.8486,3.8204959616611362e-34,119
OTUD7B,0.8485,3.977797065733806e-34,119
GPHN,0.8482,4.483803004550921e-34,119
GPR39,0.8477,8.921082740674428e-06,18
GPD1L,0.8474,5.874513080241824e-34,119
SFXN2,0.8468,7.26443456664419e-34,119
TNIK,0.8467,7.398096312150013e-34,119
MAP7,0.8464,8.41209277877642e-34,119
CORO2A,0.8462,8.809633758405629e-34,119
GRB10,0.846,9.70057152632054e-34,119
XPO5,0.8458,1.0382385726666578e-33,119
CES1,0.8456,1.0917117587975046e-33,119
NR4A2,0.8456,1.909472573742939e-05,17
SH3BP4,0.845,1.3548991112676897e-33,119
TPD52L1,0.8446,1.5447655245130345e-33,119
COL3A1,0.8437,2.119777345748926e-33,119
IRF9,0.8434,2.3460343025321116e-33,119
ARMCX2,0.843,2.6943292119086344e-33,119
COMP,0.8429,2.7901006582100377e-33,119
NCCRP1,0.8428,2.940858460892458e-33,119
DNAJA4,0.8427,2.987705479333513e-33,119
HID1,0.8425,3.1916836745405175e-33,119
NUCB2,0.8425,3.2139830201923076e-33,119
MISP,0.842,3.8731279414107524e-33,119
HSPH1,0.8419,3.900830418346996e-33,119
RIPK3,0.8417,4.2687699655985186e-33,119
CLIC6,0.8414,4.592818841500972e-33,119
CGNL1,0.8409,5.530775867360205e-33,119
SMARCA1,0.8408,5.629087052106641e-33,119
THSD4,0.8405,6.256760298119459e-33,119
MAGED1,0.8404,6.484366317463498e-33,119
BLMH,0.8404,6.485151120365336e-33,119
ARHGAP10,0.8403,6.821288192467743e-33,119
TRIM3,0.8402,6.980088193050488e-33,119
RHPN2,0.8402,6.993768152607884e-33,119
AK4,0.8401,7.339034761598638e-33,119
IRF4,0.8398,1.711137108546659e-31,114
MINDY1,0.8397,8.179524285751357e-33,119
PLEKHS1,0.8396,8.664423101763883e-33,119
CELSR1,0.8395,8.93708748955461e-33,119
KHDRBS3,0.8391,1.0097034148257832e-32,119
CADM1,0.8391,1.0254253159991808e-32,119
ALDH4A1,0.8388,1.1098870062519702e-32,119
CDH3,0.8388,1.1172395202079777e-32,119
