gene,spearman_r,p_value,n_samples
ALOX5,0.9636,9.777616139941799e-107,185
GSTM3,0.9602,2.958957237533025e-103,185
GBP2,0.953,7.816154152204465e-97,185
FYB1,0.9499,2.2985696947872038e-94,185
COBL,0.9497,3.0366897481119297e-94,185
PLCL1,0.9494,5.150566393236454e-94,185
NCKAP1L,0.9475,1.4667804005678433e-92,185
CGNL1,0.9474,1.8597874114350052e-92,185
LCP2,0.9469,4.146430850154383e-92,185
DOCK2,0.9466,6.783248604350056e-92,185
MCAM,0.9465,8.660170080321653e-92,185
MYO1F,0.9435,1.0442295663452244e-89,185
PRUNE2,0.9411,3.9535576097202557e-88,185
TRAC,0.9409,3.9706811695690743e-16,33
ERAP2,0.94,2.1897238862075203e-87,185
TBC1D4,0.9396,4.047400215496605e-87,185
APBB1IP,0.9376,6.771002321788546e-86,185
PTPRC,0.9363,4.0329142095351737e-85,185
FTCD,0.9362,5.154316061286006e-85,185
UCHL1,0.936,6.126801469616366e-85,185
ITGAL,0.9358,9.026329404664627e-85,185
PARVG,0.9351,2.2198841652235893e-84,185
APOBEC3G,0.933,3.58636050084111e-83,185
LAD1,0.9326,6.801815938741967e-83,185
GPHN,0.9326,6.479731683377224e-83,185
PECAM1,0.9325,6.973122913693232e-83,185
PHGDH,0.9323,9.939089249890446e-83,185
FKBP10,0.9319,1.5584224092745684e-82,185
CASP1,0.9304,1.0228308895244808e-81,185
ERO1A,0.93,1.7289384818747465e-81,185
PLCB2,0.9296,2.875988487378687e-81,185
NDRG1,0.9293,4.4733087119236325e-81,185
RASAL3,0.9292,5.166712334463225e-81,185
DOCK11,0.9289,7.0132010993361345e-81,185
DEF6,0.9286,1.0019738817815786e-80,185
CDH13,0.9286,9.981265629457132e-81,185
UBE2L6,0.9283,1.521922145303038e-80,185
TYMP,0.928,2.0639558350675307e-80,185
VAV1,0.9274,4.438389235486504e-80,185
PDCD1,0.9265,2.561397065047752e-07,16
ARHGAP25,0.9265,1.320207954384996e-79,185
HCK,0.9264,1.4895367239591325e-79,185
ARHGAP30,0.9264,1.4816072551396893e-79,185
HIP1R,0.9263,1.7847465282846604e-79,185
TCF21,0.9263,1.9721227123762943e-06,14
SASH3,0.9255,4.313649717277493e-79,185
PYCARD,0.9255,4.428578295493707e-79,185
ALDH1L1,0.9253,5.411135418347069e-79,185
MYO7B,0.9252,6.063541370197602e-79,185
ITGAX,0.9247,1.0729819226724289e-78,185
GMIP,0.9246,1.193817689559705e-78,185
OAS2,0.9246,1.2931254945882897e-78,185
IKBIP,0.9245,1.4099888583004635e-78,185
CPNE2,0.9241,2.130649343839979e-78,185
CLSTN2,0.9241,1.1623685892646333e-10,24
MARCKSL1,0.924,2.6530953186135107e-78,185
HPCAL1,0.924,2.669507957278964e-78,185
ABCB1,0.9238,3.2832082926208487e-78,185
LCP1,0.9233,5.919075423022764e-78,185
ADSS1,0.9229,8.898001420180591e-78,185
LSP1,0.9227,1.1458546467345087e-77,185
MSRA,0.9224,1.4958339860530234e-77,185
CAV1,0.9221,2.2236425059306464e-77,185
NCF2,0.9218,3.0058354355960517e-77,185
VCAM1,0.9217,3.601791168733385e-77,185
CLMN,0.9216,3.789814220603085e-77,185
ENTPD5,0.9212,5.950645678928417e-77,185
DIAPH2,0.9211,7.09467313605973e-77,185
TRIM2,0.9208,9.266821431303568e-77,185
APOBR,0.9206,1.1448010243166963e-76,185
STON2,0.9206,1.2097878839528607e-76,185
WAS,0.9206,1.162035406338156e-76,185
STAT1,0.9206,1.1969188931686121e-76,185
LGALS9,0.9194,8.252096954907162e-73,177
SAMHD1,0.9187,9.961784951712551e-76,185
GBP5,0.9187,9.082853545088851e-76,185
PCYT2,0.9186,1.0887659989916503e-75,185
ANXA1,0.9183,1.4484740144551102e-75,185
COLGALT1,0.9179,2.2346473742606147e-75,185
MAPRE2,0.9174,3.649578388740056e-75,185
STAT2,0.9173,4.4181358096547206e-75,185
MYOF,0.9172,4.929196705344864e-75,185
RAB42,0.9171,8.04983346197938e-72,177
BIN2,0.9169,6.378853453645055e-75,185
PARP14,0.9166,9.087030153066669e-75,185
IFI16,0.9161,1.5443618887091233e-74,185
CD2,0.916,1.5738989844513243e-74,185
ALDOC,0.9159,1.81365819956311e-74,185
PRKCA,0.9159,1.7614813494090597e-74,185
RAB11FIP3,0.9158,1.978460641454772e-74,185
VWF,0.9151,4.366122128043489e-74,185
MAP7,0.915,4.4317346655011505e-74,185
DCLK1,0.9144,8.531874258543833e-74,185
GUCY1A1,0.9143,9.944803535137036e-74,185
ZC3HAV1L,0.9143,9.82543744216803e-74,185
PHYHD1,0.9141,1.1271014112531342e-73,185
SULT1C2,0.9141,1.1172554876513898e-73,185
FAM114A1,0.9139,1.4971253089798264e-73,185
CA4,0.9137,1.8452982376079615e-73,185
CEP170,0.9136,1.8677973067289597e-73,185
STK10,0.9134,2.4802622199428847e-73,185
ADA,0.9134,2.4063148766697988e-73,185
S100A11,0.9132,2.975644808200735e-73,185
TGM2,0.9131,3.142163333832313e-73,185
FERMT3,0.9131,3.1386475602325556e-73,185
CLIC5,0.9131,3.1284491875198206e-73,185
CASP8,0.913,3.4587974874667913e-73,185
PBLD,0.9127,4.632270974759521e-73,185
P4HB,0.9125,5.723658142755517e-73,185
BTK,0.9123,7.248269819323598e-73,185
FHL1,0.9122,1.9227909114222715e-44,112
ASAP2,0.912,9.931642502645598e-73,185
SLC16A7,0.9119,1.1142720480878748e-72,185
HCLS1,0.9116,1.3802608557795506e-72,185
BHMT,0.9114,1.6960021355280067e-72,185
LGALS3,0.9113,1.9455205147143616e-72,185
ARHGAP26,0.9111,2.3780859969337143e-72,185
ME1,0.9111,2.3814348170289983e-72,185
GDA,0.911,2.6962894595571387e-72,185
CCDC8,0.911,2.551249058946075e-72,185
PODXL,0.911,2.676456381554679e-72,185
PHLDA3,0.9108,3.7529651627816577e-69,177
QPRT,0.9105,4.059712393607804e-72,185
CORO1A,0.9101,6.275916649046496e-72,185
TYROBP,0.91,6.9509551153131e-72,185
ERICH5,0.9097,8.923721141974004e-72,185
EPB41L5,0.9096,9.799784316804275e-72,185
ITGB2,0.9093,1.3815374078737309e-71,185
CASP4,0.9093,1.394527475860699e-71,185
SEPTIN1,0.9091,1.6643206329559849e-71,185
PTPN13,0.9089,2.0279345721070742e-71,185
PTPN6,0.9085,2.8328737368410262e-71,185
CCDC88A,0.9085,2.9952880346448163e-71,185
AOC1,0.9081,4.377810256086046e-71,185
OCLN,0.9078,5.630929133593102e-71,185
SORT1,0.9074,8.54822678089742e-71,185
A1CF,0.9073,9.194063065903777e-71,185
CSTA,0.9069,1.322181398705382e-67,177
ARHGEF10,0.9067,1.5207506068833615e-70,185
NIBAN1,0.9066,1.6866428979665292e-70,185
GBP1,0.9066,1.818077750120573e-70,185
SH3PXD2B,0.9064,2.1133388378177793e-70,185
PLEKHA2,0.9062,2.4265016476931536e-70,185
NCF1,0.9061,2.7037745383940128e-70,185
HLA-DRA,0.9053,5.860608289362213e-70,185
FCER1G,0.9053,5.851854398121404e-70,185
INPP5D,0.9053,5.689686142936241e-70,185
HK3,0.9052,6.133402246290064e-70,185
CYBB,0.9051,6.894635534878032e-70,185
LRRC25,0.9051,1.5672254062479556e-63,168
GPD1,0.905,8.031984417981129e-70,185
RGS10,0.905,7.854370776866518e-70,185
CENPV,0.9048,9.216968628753788e-70,185
CD74,0.9046,1.1287883981363719e-69,185
PALM3,0.9046,1.1242678885548402e-69,185
TMSB10,0.9046,1.1150758745605119e-69,185
