gene,spearman_r,p_value,n_samples
ISL2,0.9515,2.279854920641689e-05,10
SCIN,0.9514,6.3081769071198726e-52,100
IGF2BP2,0.9479,1.7374521458807774e-50,100
MYO16,0.9394,5.4840529985136686e-05,10
DAB2,0.9354,4.815832886719934e-46,100
VSIG4,0.9315,7.585657441601281e-45,100
DOCK2,0.9292,3.822486468652685e-44,100
TLR5,0.9281,1.0385054272333306e-08,19
HSPA2,0.9281,7.758653396233517e-44,100
OAS2,0.9281,7.885224860412008e-44,100
NNMT,0.9263,2.505582073808606e-43,100
DOCK5,0.9263,2.4203796012387456e-43,100
MRC1,0.9253,4.808240868887272e-43,100
DOCK8,0.9248,6.539136837132152e-43,100
COLEC12,0.9246,7.490601953901816e-43,100
IFIH1,0.9228,2.2604566559047632e-42,100
GRIK3,0.9218,4.1370694148475e-42,100
AIF1,0.9208,7.294661429082425e-42,100
RHPN2,0.9197,1.4401586364188512e-41,100
FBXO2,0.9186,2.683601965133093e-41,100
F13A1,0.9183,3.251808930986702e-41,100
AIF1L,0.9176,4.780663588337959e-41,100
IL13RA2,0.9175,8.834848995949852e-34,82
TPPP3,0.9173,5.490732299948884e-41,100
IL1RAP,0.9167,7.806508748659963e-41,100
MTTP,0.9162,1.025256201185845e-40,100
ALOX5,0.916,1.143868638500559e-40,100
CARMIL1,0.9147,2.4077234220400193e-40,100
NCKAP1L,0.914,3.6258865815593333e-40,100
STON1,0.9139,5.778180936077037e-26,64
RBP1,0.9129,6.3300330106028245e-40,100
SLC11A1,0.9124,9.521550663255004e-15,36
LRP4,0.9124,8.373969691487492e-40,100
FYB1,0.9118,1.147640792698005e-39,100
SHTN1,0.9104,2.367006135183112e-39,100
MVP,0.9104,2.3941316612945843e-39,100
VAV1,0.9095,3.868728532104789e-39,100
METTL7B,0.909,4.9491904284789006e-39,100
GPR34,0.9086,1.8291438521272982e-07,18
KIF5C,0.9076,9.940962889865873e-39,100
PDLIM4,0.9074,1.1328096601029288e-38,100
IFIT1,0.9072,1.2627230732764107e-38,100
KANK1,0.9072,1.2489588360764637e-38,100
BTBD11,0.9062,2.0546419068309255e-38,100
ARHGAP30,0.9061,2.1770854565772546e-38,100
RBM47,0.9056,2.7641631511463455e-38,100
ASPA,0.9042,5.403749376350028e-38,100
PLS3,0.9036,7.317632618694058e-38,100
STAT6,0.9033,8.697888559940454e-38,100
SPAG1,0.9027,1.1362612649277268e-37,100
SYK,0.9023,1.3903840770007418e-37,100
APBB1IP,0.9022,1.477082454773666e-37,100
LCP1,0.902,1.6112009272617087e-37,100
MSR1,0.901,2.590550683666519e-37,100
ERAP2,0.9005,3.179586073479971e-37,100
HMOX1,0.8994,5.414576255743944e-37,100
SVIL,0.8992,5.762240576572125e-37,100
PIR,0.8988,7.032918115342824e-37,100
HTATIP2,0.8983,8.748377847765818e-37,100
FLNB,0.8978,1.099905965626313e-36,100
DOCK10,0.8977,1.1928842879003433e-36,100
NIBAN1,0.8977,1.1796233877057007e-36,100
PADI2,0.8973,1.4052483582173692e-36,100
SOX6,0.8972,1.4693816099739846e-36,100
CA8,0.8967,1.8798653977223452e-36,100
PTPRC,0.8966,1.9151459042262372e-36,100
C1orf198,0.8961,2.4132941940028214e-36,100
ENPP4,0.8953,3.3670750088243935e-36,100
ELOVL2,0.8951,3.751284597655987e-36,100
SULF1,0.8943,1.1325578247323546e-29,82
AMOT,0.8941,5.8494249583020866e-36,100
NOVA1,0.8937,7.017780679695241e-36,100
NCF2,0.8936,7.137149680677552e-36,100
CASP4,0.8934,7.87951806277822e-36,100
KLHL4,0.8934,7.945438834096912e-36,100
MOXD1,0.8933,8.411232386177698e-36,100
SOX8,0.8932,8.687969863542079e-36,100
SLITRK2,0.8929,9.945661767550361e-36,100
PARVG,0.8922,1.3372310624722056e-35,100
CAV1,0.8922,1.3216705236196529e-35,100
OSBPL3,0.8916,1.7470707050360373e-35,100
RAMP3,0.8914,1.4049556795641337e-13,37
CENPV,0.8913,1.9603803924722823e-35,100
DPP4,0.8912,4.437825743322132e-26,73
STON2,0.8911,2.1344495353770507e-35,100
VCAM1,0.8909,2.3362817685875857e-35,100
SEMA4G,0.8909,0.0005421442248338668,10
ACSS3,0.8908,2.3735515150060782e-35,100
IFIT3,0.8904,2.87557253349168e-35,100
NDRG2,0.8903,2.9609688298169787e-35,100
MAP7,0.8901,3.246825916974143e-35,100
SPON1,0.8898,3.7123980186432583e-35,100
MAOB,0.8889,5.443957936635251e-35,100
IQGAP1,0.8889,5.427369416890282e-35,100
TRIM38,0.8886,5.980163830018946e-35,100
FABP5,0.8886,6.125878487224352e-35,100
HCK,0.8885,6.418949294167126e-35,100
PYGL,0.888,7.796397286498785e-35,100
HK3,0.8879,7.956596830344287e-35,100
CD109,0.8876,9.329717590235225e-35,100
FABP7,0.8874,9.871048478876133e-35,100
SERPINB1,0.8868,1.2966983485065276e-34,100
GPD1,0.8868,1.2553824183234656e-34,100
FAM107B,0.8867,1.3212935249422696e-34,100
GALNT13,0.8866,4.303717082536214e-22,63
PLCL1,0.8865,1.4113719840269655e-34,100
PSD2,0.8854,2.2750826281660084e-34,100
EGFR,0.8851,2.5495607463572467e-34,100
FLNC,0.885,2.678946327325735e-34,100
CLASP2,0.8846,3.1528447279665394e-34,100
AMPD3,0.8845,3.183076916656736e-34,100
ACSBG1,0.8845,3.2265012425959355e-34,100
LRATD2,0.8843,3.457092897464266e-34,100
VAMP8,0.8838,4.327206301272565e-34,100
FCGR1A,0.8838,4.27955694422085e-34,100
PRUNE2,0.8837,4.421120300332019e-34,100
DNMBP,0.8833,5.122495696503596e-34,100
S100A11,0.8831,5.532866656313774e-34,100
NCAPH,0.883,5.87437061032108e-34,100
GSTM1,0.8826,1.2108018377705426e-24,72
ABCC3,0.8826,6.9650999312385285e-34,100
SYTL4,0.8823,7.5909385527017545e-34,100
GBP4,0.882,8.798510557734724e-34,100
GRB10,0.8819,8.959889165363006e-34,100
GIMAP8,0.8817,9.903905774726973e-34,100
KCTD12,0.8816,1.0299062330152024e-33,100
CTSB,0.8815,1.040629733506931e-33,100
FNDC3B,0.8815,1.0691395384764582e-33,100
APOL6,0.881,1.3346737619397573e-09,27
COL3A1,0.881,1.2730647095768333e-33,100
CD4,0.8806,1.4711188048813438e-33,100
TBC1D2B,0.8805,1.5418697448293548e-33,100
IFIT2,0.8803,1.672745168157339e-33,100
SLC2A5,0.8801,1.7821398844196537e-33,100
COL8A1,0.8798,1.7640160465952749e-15,45
CES1,0.8798,2.0243076611515866e-33,100
IL18,0.8797,2.072658612548796e-33,100
SPTLC3,0.8795,1.8464778202606507e-15,45
PIK3AP1,0.879,2.745468320265221e-33,100
ARHGAP18,0.8789,2.879059875837915e-33,100
ZC3HAV1L,0.8789,2.8636028690962622e-33,100
