gene,spearman_r,p_value,n_samples
KIAA0408,0.9515,2.279854920641689e-05,10
A2ML1,0.9468,1.039215527398183e-78,158
SCEL,0.9461,3.0006840765660993e-78,158
AIF1L,0.9434,1.0986921838269033e-76,158
CALML3,0.9395,1.706475695510935e-74,158
OAS2,0.9394,2.027253910102849e-74,158
FABP5,0.9391,3.062447388012918e-74,158
PARP14,0.9378,1.3582804122214963e-73,158
GSTM3,0.937,3.588285222039058e-73,158
STAT1,0.9344,8.276967602861056e-72,158
PPL,0.9332,3.296336371428506e-71,158
CSTA,0.9331,3.4301240135943558e-71,158
AFAP1L2,0.9328,5.186071536069169e-71,158
GBP4,0.9326,6.237988369670389e-71,158
DCLK1,0.9322,9.976761491103566e-71,158
IFI35,0.9315,2.1593517004376255e-70,158
FSCN1,0.9313,2.6736875965697332e-70,158
ENAH,0.9312,2.8624346902562026e-70,158
CRYBG1,0.931,3.5479119762662413e-70,158
ANXA1,0.9308,4.253417230718793e-70,158
SPINK5,0.929,3.0062689192034726e-69,158
GBP6,0.9286,4.669429272748326e-69,158
SULF1,0.9278,1.0761042462627668e-68,158
SOX10,0.9273,0.00011203450639397586,10
COL17A1,0.9271,2.3389922978053744e-68,158
PKDCC,0.927,8.817328380617521e-08,17
EPS8L1,0.9269,2.861273897141096e-68,158
IL1RN,0.9258,8.591784987009556e-68,158
KANK1,0.9253,1.4580048679463646e-67,158
DTX3L,0.9252,1.5906542752679226e-67,158
GBP1,0.9248,2.2713947676789444e-67,158
OAS3,0.9247,2.575247598268532e-67,158
CSTB,0.9244,3.4563536964600465e-67,158
SPRR1A,0.9239,5.407765119525228e-67,158
FAM83B,0.9239,5.601345203273904e-67,158
POF1B,0.9225,2.2799815959838468e-66,158
AOX1,0.9224,2.430113003979642e-66,158
SH2D4A,0.9213,7.291254290025301e-66,158
FERMT1,0.9207,1.220147611681476e-65,158
IFIH1,0.9205,1.5077215862042145e-65,158
DDX60,0.9204,1.6563419422337644e-65,158
STAT2,0.9202,1.948160621845635e-65,158
ANKRD35,0.9201,2.1601332763699587e-65,158
CGN,0.9197,3.0675579191266284e-65,158
CES2,0.9196,3.376457091552475e-65,158
IGF2BP2,0.9194,4.058841374248684e-65,158
IVL,0.9193,4.445161589043881e-65,158
PIR,0.9192,5.016353206576844e-65,158
MGLL,0.9192,5.164152745878129e-65,158
C1orf116,0.919,6.043732599596783e-65,158
GJA1,0.919,6.296388990238963e-65,158
DDX58,0.9189,6.6126531956990195e-65,158
ERAP2,0.9187,7.674110517929045e-65,158
NEBL,0.9183,1.1417812528048289e-64,158
DEPTOR,0.9183,1.1891684970541724e-64,158
RAB11FIP1,0.9181,1.3569456770571407e-64,158
PARP9,0.918,1.4764558757493818e-64,158
MX1,0.9178,1.8004040992636146e-64,158
PGM5,0.9176,2.2085035936091687e-64,158
S100A2,0.9173,2.9685291259435252e-64,158
KRT6B,0.9172,3.143549485765501e-64,158
EPS8L2,0.9172,3.202859706020153e-64,158
NCCRP1,0.9166,5.190719383657754e-64,158
PGD,0.9165,6.061708488128333e-64,158
DSG1,0.9163,7.255908009686373e-64,158
NCAPH,0.9163,7.249408219523597e-64,158
KRT16,0.916,8.786393543995016e-64,158
MYH14,0.916,9.511975467815945e-64,158
UBE2L6,0.9158,1.1320189649654018e-63,158
PLEK2,0.9149,2.3363210201534625e-63,158
