gene,spearman_r,p_value,n_samples
CES1,0.9534,1.1728280797696824e-108,207
LMOD1,0.9532,1.8248418744568225e-108,207
ALOX5,0.9528,4.350293376944851e-108,207
TPPP3,0.9514,7.673814307115935e-107,207
MRC1,0.951,1.9613034209895903e-106,207
VWA5A,0.9496,2.799201351362826e-105,207
FGD5,0.947,4.773999713720671e-103,207
CYP27A1,0.9468,7.274510949312995e-103,207
MAGI3,0.9465,1.2778970892858496e-102,207
ALDH1A2,0.9463,1.696996194515104e-102,207
FBP1,0.9462,1.988083545648731e-102,207
CGNL1,0.9454,9.767004718733426e-102,207
GIMAP8,0.9442,7.43901762128235e-101,207
SPOCK2,0.9435,2.6520618070808654e-100,207
ARHGAP6,0.9427,1.0222089604543329e-99,207
TGFBR2,0.9422,5.214680253289582e-09,18
ARHGAP29,0.9422,2.5955097947059694e-99,207
STXBP6,0.9418,4.8042305229840345e-99,207
MAOB,0.9406,3.9542110541350625e-98,207
DENND3,0.9399,1.1865209652233198e-97,207
DOCK4,0.9399,1.1864684851906334e-97,207
DES,0.9394,3.005226003317593e-97,207
JCAD,0.939,5.476296985774492e-97,207
TRPV2,0.9385,1.1612951048769307e-96,207
LIMCH1,0.9381,2.5075692495688047e-96,207
HPGDS,0.9381,2.4571052768203087e-96,207
PDZD2,0.9374,7.408504751504764e-96,207
RTN1,0.9373,7.956188961781858e-96,207
CDH5,0.9366,2.748555459034402e-95,207
PECAM1,0.9364,3.66829702318688e-95,207
SLCO2A1,0.9363,4.40041948036365e-95,207
STARD13,0.9356,1.2711340167203925e-94,207
ARHGAP31,0.9351,2.722544772613185e-94,207
SHROOM4,0.9346,5.625877769511251e-94,207
CLIC5,0.9346,5.288066692391791e-94,207
ARHGEF10,0.9343,8.637260873224579e-94,207
CAV1,0.9342,1.0464451453469141e-93,207
DPYSL2,0.9337,2.2323562461511267e-93,207
AOX1,0.9327,1.0072185506736738e-92,207
DAPK2,0.9326,1.0550635809276143e-92,207
WWC2,0.9323,1.7357957157461023e-92,207
JAM2,0.9322,2.107615037554692e-92,207
ARRB1,0.9321,2.4030181141333556e-92,207
DGKA,0.9319,3.235913366086847e-92,207
LYVE1,0.9318,3.474764786648363e-92,207
PALM2AKAP2,0.9315,5.849325758925627e-92,207
PALM3,0.9306,1.9203566027871134e-91,207
LRRK2,0.9304,2.514765201481804e-91,207
CD36,0.9299,5.749611162960309e-91,207
ALOX5AP,0.9298,6.548243750173113e-91,207
PDE2A,0.9298,6.438437891852204e-91,207
SHE,0.9297,7.526980097947213e-91,207
MSLN,0.9296,8.029967599346632e-91,207
ADIRF,0.9293,1.243253601389473e-90,207
ITIH5,0.9292,1.3647265800334687e-90,207
C1orf116,0.9287,2.781468105883779e-90,207
ITGA1,0.9285,3.7565751790594768e-90,207
ADGRF5,0.9278,1.0346225174858648e-89,207
GSTM5,0.9278,9.605514766440053e-90,207
AFAP1L1,0.9275,1.5150989219732014e-89,207
PIR,0.9273,2.0357652506168897e-89,207
SPARCL1,0.9273,1.9971512468288812e-89,207
HPGD,0.9261,9.973237086711912e-89,207
NDNF,0.926,1.1757303233281126e-88,207
RASL12,0.9258,1.4343733969940872e-88,207
GLIPR2,0.9255,2.0547097264446473e-88,207
VSIG4,0.9248,5.470967067248823e-88,207
TGM2,0.9248,5.463457008587019e-88,207
COL3A1,0.9247,6.352687232775845e-88,207
SCEL,0.9246,6.881766088989825e-88,207
PTPRM,0.9241,1.29546593669037e-87,207
SLIT3,0.9241,1.3871849185391693e-87,207
LPCAT1,0.924,1.502219335291126e-87,207
PTPN21,0.9234,3.5237164928219005e-87,207
C1orf198,0.9234,3.2489661503830195e-87,207
CAB39L,0.9233,4.030934866062391e-87,207
KHDRBS2,0.9232,4.484113386350213e-87,207
PAPSS2,0.9231,4.985972091713372e-87,207
PALD1,0.9229,6.7726221655975e-87,207
ARHGAP44,0.9226,9.457652472299364e-87,207
GPD1L,0.9225,1.0433978128488275e-86,207
ADPRH,0.9224,1.263540891259265e-86,207
GIMAP1,0.9222,1.620860942945102e-86,207
PTPRB,0.922,2.128394419654283e-86,207
CGN,0.922,2.043793995092422e-86,207
ARAP3,0.9218,2.5951244233441276e-86,207
ASPA,0.9218,2.6164407250142934e-86,207
ADGRL2,0.9217,2.769572923688419e-86,207
MYO5C,0.9214,4.3872442211639926e-86,207
ICAM2,0.9213,4.657413393643849e-86,207
NCAM2,0.9212,5.280273401974525e-86,207
ABCA3,0.9211,6.1767953525623226e-86,207
MAGI1,0.921,7.296852611428769e-86,207
OCLN,0.921,6.682661912122448e-86,207
UNC13B,0.921,7.257345174134535e-86,207
CASS4,0.9199,2.863591786684118e-85,207
SELENBP1,0.9198,3.2238167614212477e-85,207
ADH1B,0.9196,4.0788208479627435e-85,207
SCN4B,0.9192,1.7426170542460922e-43,105
MSR1,0.9189,9.398510548933909e-85,207
SLC34A2,0.9188,1.0761585002204347e-84,207
COLEC12,0.9186,1.402310123403967e-84,207
WFS1,0.9185,1.5287458627960874e-84,207
MYH10,0.9185,1.489741336744509e-84,207
ARHGEF26,0.9182,2.275130168781025e-84,207
SLC1A1,0.9181,2.5809960265196922e-80,197
PEAK1,0.9178,3.3943231284902734e-84,207
SEPTIN4,0.9178,3.3288610953890996e-84,207
MARCKSL1,0.9177,4.0672478469240733e-84,207
CYBRD1,0.9177,4.0003896143499373e-84,207
KANK2,0.9177,3.7738662267814006e-84,207
FABP4,0.9174,5.586414806766735e-84,207
DNMT1,0.9174,5.817737394197549e-84,207
RECK,0.9172,7.422248915208465e-84,207
RGN,0.917,8.758168342241204e-84,207
CNRIP1,0.9169,9.683546498920626e-84,207
HEG1,0.9168,1.1076227230248315e-83,207
SULF1,0.9165,1.5448117941257626e-83,207
FHL1,0.9165,1.6037528913119813e-83,207
ABCA8,0.9165,1.650643827186069e-83,207
FEN1,0.9164,1.758166196376868e-83,207
AOC3,0.9161,2.5209479838558764e-83,207
CTHRC1,0.9153,6.621518486849178e-83,207
IFIT3,0.9152,7.138996075525732e-83,207
SLC2A12,0.9152,0.00020447240614883226,10
CRYM,0.915,9.421598407860124e-83,207
TSPAN8,0.915,8.980372638472951e-83,207
TEK,0.9149,1.0620839907230707e-82,207
GAS7,0.9147,1.2523302231550644e-82,207
LAD1,0.9145,1.6799892240473356e-82,207
CTSH,0.9143,2.0839873562235067e-82,207
SYNPO2,0.914,2.8880003876086724e-82,207
WDFY4,0.9137,4.250001768093989e-82,207
SASH1,0.9137,4.1635430412993056e-82,207
DAPK1,0.9136,4.833314386149365e-82,207
COL5A2,0.9135,5.399815652226928e-82,207
SVEP1,0.9134,5.918891601350214e-82,207
SLC19A3,0.9134,4.603988328199106e-27,67
NOSTRIN,0.9133,6.555093837730853e-82,207
JPT2,0.9131,8.182639289515614e-82,207
MKI67,0.9129,9.976128339197542e-82,207
PGM5,0.9129,1.0033724343975712e-81,207
ERAP2,0.9127,1.2779143796017265e-81,207
PDE5A,0.9125,1.574407007279931e-81,207
ABCB1,0.9124,1.7889822570901816e-81,207
GPI,0.9124,1.8648158419880085e-81,207
CD93,0.9123,2.0393692058072744e-81,207
GIMAP7,0.9123,1.9171085601861066e-81,207
ACE,0.9122,2.2245819968824984e-81,207
PKIG,0.9122,2.159827948929965e-81,207
ITGA8,0.9122,2.222316077140751e-81,207
ESAM,0.9118,3.311321224310077e-81,207
RRAS,0.9117,3.9464284615333994e-81,207
PTGIS,0.9115,5.03313117490146e-81,207
IL33,0.9115,4.795306290873734e-81,207
HSPA12B,0.9113,5.91237437946111e-81,207
GSTM3,0.9111,7.74456973765226e-81,207
MSI2,0.9111,7.79133299641409e-81,207
FAT4,0.9106,1.3553953535883311e-80,207
PODXL,0.9105,1.4818653834492667e-80,207
SYNGR3,0.9105,6.246642663134221e-08,19
ATP13A4,0.9105,1.4410438060348385e-80,207
FOLR1,0.9104,1.691890292439465e-80,207
TNXB,0.9102,2.1224233720628255e-80,207
S100A4,0.9101,2.3872397410873695e-80,207
FAM13C,0.91,6.525152227573639e-08,19
KIT,0.9097,3.448977048724328e-80,207
ARHGAP18,0.9097,3.358485776123186e-80,207
MSRB3,0.9096,3.779941740636947e-80,207
LIFR,0.9094,5.068227592048009e-80,207
DOCK11,0.9093,5.449716697509058e-80,207
MARCO,0.9087,1.0337399648364634e-79,207
CLEC14A,0.9085,1.32288103689261e-79,207
ALDH3B1,0.9084,1.4458456885072463e-79,207
TNS3,0.9083,1.652623861841538e-79,207
KANK3,0.9083,1.501582684644462e-79,207
OTULINL,0.9077,2.8495262135612866e-79,207
PPP1R14C,0.9077,2.848773554297504e-79,207
FGD2,0.9077,2.8910007268927365e-79,207
ADARB1,0.9075,3.745190716147491e-79,207
OAS2,0.9075,3.6302564014027783e-79,207
SH2D3C,0.9072,5.0444276494524945e-79,207
STX11,0.9072,5.0889515510097934e-79,207
DAB2,0.9071,5.655465749088115e-79,207
HPCAL1,0.9071,5.60545744452441e-79,207
FHL5,0.9071,5.887773886122331e-79,207
CACNA2D2,0.9069,7.210699106662769e-79,207
MGLL,0.9065,1.044371935712205e-78,207
GPD1,0.9061,1.5480508871099093e-78,207
SUSD2,0.906,1.6784710577806276e-78,207
BDH2,0.9059,2.0347131360596003e-78,207
GRHL2,0.9058,2.27205002173391e-78,207
IL3RA,0.9058,1.164638632384362e-71,189
MTURN,0.9058,2.0848107455037544e-78,207
SLC9A3R2,0.9053,3.513893667711939e-78,207
PALMD,0.9053,3.5407975655914916e-78,207
MME,0.905,5.0753898025758e-78,207
CLIC3,0.9049,5.440097547762492e-78,207
GUCY1A2,0.9049,5.475340346442011e-78,207
KIAA0408,0.9047,6.665143055530211e-78,207
MMRN1,0.9043,9.67077996891738e-78,207
CYP4B1,0.9043,1.0591767154029442e-77,207
NAPSA,0.9041,1.2350330010418416e-77,207
PLEKHH2,0.9041,1.2808360797236416e-77,207
MLPH,0.904,1.3277187191071857e-77,207
CNN1,0.9037,1.8977006799056514e-77,207
TJP1,0.9035,2.186518843894858e-77,207
RBMS3,0.9035,2.2875047788205413e-77,207
KIF1C,0.9034,2.451679416188486e-77,207
GRK5,0.9033,2.651022115714007e-77,207
DSP,0.903,3.8677212223147034e-77,207
GAB1,0.903,3.852269150969311e-77,207
GKN2,0.9029,1.943073087588096e-73,197
IQGAP2,0.9027,5.095459150283886e-77,207
MCM3,0.9025,6.0901861179851655e-77,207
SGPL1,0.9018,1.2741105000188468e-76,207
AGR3,0.9017,1.3111435266282274e-76,207
HSD17B11,0.9014,1.8881197161008465e-76,207
FHOD1,0.9007,3.563647872925546e-76,207
CA4,0.9004,4.9496512736410524e-76,207
CCDC85A,0.9002,1.0989645381496828e-72,198
PPP1R9A,0.9002,6.271489112358318e-76,207
TNS2,0.9001,6.362406220776194e-76,207
SLC27A3,0.8999,8.365799527093325e-76,207
TPX2,0.8999,7.994583443532273e-76,207
APBB1,0.8999,8.214468922320113e-76,207
SFN,0.8998,9.174532172071752e-76,207
GRAMD2A,0.8994,2.1348003788820898e-68,187
SELP,0.8994,1.2995045112624561e-75,207
SFTPC,0.8993,1.4357034108463078e-75,207
ATP11A,0.8988,2.253731767769256e-75,207
VEGFD,0.8986,2.719540122727575e-75,207
MAPRE2,0.8983,3.5858725682889076e-75,207
CALCRL,0.8979,5.71640369262745e-75,207
SERPINB6,0.8977,6.86960037290911e-75,207
VWF,0.8976,7.358849809328671e-75,207
PRKD1,0.8976,6.99210759496246e-75,207
SEPTIN1,0.8976,7.253475894130319e-75,207
FGD4,0.8976,7.229009010195521e-75,207
UTRN,0.8973,9.31117493947143e-75,207
MTARC2,0.897,1.2939657636737261e-74,207
ZAP70,0.897,1.2871910924465034e-74,207
DACH1,0.8969,1.4677668596608564e-74,207
HSD17B6,0.8967,1.7023906121565362e-74,207
AQP4,0.8967,1.6866828167062903e-74,207
ANLN,0.8966,1.8648192114728927e-74,207
DOK2,0.8966,1.818213682223447e-74,207
PLA2G12B,0.8964,1.0352881397141619e-57,160
MZB1,0.8963,2.5841739820893355e-74,207
PLCXD3,0.8962,2.788189614849536e-74,207
ALOX15B,0.8962,2.8320930829019343e-74,207
PRX,0.8961,3.1003464575884567e-74,207
RMDN3,0.896,3.3925614728313316e-74,207
TOP2A,0.8959,3.5349047577060895e-74,207
LTA4H,0.8959,3.771460026302923e-74,207
CKAP4,0.8958,3.951887008941783e-74,207
KCTD12,0.8958,4.106994010616781e-74,207
GRAP2,0.8957,4.534139385762538e-74,207
FMO5,0.8954,5.7032593931201175e-74,207
HSPB7,0.8954,5.5485398010444914e-74,207
NTN4,0.8954,5.785684802448358e-74,207
KIF15,0.8953,6.1292077664675085e-74,207
FAM162B,0.8951,7.369038267380161e-31,85
