gene,spearman_r,p_value,n_samples
NDRG2,0.9303,7.666505677663496e-94,213
EML1,0.922,6.593932058489929e-89,213
DES,0.9205,4.4065668003228407e-88,213
GIMAP8,0.9192,2.408835523275039e-87,213
ADIRF,0.918,1.115509645441318e-86,213
ASPA,0.917,3.397279115104924e-86,213
ALDH1A1,0.9167,5.106331864049067e-86,213
CGNL1,0.9157,1.8073215692598578e-85,213
AOX1,0.9132,3.3731267761228033e-84,213
PDE5A,0.9115,2.454010202593792e-83,213
ARHGEF10,0.9106,6.440912549509036e-83,213
RAMP3,0.91,3.0711115291087187e-59,152
CLCN4,0.9088,1.1005852200187758e-06,16
ANXA8L1,0.908,1.1618057172075747e-81,213
FABP4,0.9069,4.009555014741711e-81,213
ARHGAP6,0.906,1.0515332774154905e-80,213
ADGRL2,0.9057,1.3371541005881739e-80,213
P4HB,0.9055,1.6538255412001561e-80,213
SYNPO2,0.9046,4.476623218127454e-80,213
ARHGEF26,0.9043,5.781897818759735e-80,213
GUCY1A2,0.9039,9.10286340440978e-80,213
CLEC14A,0.9038,1.0634263552148604e-79,213
JCAD,0.9033,1.6754201833778504e-79,213
CDH5,0.903,2.224765137579954e-79,213
STXBP6,0.903,2.4327947102792596e-79,213
ARAP3,0.9023,4.705655107921753e-79,213
KANK2,0.901,1.738054087868424e-78,213
STARD13,0.9003,3.6874201714447424e-78,213
ADH1B,0.9002,3.8664804080476874e-78,213
CLIC5,0.8989,1.5401515359396456e-77,213
PLCL1,0.8972,7.950631474377496e-77,213
PALMD,0.8972,7.969345368747098e-77,213
SOX4,0.8969,3.7550375438987384e-73,203
PRKG1,0.8968,1.1022319396771515e-76,213
PDE2A,0.8968,1.1760009821826858e-76,213
GSTM5,0.8968,1.1381497139078872e-76,213
GAB1,0.8965,1.610986543206433e-76,213
IL33,0.8956,3.491257788149824e-76,213
NLN,0.8956,3.59307460363784e-76,213
FGD5,0.8946,9.664248956402737e-76,213
CD36,0.8944,1.1190245031851133e-75,213
GRK5,0.8936,2.3339782834362905e-75,213
GLIPR2,0.8929,4.551954555852812e-75,213
CRYAB,0.8911,2.362420490400323e-74,213
SPOCK2,0.8909,2.903157074551808e-74,213
ABCA8,0.8902,5.614367468950633e-74,213
TMOD1,0.8901,6.274317187181544e-74,213
ABI3BP,0.8892,1.3273439877822002e-73,213
MYH11,0.8886,2.324025591605493e-73,213
WFS1,0.8883,3.024113040975613e-73,213
CLDN18,0.8883,3.14618682829482e-73,213
RERG,0.8877,5.2973262708931864e-73,213
PGM5,0.8877,5.310909967626205e-73,213
PLCB4,0.8877,5.40241042105329e-73,213
HSPA12B,0.8875,5.95748632716351e-73,213
LYVE1,0.8874,6.76448220941875e-73,213
EPB41L2,0.8873,7.698385575220712e-73,213
KANK3,0.8872,7.910286530857625e-73,213
VWF,0.8872,7.786749167728477e-73,213
DOCK4,0.8872,7.855891459218165e-73,213
ITIH5,0.8866,1.324063870682321e-72,213
ESPL1,0.8859,3.889784399577762e-09,25
KRT4,0.8856,3.2688566205451563e-72,213
LMOD1,0.8855,3.473558639062426e-72,213
RTN1,0.8852,4.4934127553094326e-72,213
ERO1A,0.8852,4.539428768863265e-72,213
CAV1,0.8849,6.068593200507743e-72,213
TGFBR3,0.8848,6.270558679986578e-66,195
GPD1,0.8847,7.186819838502453e-72,213
MMRN2,0.8845,8.224737701991505e-72,213
CDH13,0.8844,9.619669726225609e-72,213
ERG,0.8841,1.2012124579858392e-71,213
NOSTRIN,0.8836,1.8969925644313003e-71,213
AOC3,0.8833,2.3342838662805372e-71,213
SPARCL1,0.8832,2.4629274726650174e-71,213
CALCRL,0.8831,2.7319271574419273e-71,213
FHL1,0.8829,3.1973675959859665e-71,213
ARHGAP31,0.8827,3.973785382946186e-71,213
NPR3,0.8824,4.966134922305738e-71,213
MYH10,0.8821,6.482305876309108e-71,213
SLC19A3,0.8821,2.909968224057433e-23,68
GIMAP7,0.8819,7.853748226440302e-71,213
ACTN2,0.8813,1.2423615149433717e-70,213
SNCA,0.8808,1.9966865529583723e-70,213
NME1,0.8805,2.4619212138318125e-70,213
ARHGAP29,0.8804,2.7625011304970772e-70,213
CES1,0.8803,2.8968031371143694e-70,213
CCDC85A,0.8802,1.2217939898556287e-66,202
MME,0.8796,5.273898120206913e-70,213
SVEP1,0.8792,7.359869184131751e-70,213
DSP,0.8791,8.105539484770262e-70,213
TEK,0.879,8.705101753500199e-70,213
JAM2,0.8788,9.752542316879506e-70,213
F8,0.8785,1.0406133767138364e-66,204
FABP5,0.8782,1.6904111691158416e-69,213
LIMCH1,0.8776,2.5574791579576704e-69,213
RRAS,0.8775,2.791195354563244e-69,213
SLIT3,0.8769,4.711698143221713e-69,213
CA4,0.8767,5.417200163987601e-69,213
TRPV2,0.8767,5.322776147663751e-69,213
ALOX5,0.876,9.217670554340716e-69,213
AMOTL1,0.8759,1.0276616574671151e-68,213
TBX2,0.8756,1.2881831564922338e-68,213
PRKCE,0.8755,1.4124084136638527e-68,213
SELP,0.8747,2.67270094863163e-68,213
HYOU1,0.8742,3.9423005981503385e-68,213
MMRN1,0.874,4.765441480030823e-68,213
DUOX1,0.8738,5.317859563373872e-68,213
RTKN2,0.8735,6.719716393296288e-68,213
LAMP3,0.8734,7.353289662352051e-68,213
PARD3B,0.8733,8.117415686624999e-68,213
PTPRM,0.8732,8.820331320159529e-68,213
SASH1,0.873,9.870680548217996e-68,213
TPPP3,0.8726,1.4023407316262271e-67,213
MSRB3,0.8717,2.8093306303110473e-67,213
VEGFD,0.8715,9.626784015419967e-65,205
GFPT1,0.871,4.606972700609017e-67,213
ESRP1,0.8709,5.136911353792795e-67,213
ERAP2,0.8708,5.6405990972974854e-67,213
ANXA3,0.8707,5.7152776426551366e-67,213
MPDZ,0.8706,6.156020819314307e-67,213
FHL5,0.8705,6.964187304373685e-67,213
SCN7A,0.8705,7.05330699970689e-67,213
SH3GL2,0.8705,1.2027860777349788e-61,196
RBMS3,0.8703,7.862452279547296e-67,213
MCC,0.8702,8.346598116612345e-67,213
PPP1R14A,0.8702,8.824812797859211e-67,213
CNRIP1,0.8702,8.31147629763249e-67,213
MVB12B,0.8701,9.009048705277268e-67,213
SRPK1,0.8699,1.0507848885500518e-66,213
ARHGAP44,0.8699,1.0494391447304684e-66,213
QKI,0.8697,1.2175810815844974e-66,213
CAVIN2,0.8696,1.3531266484228968e-66,213
ADARB1,0.8695,1.420193200832464e-66,213
GART,0.8686,2.887527428192917e-66,213
TCEAL2,0.8674,8.459163682696382e-53,170
LRRK2,0.8672,7.893333407705636e-66,213
C1orf87,0.8671,8.963152300829125e-66,213
JPT1,0.867,9.326039182674293e-66,213
DPYSL2,0.8667,1.1611573461311024e-65,213
TAL1,0.8666,3.2626648106944565e-22,70
EMCN,0.8665,5.383796110508744e-65,211
LACTB2,0.8659,2.0632552843608444e-65,213
ACE,0.8654,3.131540580145017e-65,213
KCTD12,0.8653,3.359973632399693e-65,213
PRX,0.8652,3.400489027917462e-65,213
PEAK1,0.865,3.997280510274904e-65,213
DENND3,0.8647,4.993727872087002e-65,213
AQP4,0.8644,6.334449094685077e-65,213
CA3,0.8644,6.4065679237734e-65,213
