gene,spearman_r,p_value,n_samples
PCDHB5,0.9607,1.3027489790343458e-08,15
SLC19A3,0.9474,7.800829220458969e-10,19
LRRN4,0.9455,1.1183037701493194e-05,11
UCHL1,0.934,1.6368644137354147e-37,82
AFAP1L2,0.924,3.8618989183087256e-35,82
ERAP2,0.9228,1.8585775456654748e-08,19
TRIM29,0.9168,1.2332355042364983e-33,82
GLDC,0.9108,1.7675755346097152e-32,82
CRABP1,0.9107,1.8650752955140516e-32,82
CLDN6,0.9091,3.62023483156751e-32,82
LRRC15,0.9076,6.81193913873799e-32,82
ASRGL1,0.9072,7.956411237514009e-32,82
KLK5,0.9052,1.4555946703040772e-14,37
LAMA3,0.9032,4.0081928587291e-31,82
PALM3,0.902,6.496377534590799e-31,82
SFRP2,0.8996,1.64139472335563e-30,82
GLOD5,0.8989,1.2358700865600784e-05,14
GJB2,0.8973,8.25062033588557e-08,20
ITGB6,0.8946,1.0245254470334007e-29,82
SFRP4,0.8937,1.4315003563281957e-29,82
RAB25,0.8926,2.0922104696114295e-29,82
PHGDH,0.8924,2.2713605359790193e-29,82
ALPL,0.8919,2.6891423622977894e-29,82
ALDH1A2,0.8914,3.2189061580817577e-29,82
EYA4,0.8914,7.866529793164874e-12,32
CMBL,0.8906,4.2012457767897556e-29,82
POF1B,0.8901,5.048995382732807e-29,82
NDRG1,0.8899,5.291666552436405e-29,82
CLGN,0.8899,5.422833819594048e-29,82
DEFB1,0.8857,1.1199821851208482e-05,15
ERMP1,0.8853,2.4923128481886806e-28,82
LRIG1,0.8843,3.513198710580501e-28,82
ABAT,0.8833,4.771092207522079e-28,82
CST7,0.8829,1.300482246404736e-05,15
HSPA4L,0.8826,6.0320981501420475e-28,82
NCAM1,0.8821,6.951956810514584e-28,82
C1orf116,0.8817,1.5886379084095495e-25,75
ACSS3,0.881,9.846505936425292e-28,82
VTCN1,0.8804,1.2245013397639554e-27,82
COL11A1,0.8788,2.0161771387282712e-27,82
MAPK13,0.8768,3.7002405477429456e-27,82
RRM2,0.8754,5.6139077191970895e-27,82
CPLX2,0.8747,2.1688683902279913e-16,49
SFN,0.8688,3.906484354603947e-26,82
NR2F1,0.8681,5.6798189086915085e-05,14
TRIP13,0.8676,5.375051678398847e-26,82
ICAM1,0.8674,5.682971590452519e-26,82
CARMIL1,0.8673,5.991406783633386e-26,82
TCEAL2,0.8672,3.6296726837372615e-07,21
SFXN2,0.8669,6.546434256008725e-26,82
CLDN1,0.8667,7.084105734260914e-26,82
TGM2,0.8661,8.234315740762085e-26,82
ACSS1,0.8661,8.206065937602042e-26,82
CMPK2,0.8659,8.741343975848365e-26,82
MZB1,0.8659,8.662349334474553e-26,82
ITGA11,0.8657,9.210673956930793e-26,82
PM20D2,0.8638,1.5763050132054159e-25,82
FBXO2,0.8629,2.0178172956167985e-25,82
OAS2,0.8627,2.132324783882448e-25,82
DDX60,0.8619,2.6359728079548354e-25,82
CYP1B1,0.8618,2.7007901093300044e-25,82
CDH2,0.8604,3.909592819088938e-25,82
S100A1,0.8604,3.920934421837236e-25,82
ALDH1A3,0.8602,4.0848907500988567e-25,82
ENPP1,0.8589,5.798655108888204e-25,82
PDLIM3,0.8585,6.40120152158052e-25,82
PLCD3,0.8579,7.55425577073882e-25,82
MAOB,0.8576,8.195756533565702e-25,82
NIPAL2,0.8571,4.446004447004746e-05,15
KLK6,0.8563,1.1576146180370091e-24,82
IL27RA,0.8561,4.644649059705564e-05,15
COMP,0.8554,1.4479423755305647e-24,82
TRAP1,0.8542,1.9373090175661644e-24,82
CA8,0.854,2.0626489860657126e-24,82
KHDRBS3,0.8533,2.446550563840918e-24,82
S100A2,0.853,2.6854921389106657e-24,82
CRABP2,0.8517,3.664080897916068e-24,82
FN1,0.8517,3.712621507848221e-24,82
PC,0.8515,3.8342383683317244e-24,82
MMP2,0.851,4.392386670931625e-24,82
VDR,0.8509,5.207309268247447e-07,22
HSPA2,0.8506,4.806737640365752e-24,82
TNFAIP2,0.85,5.623265723209542e-24,82
CDH6,0.8496,6.1963407935693204e-24,82
BCAT1,0.8492,6.849610602207853e-24,82
TPX2,0.849,7.182882844840982e-24,82
CAPN6,0.849,6.251604872797292e-05,15
SLC5A1,0.849,1.1402784877870536e-06,21
CTPS1,0.8488,7.553059309673484e-24,82
RAB6B,0.8486,7.95202244979006e-24,82
COL8A1,0.8484,8.233443206895026e-24,82
STAT1,0.8478,9.562358460418435e-24,82
ATP6V1B1,0.8473,1.0703454914518167e-23,82
CRAT,0.847,1.1499074542942476e-23,82
CD79A,0.8462,0.0005211337004810047,12
CHRD,0.8462,0.00013625614917754864,14
GRAMD2B,0.8461,1.4435732373354048e-23,82
CALB2,0.846,1.461326303958558e-23,82
TGIF2,0.8459,7.545516453259964e-09,29
FOLR1,0.8446,2.0581178583537182e-23,82
KIF23,0.8443,2.2333582597657343e-23,82
GBP5,0.8439,2.4388359166894358e-23,82
TMCC3,0.8434,2.7407571851846954e-23,82
GART,0.8433,2.7969360868499574e-23,82
PPP1R1B,0.8431,2.905418589121895e-23,82
TFAP2A,0.843,8.433564994662839e-07,22
CDR2L,0.8429,3.090375353107819e-23,82
CHL1,0.8429,7.96719525272486e-05,15
PTGIS,0.8426,3.271855872974969e-23,82
RHOF,0.8414,4.358581493198462e-23,82
TAGLN,0.8413,4.459740578081291e-23,82
KIF11,0.8411,4.7293478795486265e-23,82
DPYSL3,0.8408,4.9639233363767556e-23,82
SDCBP2,0.8405,0.00016712211804068393,14
PLAU,0.8403,5.634923401744348e-23,82
FAP,0.8398,6.33170853359108e-23,82
AFG3L2,0.8398,6.326993814712962e-23,82
CLIC6,0.8397,6.492481192030984e-23,82
TTLL12,0.8395,6.683462141208241e-23,82
UPK1B,0.8393,5.932483176188575e-13,45
CCAR2,0.8393,7.044668792373961e-23,82
GBP2,0.8392,7.156838158058884e-23,82
EZR,0.8392,7.23005943669127e-23,82
ISLR,0.8384,8.668359498200655e-23,82
THSD4,0.8382,9.084541987326345e-23,82
TTC9,0.838,1.0923726826814823e-13,48
TACSTD2,0.8378,9.937123730735137e-23,82
BDH1,0.8372,1.1447667153816782e-22,82
VCAN,0.8369,1.2202453877526646e-22,82
IDO1,0.8368,1.0125576355720741e-19,71
METTL7B,0.836,1.491398768530783e-22,82
ENTPD2,0.8352,0.0003802080801851204,13
TGM1,0.835,1.8715667822927584e-22,82
DTX3L,0.834,2.341655806703322e-22,82
CYP4F3,0.8337,0.0014272961872224719,11
CD248,0.8331,2.850398224575299e-22,82
IGF2BP2,0.8327,3.079055384827218e-22,82
CPM,0.8316,3.9531189118008776e-22,82
ACSF2,0.8315,4.027682158329308e-22,82
HLA-DQA1,0.8314,1.4568227662371302e-20,76
GALNT3,0.8313,4.1856849950033704e-22,82
FKBP4,0.8312,4.290526701666107e-22,82
PLS1,0.8311,4.39697732864525e-22,82
CTSK,0.831,4.426351598152807e-22,82
SERPINB5,0.831,4.429060068734543e-22,82
COPZ2,0.8301,5.43332257610356e-22,82
CD8A,0.8299,3.552181081626597e-20,75
SST,0.8294,2.4521473890336415e-09,33
S100A14,0.8292,6.507369526676246e-22,82
KIF5C,0.829,6.853943425764195e-22,82
PLAT,0.8281,8.35490164429893e-22,82
SPOCK2,0.8278,8.896253577232704e-22,82
TOP2A,0.8273,9.864261140139965e-22,82
ANTXR1,0.8272,1.004543883961861e-21,82
COQ8A,0.827,1.0548290115181899e-21,82
PCK1,0.827,1.1158951244565897e-19,74
ALDH3A2,0.8266,1.1408852333982876e-21,82
CMTR1,0.8263,1.2031737305982062e-21,82
