gene,spearman_r,p_value,n_samples
AMPD1,0.9341,1.0279787693084372e-06,14
SFTA2,0.9298,3.339116188201609e-17,38
SCEL,0.9177,1.0793024436968829e-73,181
C1QL1,0.9121,1.3975552674444556e-05,13
CALB2,0.9101,2.0597838937074876e-70,181
COL11A1,0.9097,3.217152710812868e-70,181
IGF2BP3,0.9084,1.0853939743153069e-69,181
ERICH5,0.903,1.372933578466283e-67,181
SNCB,0.9019,0.00035929045438835643,10
SERPINB5,0.8994,2.994886441478411e-66,181
OAS2,0.8944,1.9033393840428864e-64,181
FN1,0.8922,1.1067185654812423e-63,181
COL17A1,0.8906,3.8377607299621963e-63,181
MX1,0.89,6.15744400211273e-63,181
LOXL2,0.8891,1.2178036167244362e-62,181
VILL,0.8856,1.606168902528501e-61,181
TNS4,0.8821,1.5152037144270577e-51,154
ANXA10,0.8814,3.414304486413647e-60,181
TM4SF5,0.881,2.8562822847651483e-09,26
LMO7,0.8803,7.34214488030613e-60,181
CRABP2,0.8802,7.606803506041278e-60,181
CHGA,0.8793,1.5049644657649966e-59,181
IGFBP3,0.8791,1.6657048284119262e-59,181
PCSK1,0.8791,1.673872543429207e-59,181
MISP,0.8752,2.4583028627401236e-58,181
KRT17,0.8747,3.4104346985759196e-58,181
AGAP2,0.8741,0.00020071307332423182,12
BCAS1,0.8726,1.3512765774830642e-57,181
CHGB,0.8719,2.1106644722662396e-57,181
IFIT3,0.8717,2.4633863390081965e-57,181
TCEA3,0.8713,3.0588522332368725e-57,181
LGALS4,0.871,3.7520298037471645e-57,181
MAB21L2,0.8706,1.1498934802741624e-05,16
AHNAK2,0.8706,4.858140943119633e-57,181
ERAP2,0.8701,6.992108685091542e-57,181
P4HA1,0.8695,9.872395550607726e-57,181
OAS3,0.8689,1.5069535037306436e-56,181
GSDMB,0.8683,2.120857816390619e-56,181
SECTM1,0.8677,1.9529506476879362e-08,25
NLRP2,0.8657,1.879616254020242e-48,157
ADH1B,0.8654,1.3604020337707595e-55,181
SULT1C2,0.8646,2.1065225883008407e-55,181
AGR3,0.8639,3.335805069867635e-55,181
SST,0.8639,3.253157958903348e-55,181
SLC4A4,0.8639,3.2748982391091846e-55,181
LMOD1,0.8632,5.194886334712281e-55,181
VSTM2L,0.8627,6.450721536533421e-15,47
SERPINB2,0.8619,1.1352112364417833e-54,181
MYEF2,0.8618,1.1846841826063323e-54,181
POF1B,0.8616,1.2987735117846682e-54,181
PTK7,0.8611,1.7510411553329605e-54,181
FSCN1,0.8608,2.1663606004840958e-54,181
WNK2,0.8595,4.591912545483882e-54,181
BAIAP2L1,0.8593,5.367577015087099e-54,181
AOX1,0.8592,5.685165381769403e-54,181
SFN,0.8587,7.371010891486638e-54,181
ASPHD2,0.8571,0.00018093408872524061,13
PLAU,0.8567,1.2715282633313403e-51,175
F13A1,0.8556,4.425308701647327e-53,181
CFTR,0.8552,5.716458119113402e-53,181
STAT1,0.8548,7.052476016512279e-53,181
SLC30A8,0.8542,1.4297795481185076e-23,79
LAMC2,0.8529,2.0486380178929144e-52,181
TRIM29,0.852,3.399816606153392e-52,181
FAM83B,0.8475,4.0242161696265104e-51,181
ASPA,0.8473,4.438519018789486e-51,181
EPS8L1,0.8468,5.849081917629825e-51,181
EIF1AY,0.8466,3.5077623977786683e-40,142
ESRP1,0.8459,9.369422331030391e-51,181
MZB1,0.8457,1.070333948213022e-50,181
S100P,0.8445,1.9961045569970454e-50,181
PADI1,0.8432,3.9716353300494736e-50,181
CCL17,0.8429,7.96719525272486e-05,15
PGM2L1,0.8426,5.492126341941142e-50,181
TESC,0.8422,6.807764837481222e-50,181
FXYD2,0.842,1.4391397906115674e-35,128
KANK4,0.8417,8.567240650085951e-50,181
