gene,spearman_r,p_value,n_samples
RRM2,0.957,1.2308434278029133e-63,117
CGN,0.9383,7.607335178569938e-55,117
LAD1,0.9365,3.788438233318777e-54,117
CRYBG1,0.9364,3.9156502708022745e-54,117
NCAPH,0.9359,6.151835511801805e-54,117
CAPS,0.9357,7.098764235338647e-54,117
CA8,0.9352,1.132338770748343e-53,117
LDLRAD1,0.9347,1.4742580719701547e-14,31
HOMER2,0.9344,2.1401026837543657e-53,117
OAS2,0.9324,1.219345265442335e-52,117
PGR,0.9314,2.6457301634293878e-52,117
SH2D4A,0.931,3.790702696868032e-52,117
IQGAP2,0.9296,1.1660414433720893e-51,117
UHRF1,0.9294,1.2713303787289691e-51,117
DACH1,0.9294,1.3681340122742874e-51,117
STON1,0.9287,2.5671727638447365e-45,103
PLEKHS1,0.9277,5.055238494421746e-51,117
TACC1,0.9274,5.9781197203807e-51,117
ZCCHC24,0.9271,7.771884010417153e-51,117
SFTPD,0.9265,2.561397065047752e-07,16
GLYATL2,0.9262,1.590400513970968e-50,117
SFN,0.9256,2.3630160598108903e-50,117
MYH14,0.9255,2.5601869191527932e-50,117
FAM167A,0.9253,2.136570349610813e-06,14
C1orf116,0.9248,4.2028397527433956e-50,117
MAP1B,0.9216,4.345634392549682e-49,117
KANK1,0.9209,6.908611924469319e-49,117
AGR2,0.9206,8.879701145397807e-49,117
NECTIN4,0.9195,1.8404854737032487e-48,117
LYPLAL1,0.9189,2.82410608891855e-48,117
BAIAP2L1,0.9177,6.535185283183072e-48,117
KIF11,0.9163,1.5772045198776922e-47,117
MISP,0.916,2.0009708283712887e-47,117
MSRB3,0.9154,2.8160478644382953e-47,117
EPS8L1,0.9153,3.1189014310670784e-47,117
PPM1H,0.9151,3.562685531517765e-47,117
HGD,0.9144,5.394201537075361e-47,117
SLC9A3R1,0.9144,5.48328389263836e-47,117
HK2,0.9141,6.61887639029533e-47,117
BCAT1,0.9138,8.042892550734538e-47,117
KIF13B,0.9131,1.2434784280469243e-46,117
TPPP3,0.9129,1.4624301795039792e-46,117
ALDH1A1,0.9128,1.4868278045390273e-46,117
RAP1GAP,0.9123,2.114516343808121e-46,117
SLC34A2,0.912,9.024703041276887e-38,95
OSBPL3,0.9114,3.681440711803809e-46,117
PSAT1,0.9113,3.9387172516986095e-46,117
MAPK11,0.9109,5.951060951647864e-06,14
TNFAIP2,0.9104,6.968023687601766e-46,117
TCEAL5,0.9101,8.422221770103447e-46,117
AFAP1L2,0.91,8.804565413352105e-46,117
TPX2,0.9096,1.082338601528723e-45,117
ASRGL1,0.9094,1.2878794624649821e-45,117
GMDS,0.908,2.855619515723472e-45,117
HERC5,0.9077,3.408393964832297e-45,117
HSD11B1,0.9077,7.301703996852342e-06,14
TK1,0.9072,4.672882501747156e-45,117
MCM2,0.9072,4.605679975679124e-45,117
DNMT1,0.9071,5.015593188966176e-45,117
SPAG1,0.9068,5.936679462197822e-45,117
COL8A1,0.9066,1.9296152005272247e-05,13
STXBP6,0.9065,7.156644311102403e-45,117
KIF15,0.9056,1.1995374725374531e-44,117
MAPRE2,0.9053,1.4193504992642514e-44,117
PYGO1,0.9049,1.695835203964501e-41,109
MAP1A,0.9044,2.336167716025802e-44,117
JSRP1,0.9043,7.273475740758794e-12,30
SHTN1,0.9042,2.7317109237481516e-44,117
DPYD,0.9038,3.3442393023991594e-44,117
GIMAP8,0.9035,3.9151386773312256e-44,117
PHYHIPL,0.9032,4.605477113567215e-44,117
EFHD1,0.9023,7.758580657865715e-44,117
SPART,0.9021,8.814303720694316e-44,117
ANLN,0.9018,1.0366686644949566e-43,117
PAPSS2,0.9016,1.1661960149139087e-43,117
PALMD,0.9015,1.217235757514938e-43,117
HIP1R,0.9013,1.3289559914356063e-43,117
RASAL1,0.901,1.5754352976874238e-43,117
GSTM3,0.901,1.6270405747324461e-43,117
FILIP1L,0.901,1.6268911042481975e-43,117
SULT2B1,0.9006,6.905392641925177e-41,110
NCAPG,0.9005,2.0744844039183374e-43,117
ACSS3,0.9005,2.129372992827702e-43,117
GBP2,0.9004,2.1865572784228274e-43,117
SYTL4,0.9003,2.4174122306634275e-43,117
KCTD12,0.9001,2.5976856827773507e-43,117
CELF2,0.8996,3.3749007438082013e-43,117
FMN1,0.8994,3.798474923371565e-43,117
FKBP10,0.8993,3.9624370317041694e-43,117
TACC3,0.8991,4.629770610008782e-43,117
ZNF516,0.8989,5.147502674809565e-43,117
EZR,0.8983,7.127961302038192e-43,117
ERO1A,0.8982,7.439393315362995e-43,117
ZEB1,0.8977,9.418469242572545e-43,117
CNRIP1,0.8976,1.0246070830199215e-42,117
KIF4A,0.8971,1.2896896187840777e-42,117
HSPB8,0.8971,1.3087269569079728e-42,117
SMOC2,0.8966,1.6930378814404745e-42,117
PRTFDC1,0.8965,1.8065894645810842e-42,117
WDHD1,0.8964,1.872486143941825e-42,117
CDK1,0.8961,2.2163529745859215e-42,117
CASP10,0.8959,2.4937569269884418e-42,117
SPARCL1,0.8956,2.960660669879804e-42,117
LEF1,0.8955,3.114639162957009e-42,117
MXRA7,0.8953,3.435119152082628e-42,117
ESRP2,0.8952,3.537644953438752e-42,117
IRS1,0.8951,3.7892005287253324e-42,117
TJP3,0.8951,3.7154817343124694e-42,117
TTC39A,0.895,3.891119889174915e-42,117
PALM3,0.895,3.914287188781433e-42,117
AURKB,0.8948,9.606170433625694e-30,82
DLX5,0.8948,5.621260222759753e-40,111
ALDH1A2,0.8942,5.861404427617072e-42,117
CAPN6,0.8942,6.119206406007482e-42,117
CTSF,0.8937,7.70922412831333e-42,117
FANCI,0.8935,8.395721140867089e-42,117
ARFGEF3,0.8932,1.0163142474014883e-41,117
TESC,0.8931,1.0551632368415843e-41,117
MAGI1,0.8931,1.0415283997708036e-41,117
PDE5A,0.893,1.0944962114040379e-41,117
COL26A1,0.8929,7.494736064568255e-06,15
SPTBN2,0.8929,1.151738883426962e-41,117
PLEKHA5,0.8919,1.902276271236915e-41,117
MAOB,0.8914,2.5310837233153977e-41,117
TCEA3,0.8912,2.803643561986048e-41,117
NES,0.8906,3.617520291246673e-41,117
MX1,0.8906,3.683876752616595e-41,117
FGF13,0.8901,4.565437440744705e-05,13
NIBAN1,0.8898,5.531206271194514e-41,117
BAG2,0.8889,8.592039141102877e-41,117
APBB1IP,0.8889,8.611265470002611e-41,117
SOX9,0.8888,4.748227339509982e-38,109
HID1,0.8888,9.180132848680662e-41,117
MYO5B,0.8888,9.045110115039053e-41,117
FGD4,0.8886,9.85746035047709e-41,117
LMOD1,0.8877,1.537515341032648e-40,117
PREX2,0.8877,1.5273927906287266e-40,117
SFRP4,0.8875,1.7107437564036041e-40,117
AASS,0.8873,1.8475710491423164e-40,117
PALM2AKAP2,0.8872,1.943931044827461e-40,117
KCTD14,0.8872,1.9046298372253805e-40,117
AQP5,0.8867,2.463314640226009e-40,117
TAGLN,0.8867,2.4461785971113115e-40,117
GNPNAT1,0.8866,2.630556930939527e-40,117
PACSIN1,0.8861,3.2933828391510015e-40,117
PRKG1,0.8861,3.275164962831671e-40,117
AKT3,0.8861,3.32284379394118e-40,117
MYH11,0.8861,3.2299811174782022e-40,117
KCTD8,0.8859,4.168075614489746e-08,22
PLA2G4A,0.885,5.430982215573986e-40,117
PIMREG,0.8846,5.905745217191008e-05,13
HSPA4L,0.8844,7.201278799446091e-40,117
FAM83B,0.8844,1.5794665300272945e-34,101
PREX1,0.8843,7.637372727344168e-40,117
NCAPD2,0.8843,7.517334105570091e-40,117
OAS3,0.8837,1.0311236336365578e-39,117
EPS8L2,0.8835,1.1126010509683933e-39,117
RHPN2,0.8828,1.521327514373486e-39,117
TOP2A,0.8827,1.6131996386015645e-39,117
RBM47,0.8825,1.73944076590572e-39,117
SYNPO2,0.8825,1.7413838694532776e-39,117
CORO2A,0.8823,1.9012549686262343e-39,117
SPC24,0.882,2.212605782546249e-39,117
PPP1R14C,0.882,4.387724530176877e-37,110
PAX8,0.8819,2.3240068722002975e-39,117
SFRP1,0.8814,2.8811327624003997e-39,117
SLC26A2,0.8812,3.2279671938180174e-39,117
ENPP2,0.8812,3.208271732389519e-39,117
TCEAL7,0.8812,4.302719152001426e-27,80
KHDRBS3,0.881,3.5472424197454906e-39,117
NR2F1,0.8806,3.261255142840833e-34,102
MARCKSL1,0.8799,5.7838235668334164e-39,117
TTC9,0.8797,6.306893197286329e-39,117
DCLK1,0.8796,6.578698149866384e-39,117
PRR15,0.8795,6.840856424860583e-39,117
DTL,0.8795,2.564383070044739e-22,66
STK33,0.8793,7.644022973553288e-39,117
ESRP1,0.8791,8.416463680242708e-39,117
PEG10,0.879,7.393158755009482e-37,111
GATM,0.8786,1.0325347426359641e-38,117
STAP2,0.8784,1.1187706387775646e-38,117
AACS,0.8784,1.1265451962333948e-38,117
DTX3L,0.8781,1.310886069766123e-38,117
NBEA,0.878,1.3581960181028604e-38,117
ADIRF,0.8778,1.4948924878216841e-38,117
TCEAL2,0.8777,1.2775569874402447e-36,111
DAB2,0.8775,1.6933017642922e-38,117
SERPINB1,0.8774,1.7926847711879197e-38,117
PROSER2,0.8774,1.7216320768319025e-38,117
JPT1,0.8772,1.8903447398048007e-38,117
SAMHD1,0.8766,2.502099522861695e-38,117
ANXA1,0.8766,2.4957186406514605e-38,117
MRVI1,0.8765,2.567133023973892e-38,117
CARMIL1,0.8765,2.5825862033802107e-38,117
NOSTRIN,0.8764,2.6675706032815174e-38,117
STAT1,0.8763,2.782347413784719e-38,117
AKR1C3,0.8763,2.8731821161367877e-38,117
TBC1D2,0.8762,2.98288745209336e-38,117
JPT2,0.8759,3.4298296282425806e-38,117
PAGE4,0.8758,3.585387253118959e-38,117
PDLIM3,0.8758,3.542065106119976e-38,117
ARHGAP26,0.8757,3.621606215484955e-38,117
LIG1,0.8751,4.796209824722122e-38,117
NR3C1,0.875,4.993116911613405e-38,117
PLS1,0.8749,5.142728662846316e-38,117
SMC4,0.8747,5.628593081061417e-38,117
CES1,0.8744,6.395499252402262e-38,117
CLIC3,0.8741,7.474574485920677e-38,117
FYB1,0.874,7.713766523736096e-38,117
PCDH7,0.8739,8.06026372063461e-38,117
PFKM,0.8736,9.132014170342848e-38,117
PTPN13,0.8734,9.7140887724369e-38,117
PPFIBP2,0.8733,1.0142841561151918e-37,117
DOCK2,0.8733,1.045784379642329e-37,117
MAPK13,0.8732,1.0926850996126971e-37,117
FBLN2,0.8732,1.0882220649881664e-37,117
TRIM2,0.8731,1.1270192977221488e-37,117
TNFRSF10A,0.8722,2.238008238948702e-05,15
NARF,0.8721,1.688559082130143e-37,117
ERAP2,0.872,1.7587898588063912e-37,117
PRKCQ,0.8718,6.091624854597731e-35,109
THSD4,0.8718,1.910761718669926e-37,117
GBP5,0.8713,2.414672570910393e-37,117
ACBD7,0.8713,2.438510050979005e-37,117
TNXB,0.8711,2.568055799348066e-37,117
ARHGEF6,0.8711,2.564370243957426e-37,117
HIC1,0.8711,2.6187010941831183e-37,117
ALDH1L1,0.871,2.7637101492898614e-37,117
CTNNA2,0.8709,2.8375313486680502e-37,117
PACRG,0.8708,8.169719345990524e-10,29
CENPF,0.8708,2.9213419339468076e-37,117
DPYSL2,0.8707,3.1088450661620723e-37,117
ALDH1A3,0.8706,3.2530557136638553e-37,117
ARHGAP31,0.8706,3.1452213295161137e-37,117
CHAF1A,0.8705,3.288196772141355e-37,117
RBP1,0.8704,3.544420202634117e-37,117
STRBP,0.8702,3.734918739851893e-37,117
KIF2C,0.8702,3.803453566976795e-37,117
ERICH5,0.8701,3.894141881111456e-37,117
C6orf132,0.8699,4.274141486641346e-37,117
GSTM1,0.8692,8.210629239065902e-31,97
KHDRBS2,0.8689,9.829518962008645e-10,29
GRHL2,0.8685,7.594613889571267e-37,117
FHL1,0.8683,8.310986389603266e-37,117
FERMT1,0.868,9.28380278168652e-37,117
TBC1D2B,0.868,9.320354249306592e-37,117
FILIP1,0.8677,1.044901295100635e-36,117
EYA2,0.8674,1.175076003485196e-36,117
CORO1A,0.8669,1.4509973577674175e-36,117
PPL,0.8666,1.666601900197077e-36,117
PLEKHA6,0.8664,1.767431044264253e-36,117
GSPT2,0.8664,1.7563150868433984e-36,117
LCP1,0.8662,1.912073494038259e-36,117
PDZK1IP1,0.866,4.84033364695215e-30,96
APOBEC3C,0.8658,2.2725988775411024e-36,117
ZEB2,0.8657,2.367729265417697e-36,117
MZB1,0.8656,2.4043991696595462e-36,117
LIMK2,0.8655,2.53177125688429e-36,117
RBP7,0.8655,2.5676605975334707e-36,117
FASN,0.8655,2.531597094423518e-36,117
ALPL,0.8653,2.707102853881929e-36,117
FANCD2,0.8652,2.8354537664095784e-36,117
DLX6,0.8651,3.00925619379142e-36,117
ARHGAP10,0.865,3.1532591908908025e-36,117
ACACA,0.8648,3.362644591384154e-36,117
POF1B,0.8643,4.112149737268157e-36,117
AGR3,0.8642,4.2449609715504865e-36,117
MYO5C,0.8642,4.316980462646665e-36,117
IGF2BP2,0.864,4.553278117534201e-36,117
DOCK8,0.8636,5.330447004170428e-36,117
ACOT7,0.8635,5.6483721028702806e-36,117
EPDR1,0.8633,5.929892594380032e-36,117
HCLS1,0.8632,6.260038556990194e-36,117
CCDC6,0.8631,6.490637448543058e-36,117
CSDC2,0.8631,1.625892192784841e-33,109
PTPRM,0.8626,8.053909167392818e-36,117
SSBP2,0.8626,7.889340758089484e-36,117
C19orf33,0.8624,8.654498317919137e-36,117
LAMA1,0.8623,8.801274421256872e-36,117
PLCG2,0.8621,9.66420225909389e-36,117
PDXDC1,0.8621,9.554102781542537e-36,117
INPP4B,0.8621,9.742342109998886e-36,117
NLRP2,0.862,2.354582757159132e-33,109
DOCK5,0.8617,1.131242141647047e-35,117
PLCB1,0.8616,1.185978587204112e-35,117
SYNE1,0.8615,1.1990440964306368e-35,117
MCM4,0.8614,1.251339973388085e-35,117
DLGAP5,0.8614,1.2763902921600843e-35,117
