gene,spearman_r,p_value,n_samples
ACY3,0.9636,1.8520398640703137e-06,11
ESR1,0.9578,8.447500483268382e-18,32
VWA5A,0.9575,9.595457774133586e-18,32
TSPYL5,0.9555,1.8425266984078065e-17,32
MAOB,0.952,5.746971625200562e-17,32
C1orf116,0.9475,2.1287029886127883e-16,32
HOXB4,0.9447,4.186387084958635e-14,28
KIF11,0.9437,5.860403026300567e-16,32
EGFR,0.9415,9.445064834825515e-15,30
LAD1,0.9411,1.148714494290775e-15,32
RRM2,0.9399,1.5365149518630083e-15,32
ACSS1,0.9384,2.1838528746177563e-15,32
HSPA2,0.9366,3.3489064771526196e-15,32
PREX1,0.9361,3.72425034471542e-15,32
EZR,0.9359,3.903710075769094e-15,32
CRYBG1,0.9344,5.5024208553845096e-15,32
MYH11,0.933,7.450085415144076e-15,32
OAS3,0.9322,8.889445377209607e-15,32
CLIC6,0.9293,1.6445061190740317e-14,32
KHDRBS3,0.9288,1.8085077529518722e-14,32
UHRF1,0.9284,1.9484604906597872e-14,32
STK39,0.9267,2.7578541995941552e-14,32
NAT1,0.9256,3.422327652930153e-14,32
MAP1B,0.9255,3.4885567920940947e-14,32
NDRG2,0.9223,6.431894354438119e-14,32
POF1B,0.9222,6.568522910961558e-14,32
ZCCHC24,0.922,6.743150915511191e-14,32
FKBP4,0.9216,7.348393289043584e-14,32
ATP11B,0.9208,8.406726772727541e-14,32
DACH1,0.9201,9.656043048951291e-14,32
GRHL1,0.9192,1.1355976458521436e-13,32
EPHX2,0.919,1.1702772842176027e-13,32
CTPS1,0.9188,1.2123211483647992e-13,32
FGD3,0.9167,1.7575491952464058e-13,32
REEP1,0.9165,3.200550483675243e-10,24
MAP7,0.9164,1.8358506146707437e-13,32
ZAP70,0.9163,1.8675800563115517e-13,32
STAT1,0.9159,2.0233670967587904e-13,32
NDRG1,0.9153,2.2168623458487952e-13,32
ERAP2,0.9149,2.365593025149872e-13,32
IQGAP2,0.9146,2.5103052116679066e-13,32
PPM1H,0.9143,2.6328192880974466e-13,32
NMNAT3,0.9142,2.6701744847330903e-13,32
AS3MT,0.9108,4.673190503778795e-13,32
ANK2,0.9104,5.037507233673377e-13,32
UCHL1,0.9104,5.037507233673377e-13,32
SH2D4A,0.9097,5.574424817961675e-13,32
HLA-DQA1,0.9081,1.7581345792708514e-12,31
TOP2A,0.9076,7.757679564598051e-13,32
CGNL1,0.9073,8.21187125072924e-13,32
PDCD4,0.9067,8.963113428474217e-13,32
C16orf89,0.9059,1.3635133553269886e-06,16
PHYHD1,0.9058,1.0286595977666048e-12,32
CRAT,0.9054,1.0876272800819343e-12,32
AGR2,0.9047,1.2150761893048194e-12,32
GREB1,0.904,1.3562530029991395e-12,32
DCLK1,0.9037,1.4148626792294823e-12,32
SEC14L2,0.9037,1.418580428063485e-12,32
BSN,0.903,0.0003436121977632824,10
PADI2,0.9028,1.620597759995922e-12,32
EEF1A2,0.9021,1.7784111393081111e-12,32
TRIM36,0.9021,1.7784111393081111e-12,32
DNAJA4,0.9015,1.955459378169215e-12,32
ACSL1,0.9003,2.3258021273041706e-12,32
NLRP2,0.9003,2.3197121952518408e-12,32
MX1,0.9001,2.3877572643557918e-12,32
CYP4F22,0.9,0.00015997142806871366,11
TRIP13,0.8997,2.5162810273841826e-12,32
LEF1,0.8995,4.166274985888856e-10,26
UGDH,0.8988,2.8586651570010285e-12,32
MZB1,0.8984,3.0535290248697656e-12,32
ACSF2,0.8982,3.1332329335231285e-12,32
GJA1,0.8977,3.3366299898392047e-12,32
CRYBG3,0.8972,3.5708049818936228e-12,32
SH3PXD2B,0.897,3.695309637991959e-12,32
