gene,spearman_r,p_value,n_samples
ERAP2,0.9374,2.4751576178265896e-33,71
NLRP2,0.9289,1.7403241530948045e-31,71
C1orf116,0.9285,2.109085178340778e-31,71
ABAT,0.9276,3.2163078557612318e-31,71
DNAJC12,0.9267,4.826561190374784e-31,71
NOSTRIN,0.9257,7.573115095348644e-31,71
MAOA,0.9221,3.596724613977757e-30,71
DCLK1,0.9216,4.537030097622846e-30,71
INPP4B,0.918,2.006693886057297e-29,71
PADI2,0.9168,3.251607521525301e-29,71
HSPA4L,0.9167,3.309004018165713e-29,71
HSPA2,0.9161,4.258393147305961e-29,71
AR,0.9115,2.524607954498029e-28,71
SUSD3,0.9091,0.00010559337630360879,11
PHGDH,0.9083,8.146626136747788e-28,71
SERPINB5,0.9061,1.7499053303723177e-27,71
BAIAP2L1,0.9055,2.1941347478987206e-27,71
PPFIBP2,0.9052,2.3908208269752335e-27,71
ACSS3,0.9022,6.644777277866531e-27,71
SNCG,0.901,9.88499235199789e-27,71
POF1B,0.8983,2.4277005653317388e-26,71
FKBP4,0.8982,2.4554064748053062e-26,71
GATA3,0.8973,3.3056750040936085e-26,71
ZNF516,0.8959,5.126673915809124e-26,71
CA8,0.8952,6.459447352540062e-26,71
PHYHD1,0.8952,6.459447352540062e-26,71
CRAT,0.8936,1.0699185797094137e-25,71
AS3MT,0.8932,1.1843134679313373e-25,71
ESR1,0.8927,1.3934952769137889e-25,71
ACADSB,0.8923,1.5853139378082948e-25,71
SH3GL2,0.8919,7.936448023309024e-06,15
UGDH,0.8915,2.003284548263075e-25,71
TBC1D9,0.8915,2.00340536576149e-25,71
VWA5A,0.8914,2.0776323734706055e-25,71
SEC14L2,0.8903,2.827078488316558e-25,71
THSD4,0.8892,3.9395834428031334e-25,71
FAM83B,0.8892,3.972099944872356e-25,71
NCCRP1,0.8882,5.315445012973942e-25,71
AGR2,0.8881,5.551058284224598e-25,71
RABEP1,0.8879,5.753234351287047e-25,71
GSTM3,0.8877,6.122459277645354e-25,71
BLMH,0.8874,6.696184891227778e-25,71
DACH1,0.8871,7.306339479098701e-25,71
RRM2,0.8865,8.798564355712154e-25,71
DEPTOR,0.886,1.005822782702619e-24,71
AGR3,0.8851,1.3099615629361004e-24,71
PSAT1,0.8849,1.3519615334596998e-24,71
CALB2,0.8844,1.572777611265664e-24,71
AIF1L,0.8823,2.8492701814951314e-24,71
CHDH,0.882,3.044198849969783e-24,71
TFF3,0.8817,3.353977299307935e-24,71
CRABP2,0.8805,4.638264167568145e-24,71
SLC25A4,0.8782,8.631158185426264e-24,71
DENND4C,0.8776,8.064080981259686e-05,13
TP63,0.8767,3.967924075295941e-07,20
ASS1,0.8766,1.3244656299526378e-23,71
NAT1,0.8761,1.4976052161830768e-23,71
CAB39L,0.876,1.5332366006115387e-23,71
TRIM3,0.8755,1.7535459947559744e-23,71
CROT,0.8752,1.894835529303169e-23,71
TPPP,0.8752,1.8682637631616777e-23,71
TSPYL5,0.8751,1.92857577332295e-23,71
NUCB2,0.8751,1.941703632511447e-23,71
NDC80,0.8746,2.1850569187466812e-23,71
MAOB,0.874,2.583879212690984e-23,71
ABLIM3,0.8731,3.2529160190020605e-23,71
SULT2B1,0.8725,3.752616939836861e-23,71
C9orf152,0.8723,3.382120508297339e-10,30
MISP,0.8719,4.357221750538877e-23,71
PFKP,0.8718,4.502113142694256e-23,71
C1orf21,0.8716,4.696120201351187e-23,71
RIPK3,0.8715,4.859749946205492e-23,71
CA12,0.8712,5.179098509985821e-23,71
HSPB8,0.871,5.496726780535883e-23,71
LAD1,0.8706,6.066731983869246e-23,71
COL11A1,0.8705,6.29917557411834e-23,71
ARFGEF3,0.8703,6.509480324715607e-23,71
GRAP2,0.8685,1.0181013688688393e-22,71
SH2D4A,0.8682,1.0945620837784792e-22,71
MAGED2,0.8681,1.1142769816765643e-22,71
GALNT6,0.8677,1.2504966531130886e-22,71
NR2F2,0.8677,1.2423411404994988e-22,71
TPD52L1,0.8676,1.2724428128669616e-22,71
GBP1,0.8674,1.3364094972345859e-22,71
STARD10,0.867,1.4656005971252198e-22,71
QPRT,0.8669,1.5078203856607823e-22,71
ALDH4A1,0.8669,1.5131302154407522e-22,71
REPS2,0.8669,1.5104730787485246e-22,71
SOX6,0.8667,0.0011735381801554685,10
CEBPB,0.8667,1.5949539655057805e-22,71
SYTL4,0.8664,1.6828613233115614e-22,71
SLC9A3R1,0.8647,2.5791483233002034e-22,71
KIF2C,0.8646,2.601174312927845e-22,71
KIF16B,0.8643,2.7798599918938182e-22,71
DSP,0.864,3.032050265023922e-22,71
SCIMP,0.8639,1.6084764689491863e-05,16
OSBPL6,0.863,3.8419257732023473e-22,71
IRS1,0.8627,4.0793636046608526e-22,71
MAGI3,0.8612,5.762140713168733e-22,71
RERG,0.8611,5.878370631221678e-22,71
GALNT7,0.8611,5.881533140533683e-22,71
GPD1L,0.8608,6.44295981330924e-22,71
MLPH,0.8605,6.808223637893398e-22,71
VSNL1,0.8603,7.177377492663388e-22,71
ITGB6,0.8602,7.248697362765542e-22,71
PHLDB2,0.8599,7.900954238611677e-22,71
CTPS1,0.8595,8.623627447767185e-22,71
SEPTIN3,0.8594,8.853022896615736e-22,71
PIK3CD,0.8592,9.087753517430985e-22,71
GRB10,0.8592,9.187478191363189e-22,71
CORO2A,0.8587,1.0188283547883117e-21,71
GOLM1,0.8582,1.1466551913221438e-21,71
MSI2,0.858,1.2044837672839258e-21,71
TCEA3,0.8577,1.2816055393576782e-21,71
TRIM36,0.8572,1.4380041858110003e-21,71
GBP5,0.8571,1.4676373285708122e-21,71
ARFIP2,0.8568,1.5752377133388683e-21,71
PLCB1,0.8564,1.7122236528446754e-21,71
MAP7,0.8563,1.7783256567396e-21,71
HID1,0.856,1.8776179456981685e-21,71
COMP,0.8554,2.1430230520342725e-21,71
SMARCA1,0.8541,2.853364322157227e-21,71
ACSS1,0.8537,3.102824191377362e-21,71
PARD6B,0.8535,3.248915780634941e-21,71
VANGL2,0.8533,3.449237815137911e-17,57
SERPINB13,0.8529,0.0008472393944939867,11
XPO5,0.8524,4.161653759582175e-21,71
LRRC15,0.8523,4.204909266700228e-21,71
PLEKHS1,0.8516,4.884242723308387e-21,71
RALGAPA2,0.8515,4.999041522965662e-21,71
CLGN,0.8515,5.0244334035148315e-21,71
TFAP2B,0.851,5.621821014443345e-21,71
MINDY1,0.8502,6.5995091509229006e-21,71
IMPA2,0.8502,6.62551133811201e-21,71
KIF13B,0.8498,7.231854470265541e-21,71
RAB27B,0.8498,7.276378950274241e-21,71
ECHDC3,0.8492,8.147515513645127e-21,71
SLFN5,0.8489,8.785484735306863e-21,71
ATAD2,0.8488,8.937307839480079e-21,71
ARHGAP29,0.8487,9.151182049300946e-21,71
LDHB,0.8486,9.437288431074356e-21,71
YARS1,0.8484,9.692584128884746e-21,71
SYBU,0.8481,1.0357250178095581e-20,71
LPIN1,0.848,1.0572252777331492e-20,71
ANXA3,0.8477,1.1227995937403691e-20,71
MAGI1,0.8477,1.1217310357555668e-20,71
CELSR1,0.8473,1.2229937369020644e-20,71
PPM1H,0.8471,1.277900069513213e-20,71
ALDH6A1,0.8469,1.3344723316106367e-20,71
HLA-DOB,0.8464,6.923823609737214e-05,15
RASAL1,0.8458,1.6822223090015863e-20,71
DDB2,0.8456,1.7296067177552385e-20,71
GPHN,0.8456,1.734665585980987e-20,71
JPT1,0.845,1.9588266848572128e-20,71
ASRGL1,0.8444,2.2401133010803e-20,71
SIPA1L2,0.8441,2.362679621050641e-20,71
COL5A2,0.8441,2.3499757440062658e-20,71
NDRG1,0.8439,2.4734552875116225e-20,71
MX1,0.8439,2.4805852600471073e-20,71
GSPT2,0.8438,2.526868883670862e-20,71
CADM1,0.8434,2.707796007015039e-20,71
RBP7,0.8434,2.735555879708404e-20,71
TBX3,0.8432,2.8483229818648883e-20,71
SOSTDC1,0.8431,2.132810024519339e-05,17
LMO7,0.8425,3.276680474893391e-20,71
GLIPR2,0.8424,3.3443294101625974e-20,71
ADSS1,0.8419,3.6909653719486896e-20,71
TCEAL1,0.8413,4.19683524561355e-20,71
LRRC31,0.8409,3.4234409275619666e-06,20
CCL19,0.8409,5.05248773088858e-07,23
TOP2A,0.8407,4.660112027392728e-20,71
RBP1,0.8406,4.781067871114981e-20,71
TRIM29,0.8405,4.907649811995742e-20,71
OTUD7B,0.8405,4.915478582254291e-20,71
ARHGAP10,0.8402,5.2216905219029855e-20,71
ZNF703,0.8401,5.2656212276864307e-20,71
PREX1,0.8398,5.646886051263616e-20,71
INPP5D,0.8389,6.746699851418067e-20,71
TANC2,0.8385,7.321244929291663e-20,71
MTHFD1L,0.8385,7.321244929291663e-20,71
TNIK,0.8383,7.483565102412963e-20,71
CTNND2,0.8373,9.256437623943538e-20,71
SEPTIN1,0.8369,9.884358215519939e-20,71
PPP1R14C,0.8368,2.1245258471473726e-18,66
FAM110B,0.8366,4.067676570329886e-18,65
NMNAT3,0.8366,1.0417228034710546e-19,71
NDRG2,0.8363,1.109413568613748e-19,71
APBB2,0.8363,1.121760352391175e-19,71
