gene,spearman_r,p_value,n_samples
ADIRF,0.9725,3.50482606017081e-21,33
GSTA2,0.972,4.621926365492819e-21,33
OLFML2A,0.9713,7.55343862324877e-16,25
SCGN,0.9682,3.172839177149536e-20,33
SYTL2,0.9641,2.0288507856423325e-19,33
ANXA13,0.9621,4.805012990970436e-19,33
ADGRG6,0.958,9.543581826838402e-07,12
DCLK1,0.9532,1.1682560777516622e-17,33
SLC2A5,0.9522,1.6074335219756946e-17,33
ADSS1,0.9518,1.8365671884421735e-17,33
TESC,0.9483,5.607634602501598e-15,29
GSDME,0.9482,5.478036023134593e-17,33
ERICH5,0.9475,6.617789745154143e-17,33
STK39,0.9468,8.259563532046386e-17,33
S100A1,0.9458,1.0898414884186463e-16,33
BBOX1,0.9448,1.4068968618926208e-16,33
SLC15A1,0.9441,3.927261080965947e-06,12
LGALS2,0.9437,1.8962984586081334e-16,33
PHYHIPL,0.9418,3.137947174222919e-16,33
CES1,0.9412,3.7286214794744217e-16,33
TSPYL5,0.9406,4.32342051364753e-16,33
AOC1,0.9401,4.907633674238886e-16,33
MAP7D2,0.9395,5.674772357232168e-16,33
EPS8L3,0.9394,5.4840529985136686e-05,10
LGALS3,0.9368,1.0915600393492658e-15,33
FXYD1,0.9365,1.4873892447419573e-10,22
CCDC8,0.9362,1.275794331624682e-15,33
KANK3,0.935,1.6809153371795998e-15,33
HNMT,0.9343,1.960536138054787e-15,33
DBN1,0.9336,2.3236954152124634e-15,33
PTER,0.9328,2.7486521042954248e-15,33
ALOX5,0.9325,2.9689121586699533e-15,33
ASRGL1,0.9316,3.571482871945727e-15,33
PNCK,0.9316,4.8471108158970115e-12,26
DDX3Y,0.9311,3.985789356944948e-15,33
RPS4Y1,0.9297,5.435905448341328e-15,33
PRUNE2,0.9285,7.060265464240319e-15,33
CD70,0.9284,7.175988580472459e-15,33
PAPSS2,0.928,7.714230259261893e-15,33
CADM3,0.9273,3.973774256558546e-05,11
IDO1,0.9271,6.87809511108918e-14,31
IRF6,0.9269,9.799566775720413e-15,33
RBP7,0.9257,1.2430304202585469e-14,33
APOBEC3G,0.9243,1.6526734957401897e-14,33
MRVI1,0.924,1.765299127589374e-14,33
MAP7,0.9234,1.9772802070687877e-14,33
ALDH8A1,0.923,2.1102998314279903e-14,33
