gene,spearman_r,p_value,n_samples
RBKS,0.9835,1.6112145732095236e-09,13
STON2,0.9835,1.6112145732095236e-09,13
BTK,0.9835,1.6112145732095236e-09,13
TMEM63B,0.978,7.75781403139361e-09,13
NEFL,0.978,7.75781403139361e-09,13
ASAP2,0.978,7.75781403139361e-09,13
PRODH,0.978,7.75781403139361e-09,13
FHL1,0.9758,1.467546187404219e-06,10
MCAM,0.9739,1.9950552867319946e-08,13
AIF1,0.9725,2.6191330438273973e-08,13
DCLK1,0.9725,2.6191330438273973e-08,13
BIN2,0.9725,2.6191330438273973e-08,13
SAMSN1,0.967,7.064113887175158e-08,13
PPFIBP2,0.967,7.064113887175158e-08,13
RGS10,0.967,7.064113887175158e-08,13
HSPH1,0.967,7.064113887175158e-08,13
ENO1,0.967,7.064113887175158e-08,13
AOC1,0.967,7.064113887175158e-08,13
DAPK2,0.9666,5.248115668648554e-06,10
MYH14,0.9656,8.883748294029091e-08,13
VIL1,0.9656,8.883748294029091e-08,13
BLNK,0.9656,8.883748294029091e-08,13
RAB42,0.965,3.880985299627466e-07,12
FRY,0.9636,1.8520398640703137e-06,11
VCAM1,0.9615,1.63176808107e-07,13
ALDH1L1,0.9615,1.63176808107e-07,13
PDGFRB,0.9615,1.63176808107e-07,13
SYNPO,0.9615,1.63176808107e-07,13
MCF2L,0.9615,1.63176808107e-07,13
MYO1G,0.9615,1.63176808107e-07,13
SLC27A2,0.9615,1.63176808107e-07,13
ACP5,0.9615,1.63176808107e-07,13
NDRG1,0.9615,1.63176808107e-07,13
CDHR2,0.9615,1.63176808107e-07,13
GSDME,0.9601,1.988422814759941e-07,13
DHX29,0.9574,2.8543106193945596e-07,13
PLCB4,0.956,3.365097276351455e-07,13
HABP4,0.956,3.365097276351455e-07,13
MNDA,0.956,3.365097276351455e-07,13
CES1,0.956,3.365097276351455e-07,13
LGALS9,0.9546,4.0043111693623236e-07,13
KRT19,0.9546,4.0043111693623236e-07,13
NPL,0.9505,6.363704773478595e-07,13
CRYBG3,0.9505,6.363704773478595e-07,13
DDR1,0.9505,6.363704773478595e-07,13
DCDC2,0.9505,6.363704773478595e-07,13
ADGRF5,0.9505,6.363704773478595e-07,13
WAS,0.9505,6.363704773478595e-07,13
SYNE1,0.9505,6.363704773478595e-07,13
PLEK,0.9505,6.363704773478595e-07,13
LIN7A,0.9505,6.363704773478595e-07,13
NAP1L4,0.9505,6.363704773478595e-07,13
PIGR,0.9505,6.363704773478595e-07,13
SEPTIN1,0.9504,6.456478003365067e-07,13
COL14A1,0.9491,7.43328108925181e-07,13
GSTA2,0.9491,7.43328108925181e-07,13
CLEC14A,0.9491,7.43328108925181e-07,13
NCF2,0.9451,1.1239312789557576e-06,13
NCKAP1L,0.9451,1.1239312789557576e-06,13
PARVG,0.9451,1.1239312789557576e-06,13
COTL1,0.9451,1.1239312789557576e-06,13
BMP2K,0.9451,1.1239312789557576e-06,13
PTGS1,0.9451,1.1239312789557576e-06,13
VWA5A,0.9451,1.1239312789557576e-06,13
NGEF,0.9441,3.927261080965947e-06,12
PRKCA,0.9409,1.6717901962957717e-06,13
KLC4,0.9396,1.878248429938887e-06,13
TANC1,0.9396,1.878248429938887e-06,13
FABP4,0.9396,1.878248429938887e-06,13
GNG7,0.9396,1.878248429938887e-06,13
EIF1AY,0.9396,1.878248429938887e-06,13
PHLDB2,0.9396,1.878248429938887e-06,13
TTC39A,0.9396,1.878248429938887e-06,13
SLC6A13,0.9396,1.878248429938887e-06,13
CPNE2,0.9396,1.878248429938887e-06,13
HCLS1,0.9396,1.878248429938887e-06,13
ARHGAP30,0.9396,1.878248429938887e-06,13
TPPP3,0.9396,1.878248429938887e-06,13
ALDOC,0.9396,1.878248429938887e-06,13
MICAL1,0.9396,1.878248429938887e-06,13
PLOD2,0.9396,1.878248429938887e-06,13
JPT1,0.9394,1.9056615582511492e-06,13
IGHV5-10-1,0.9387,6.144233588143184e-06,12
COL23A1,0.9381,2.135240293365196e-06,13
MYO1B,0.9381,2.135240293365196e-06,13
BICC1,0.9381,2.135240293365196e-06,13
POF1B,0.9371,6.9931649532105415e-06,12
PTPN2,0.9354,2.6976533454139663e-06,13
RAB17,0.9341,2.9987037500995776e-06,13
MX2,0.9341,2.9987037500995776e-06,13
GPSM3,0.9341,2.9987037500995776e-06,13
ACOT7,0.9341,2.9987037500995776e-06,13
PFKP,0.9341,2.9987037500995776e-06,13
IFIT3,0.9341,2.9987037500995776e-06,13
SFRP1,0.9341,2.9987037500995776e-06,13
PLEKHA5,0.9311,3.787918638323546e-06,13
SHROOM4,0.9311,3.787918638323546e-06,13
SCIN,0.9298,4.182307047288711e-06,13
WAPL,0.9298,4.182307047288711e-06,13
PPAT,0.9286,4.607427269933691e-06,13
PPFIBP1,0.9286,4.607427269933691e-06,13
ANK2,0.9286,4.607427269933691e-06,13
HCK,0.9286,4.607427269933691e-06,13
ISLR,0.9286,4.607427269933691e-06,13
ARL6,0.9286,4.607427269933691e-06,13
DOCK11,0.9286,4.607427269933691e-06,13
IFIT2,0.9286,4.607427269933691e-06,13
ACAD11,0.9286,4.607427269933691e-06,13
GMIP,0.9286,4.607427269933691e-06,13
SAMHD1,0.9286,4.607427269933691e-06,13
NCEH1,0.9286,4.607427269933691e-06,13
CDH6,0.9286,4.607427269933691e-06,13
ITGAL,0.9286,4.607427269933691e-06,13
SAMD9,0.9286,4.607427269933691e-06,13
SLC34A2,0.9273,3.973774256558546e-05,11
TLR2,0.9273,0.00011203450639397586,10
VSNL1,0.9273,3.973774256558546e-05,11
GIMAP8,0.9243,6.267526842219551e-06,13
LDHA,0.9243,6.267526842219551e-06,13
RAB24,0.9241,6.357452882508632e-06,13
TPPP,0.9231,6.851685949643354e-06,13
EML4,0.9231,1.8621951098680993e-05,12
EPS8L2,0.9231,6.851685949643354e-06,13
HPCAL1,0.9231,6.851685949643354e-06,13
PLEKHO2,0.9231,6.851685949643354e-06,13
COL18A1,0.9231,6.851685949643354e-06,13
EIF4ENIF1,0.9231,6.851685949643354e-06,13
FLNB,0.9231,6.851685949643354e-06,13
LRP2,0.9231,6.851685949643354e-06,13
PTPRK,0.9231,6.851685949643354e-06,13
PUS1,0.9231,6.851685949643354e-06,13
ADA2,0.9231,6.851685949643354e-06,13
RASAL1,0.9231,6.851685949643354e-06,13
SLC4A7,0.9231,1.8621951098680993e-05,12
CUBN,0.9231,6.851685949643354e-06,13
SLCO4C1,0.9231,6.851685949643354e-06,13
RBP1,0.9231,6.851685949643354e-06,13
CYBB,0.9231,6.851685949643354e-06,13
MSRB1,0.9231,6.851685949643354e-06,13
JUP,0.9231,6.851685949643354e-06,13
UBE2E2,0.9231,6.851685949643354e-06,13
STK39,0.9227,7.049735918833979e-06,13
ANGPT2,0.9216,7.586996864752339e-06,13
LGALS2,0.9216,7.586996864752339e-06,13
RTKN,0.9216,7.586996864752339e-06,13
GOLPH3L,0.9201,8.386052602850382e-06,13
VAV1,0.9188,9.122175547454867e-06,13
ADAP2,0.9182,6.661451941355569e-05,11
CRYZ,0.9176,9.906225317564692e-06,13
MACC1,0.9176,9.906225317564692e-06,13
PLCB2,0.9176,9.906225317564692e-06,13
ENDOD1,0.9176,9.906225317564692e-06,13
HSPA4L,0.9176,9.906225317564692e-06,13
CAPG,0.9176,9.906225317564692e-06,13
STK26,0.9176,9.906225317564692e-06,13
RCN3,0.9176,9.906225317564692e-06,13
HDAC5,0.9176,9.906225317564692e-06,13
MTCL1,0.9176,9.906225317564692e-06,13
TYROBP,0.9176,9.906225317564692e-06,13
ARMC9,0.9176,9.906225317564692e-06,13
GBP5,0.9176,9.906225317564692e-06,13
SH2D4A,0.9176,9.906225317564692e-06,13
FZD6,0.9176,9.906225317564692e-06,13
HID1,0.9161,2.8428045348547132e-05,12
ADA,0.9161,1.0898782722727019e-05,13
