gene,spearman_r,p_value,n_samples
GSTM1,0.986,4.1168959116543235e-09,12
IDO1,0.9818,8.403066433955256e-08,11
MYH11,0.979,3.089801398548709e-08,12
TAOK3,0.979,3.089801398548709e-08,12
FGF2,0.972,1.2868115751495027e-07,12
RTN1,0.972,1.2868115751495027e-07,12
PPP1R14C,0.972,1.2868115751495027e-07,12
RASAL3,0.972,1.2868115751495027e-07,12
ANXA13,0.972,1.2868115751495027e-07,12
PLCB4,0.972,1.2868115751495027e-07,12
CDH11,0.965,3.880985299627466e-07,12
SNCG,0.965,3.880985299627466e-07,12
PYCARD,0.965,3.880985299627466e-07,12
EHBP1,0.965,3.880985299627466e-07,12
KRT19,0.965,3.880985299627466e-07,12
APBB1,0.965,3.880985299627466e-07,12
SLC34A2,0.965,3.880985299627466e-07,12
PIK3AP1,0.965,3.880985299627466e-07,12
MCC,0.965,3.880985299627466e-07,12
MOXD1,0.965,3.880985299627466e-07,12
DHTKD1,0.965,3.880985299627466e-07,12
SEPTIN1,0.965,3.880985299627466e-07,12
PLIN3,0.9649,3.945432272231056e-07,12
HDAC5,0.9648,4.00443693809426e-07,12
CLRN3,0.9613,2.4488608545989227e-06,11
KCTD14,0.958,9.543581826838402e-07,12
S100A1,0.958,9.543581826838402e-07,12
GSTA4,0.958,9.543581826838402e-07,12
PEG10,0.958,9.543581826838402e-07,12
ARHGAP25,0.958,9.543581826838402e-07,12
KANK3,0.958,9.543581826838402e-07,12
MAGED1,0.958,9.543581826838402e-07,12
MX1,0.958,9.543581826838402e-07,12
HPS5,0.958,9.543581826838402e-07,12
IFI16,0.958,9.543581826838402e-07,12
RAB42,0.9545,4.988898739949761e-06,11
LMO7,0.951,2.0384246324655774e-06,12
CRABP2,0.951,2.0384246324655774e-06,12
ALDH6A1,0.951,2.0384246324655774e-06,12
PYCR1,0.951,2.0384246324655774e-06,12
TPPP,0.951,2.0384246324655774e-06,12
NRCAM,0.951,2.0384246324655774e-06,12
RASAL1,0.951,2.0384246324655774e-06,12
LRSAM1,0.951,2.0384246324655774e-06,12
RGCC,0.951,2.0384246324655774e-06,12
ATP6V1C1,0.951,2.0384246324655774e-06,12
NCF2,0.951,2.0384246324655774e-06,12
CCAR2,0.9509,2.072618610398027e-06,12
IRS2,0.9492,2.4427417276402144e-06,12
SIAE,0.9457,3.3893259400208484e-06,12
GSDME,0.9441,3.927261080965947e-06,12
RNF214,0.9441,3.927261080965947e-06,12
PHYHIPL,0.9441,3.927261080965947e-06,12
RBP7,0.9441,3.927261080965947e-06,12
IGLV6-57,0.9441,3.927261080965947e-06,12
ERICH5,0.9441,3.927261080965947e-06,12
PPP1R37,0.9441,3.927261080965947e-06,12
BICC1,0.9441,3.927261080965947e-06,12
SRM,0.9441,3.927261080965947e-06,12
SPATA18,0.9441,3.927261080965947e-06,12
PROSER2,0.9441,3.927261080965947e-06,12
SHROOM4,0.9441,3.927261080965947e-06,12
ARSB,0.9437,4.056505206509597e-06,12
BLMH,0.9422,4.605617330515958e-06,12
TMED8,0.9422,4.605617330515958e-06,12
SGCD,0.9394,5.4840529985136686e-05,10
LAMC2,0.9394,5.4840529985136686e-05,10
CTSB,0.9387,6.144233588143184e-06,12
PPL,0.9387,6.144233588143184e-06,12
UGDH,0.9371,6.9931649532105415e-06,12
ARG2,0.9371,6.9931649532105415e-06,12
ACAD11,0.9371,6.9931649532105415e-06,12
HS1BP3,0.9371,6.9931649532105415e-06,12
NCAM1,0.9371,6.9931649532105415e-06,12
HIP1R,0.9371,6.9931649532105415e-06,12
NAP1L5,0.9371,6.9931649532105415e-06,12
ERO1A,0.9371,6.9931649532105415e-06,12
ASPH,0.9371,6.9931649532105415e-06,12
OCLN,0.9371,6.9931649532105415e-06,12
NAGK,0.9371,6.9931649532105415e-06,12
APOL2,0.9371,6.9931649532105415e-06,12
PITPNC1,0.9371,6.9931649532105415e-06,12
CES1,0.9371,6.9931649532105415e-06,12
CIT,0.9371,6.9931649532105415e-06,12
ARHGAP31,0.9371,6.9931649532105415e-06,12
LMOD1,0.9371,6.9931649532105415e-06,12
STAMBPL1,0.9371,6.9931649532105415e-06,12
FUT8,0.9371,6.9931649532105415e-06,12
PGM3,0.9317,1.0429359329413034e-05,12
IGHV5-10-1,0.9317,1.0429359329413034e-05,12
NRIP2,0.9317,1.0429359329413034e-05,12
DGKA,0.9317,1.0429359329413034e-05,12
NAPSA,0.9301,1.1702227928659685e-05,12
LRRFIP1,0.9301,1.1702227928659685e-05,12
TAGLN,0.9301,1.1702227928659685e-05,12
RHOC,0.9301,1.1702227928659685e-05,12
GALNT2,0.9301,1.1702227928659685e-05,12
PPP2R3A,0.9301,1.1702227928659685e-05,12
PLA2G4A,0.9301,1.1702227928659685e-05,12
PLEKHA2,0.9301,1.1702227928659685e-05,12
MGARP,0.9301,1.1702227928659685e-05,12
LGALS2,0.9301,1.1702227928659685e-05,12
NMT1,0.9301,1.1702227928659685e-05,12
CCDC9B,0.9301,1.1702227928659685e-05,12
NOSTRIN,0.9301,1.1702227928659685e-05,12
STAP2,0.9301,1.1702227928659685e-05,12
FTCD,0.9301,1.1702227928659685e-05,12
PDLIM3,0.9301,1.1702227928659685e-05,12
GRB10,0.9301,1.1702227928659685e-05,12
ADIRF,0.9301,1.1702227928659685e-05,12
CLIP2,0.9301,1.1702227928659685e-05,12
UCHL1,0.9301,1.1702227928659685e-05,12
FLNC,0.9282,1.3312257689188839e-05,12
EIF3J,0.9282,1.3312257689188839e-05,12
ME1,0.9282,1.3312257689188839e-05,12
FHOD3,0.9282,1.3312257689188839e-05,12
SUMF2,0.9282,1.3312257689188839e-05,12
EIF5A2,0.9273,3.973774256558546e-05,11
STEAP3,0.9273,3.973774256558546e-05,11
NMI,0.9247,1.67906990497589e-05,12
HNMT,0.9231,1.8621951098680993e-05,12
EFHD1,0.9231,1.8621951098680993e-05,12
