gene,spearman_r,p_value,n_samples
SLC10A2,0.9807,2.0224116061313734e-08,12
A1CF,0.9682,9.522629559345637e-32,52
TRAC,0.967,7.064113887175158e-08,13
ERAP2,0.9557,3.273908747015947e-28,52
ADIRF,0.9499,6.631893808406821e-27,52
MYH11,0.9464,3.4411406971426676e-26,52
MGARP,0.9454,5.311523957010757e-26,52
ERICH5,0.9437,1.1123385745183015e-25,52
STON2,0.9431,1.4918752931389924e-25,52
MAP7,0.942,2.3041287478681106e-25,52
NPL,0.9398,5.689670348668839e-25,52
CENPV,0.9382,1.0909445775301356e-24,52
MID1,0.9364,2.190845687698206e-24,52
DDX3Y,0.9339,5.486099631415149e-24,52
FGD5,0.9336,6.1195637881623576e-24,52
COBL,0.9336,6.3000226536809215e-24,52
SOX6,0.9332,4.568415046491962e-13,28
ASRGL1,0.9317,1.2096657218451524e-23,52
AHNAK2,0.9298,2.3662122609401988e-23,52
SCRN1,0.926,8.457119711645537e-23,52
PRUNE2,0.9256,9.643842500293431e-23,52
PHYHIPL,0.9252,1.107045002496901e-22,52
GAMT,0.9231,2.151330602888427e-22,52
CMBL,0.9228,2.3306501905005483e-22,52
GSTA2,0.9219,3.137479260440251e-22,52
PIK3AP1,0.921,4.1328316510017092e-22,52
TPPP,0.9209,4.241589206672997e-22,52
CD36,0.9183,9.186157338215094e-22,52
ADSS1,0.9173,1.2321358892258355e-21,52
ANXA13,0.9172,1.2689356220882692e-21,52
GDA,0.9165,1.5750496180742616e-21,52
RBP7,0.9161,1.7352516912016594e-21,52
PLS1,0.9124,4.916798299382401e-21,52
SORCS2,0.9123,5.012324718588994e-21,52
GPNMB,0.9119,5.6718476157219084e-21,52
F13A1,0.9102,8.968248506262211e-21,52
KHK,0.9084,1.439862664253736e-20,52
AKR1B1,0.9048,3.541058090349685e-20,52
HLA-G,0.9043,2.3795599448128426e-10,26
NPR3,0.904,4.3563037541632806e-20,52
SCIN,0.9036,4.791537347483239e-20,52
PPP1R14C,0.9017,7.711832342312754e-20,52
PTGFRN,0.8998,1.217343115017288e-19,52
SYK,0.8993,1.3550388586738915e-19,52
RAB42,0.8992,3.2358983384961205e-19,51
HS1BP3,0.8988,1.5219972376592345e-19,52
GZMH,0.8984,3.778307705604197e-11,29
CDH4,0.898,7.436414369774776e-12,31
CES2,0.898,1.865009607656683e-19,52
DCLK1,0.898,1.8446818131579873e-19,52
RPS4Y1,0.8976,2.03387729692217e-19,52
RASAL1,0.8961,2.900816521520425e-19,52
MMRN1,0.8953,3.456032139297082e-19,52
AOC1,0.895,3.6818677824341603e-19,52
ARHGEF16,0.8939,4.754713841830098e-19,52
KCTD16,0.8922,1.4893515661379575e-06,17
GPX4,0.8921,7.065299116693534e-19,52
TESC,0.8916,3.867655475355451e-18,50
RASAL3,0.8916,7.871161165613308e-19,52
MRVI1,0.8912,8.488378792063093e-19,52
EOMES,0.8909,0.0005421442248338668,10
SULF1,0.8897,1.1868130437053943e-18,52
ALDOC,0.8892,1.324336553551206e-18,52
CD74,0.8883,1.5815039775846129e-18,52
CCDC8,0.8881,1.652876112090044e-18,52
DIAPH2,0.8873,1.9567744428224167e-18,52
TAGLN,0.8872,2.0059676162077382e-18,52
LMOD1,0.8867,2.2238410879546823e-18,52
SCGN,0.8857,2.7559056878256862e-18,52
GPR155,0.8853,2.309802009066515e-06,17
MMRN2,0.8852,3.0332622259638506e-18,52
DPYSL3,0.8851,3.107894687957597e-18,52
ME1,0.8843,3.6973460313829285e-18,52
PLVAP,0.884,3.910932051417452e-18,52
