gene,spearman_r,p_value,n_samples
SLC7A11,0.9794,1.5523232299128773e-12,18
STON2,0.969,3.808572835250758e-19,31
TMEM45B,0.9627,7.994901705627856e-13,22
ASPRV1,0.9625,5.645264592741614e-18,31
F3,0.9612,9.224861351143012e-18,31
SCEL,0.9561,5.245564870637694e-17,31
KRT75,0.9537,1.1251530959871206e-16,31
IFIT3,0.9535,1.1968137430030343e-16,31
AKR1B10,0.9535,1.1968137430030343e-16,31
SPINK5,0.948,5.910436571353866e-16,31
CERS3,0.9471,7.561029750091431e-16,31
USP18,0.9448,3.9983483973025174e-13,26
GSDMC,0.9423,2.55294585367617e-15,31
GSPT2,0.942,2.737055449755378e-15,31
FAM83C,0.9418,2.8746277792309363e-15,31
OASL,0.9416,3.0185886107914226e-15,31
POF1B,0.9415,3.088652963975443e-15,31
IFIT2,0.9415,3.088652963975443e-15,31
RSAD2,0.9409,8.087785796446587e-12,24
IDO1,0.9407,3.747690798404604e-15,31
CLCA2,0.9403,4.124028131875866e-15,31
NDUFA4L2,0.9402,4.25347263030849e-15,31
DSP,0.9399,4.535151273451665e-15,31
RBP1,0.9399,4.535151273451665e-15,31
FAM83A,0.9391,5.489306681437321e-15,31
GSTM3,0.9388,5.878267148169741e-15,31
LAX1,0.9371,6.9931649532105415e-06,12
SERPINB3,0.9368,9.283394346908076e-15,31
PYGL,0.9363,1.0367798866179371e-14,31
TFRC,0.9358,1.1601238497550526e-14,31
OAS3,0.9354,1.267026509562878e-14,31
A2ML1,0.9351,1.351199786715614e-14,31
PI3,0.9346,1.5087425092633672e-14,31
SDR16C5,0.9344,1.5755127232069383e-14,31
ACP7,0.9341,2.9987037500995776e-06,13
ITGB6,0.9339,1.7521200159597008e-14,31
SCD5,0.9336,1.492938545555119e-13,29
NUP210,0.933,2.1253177926742224e-14,31
IL36RN,0.9311,3.0937100328578506e-14,31
SFN,0.9311,3.0937100328578506e-14,31
CALML3,0.931,3.153500925148913e-14,31
SERPINB4,0.9306,3.4227185913910655e-14,31
DSG3,0.9306,3.4227185913910655e-14,31
KRTDAP,0.9302,3.7130974865002186e-14,31
RND3,0.9301,3.7945399725558074e-14,31
PC,0.9299,3.9624417495669686e-14,31
DSC2,0.929,4.726914128803105e-14,31
HERC6,0.9285,5.2279502432859206e-14,31
MX1,0.9283,5.4387517507405654e-14,31
PIR,0.9283,5.4387517507405654e-14,31
SAMD9,0.9277,6.136628442041847e-14,31
BICD2,0.9275,6.363182405394486e-14,31
IL36G,0.9274,6.479288543115852e-14,31
ERAP2,0.9267,7.431372277593274e-14,31
CRYBG1,0.9267,7.431372277593274e-14,31
CRYBG2,0.9266,7.565294683597332e-14,31
IMPA2,0.9264,7.906426339171527e-14,31
IFIT1,0.9262,8.169370137352449e-14,31
LGALSL,0.9258,8.817856869667351e-14,31
CSTA,0.9255,9.348345213488238e-14,31
GBP4,0.9253,9.709181154218288e-14,31
PPFIA1,0.9252,9.908357323463034e-14,31
DSC1,0.9248,1.0683513840172265e-13,31
DSG1,0.9246,1.1060561231232094e-13,31
KANK1,0.9246,1.1060561231232094e-13,31
CALML5,0.9242,1.1918419933617413e-13,31
MTHFR,0.9242,1.195208135679422e-13,31
GBP5,0.9242,1.1918419933617413e-13,31
CAV1,0.9236,1.335892753813864e-13,31
KRT16,0.9233,1.4098576345679302e-13,31
HSPA4L,0.923,1.4875803446322364e-13,31
CLIC6,0.9226,1.60036697635879e-13,31
TSPYL5,0.9219,1.8195529559835977e-13,31
PLA2G4E,0.9212,3.678810114924742e-12,28
C1orf116,0.921,2.1354201164286705e-13,31
XDH,0.9206,2.29289770896435e-13,31
COL17A1,0.9206,2.29289770896435e-13,31
CORO2A,0.9198,2.640593737095337e-13,31
CPA4,0.9194,2.8321770015492765e-13,31
MYH14,0.919,2.9968352166167813e-13,31
ESRP2,0.9185,3.2545176134942524e-13,31
GPX2,0.918,3.552317756691201e-13,31
PLS1,0.9178,3.6762960542148026e-13,31
SDCBP2,0.9177,3.734518949017897e-13,31
FAM83G,0.9172,4.072671486424017e-13,31
FAT1,0.9172,4.072671486424017e-13,31
SLURP1,0.917,4.213347280713452e-13,31
CASP4,0.9168,4.358508445968621e-13,31
IFIH1,0.9165,4.591391561981771e-13,31
CYP24A1,0.9161,2.8428045348547132e-05,12
DDX3Y,0.9158,5.156306179384522e-13,31
IGF2BP3,0.9158,5.156306179384522e-13,31
MET,0.9158,5.156306179384522e-13,31
PRXL2A,0.9157,5.23574356049753e-13,31
SLC12A6,0.9142,6.737290340689033e-13,31
KLK8,0.9142,6.718422902235573e-13,31
DDX60,0.9128,8.433307157496559e-13,31
CXADR,0.9127,8.582129623262121e-13,31
ITGA6,0.9125,8.837477521037923e-13,31
GBP6,0.9125,8.837477521037923e-13,31
AOC1,0.9121,1.3975552674444556e-05,13
S100A7,0.9113,1.0698907104048299e-12,31
PARD3,0.9113,1.0728940493699576e-12,31
IGF2BP2,0.9109,1.142785517678687e-12,31
LY6G6C,0.9109,4.234426472044018e-11,27
CTSV,0.9108,1.1592796093222698e-12,31
GSDMA,0.9101,1.2917471489111389e-12,31
HSPB8,0.9093,1.4625141708271113e-12,31
FKBP10,0.9093,1.4625141708271113e-12,31
COL3A1,0.9092,1.4873512643606966e-12,31
IFI6,0.9091,4.191044653034231e-05,12
ACKR3,0.9091,0.00010559337630360879,11
LMCD1,0.9089,1.5555139321219043e-12,31
TPPP3,0.9089,1.5555139321219043e-12,31
STEAP4,0.9085,1.6539570273572174e-12,31
IVL,0.9083,1.6912304471829757e-12,31
LY6E,0.9082,1.7339622248516442e-12,31
MYEF2,0.908,1.7630622694881564e-12,31
KLK11,0.9077,1.8683518108402282e-12,31
KRT19,0.9073,1.9849286568173675e-12,31
CARD17,0.9071,2.406696551857415e-09,23
ANKRD35,0.9069,2.1082003986678584e-12,31
RNASE7,0.9068,2.1141058002416217e-12,31
PKP3,0.9067,2.1551028975293933e-12,31
JUP,0.9066,2.1785407873156455e-12,31
AFAP1L2,0.9059,2.4152623345306184e-12,31
CGAS,0.9055,2.5773566185070202e-12,31
KYNU,0.9055,2.56301196016494e-12,31
SPRR2D,0.9052,2.6755167054606785e-12,31
EPS8L1,0.9047,2.8838942381337716e-12,31
MYO1E,0.9045,2.969720338816949e-12,31
DDX58,0.9043,3.057902517433537e-12,31
GPNMB,0.9042,3.1072310307540405e-12,31
SPRR5,0.9041,1.0188659898105652e-10,27
DMKN,0.9036,3.381234531927443e-12,31
LYPD3,0.9032,3.582727026594769e-12,31
GDAP1,0.9031,3.639885705999699e-12,31
S100A14,0.9022,4.147578434267325e-12,31
PLA2G4A,0.9021,4.201346952150883e-12,31
ANO1,0.9019,4.322827991955254e-12,31
JPT1,0.9012,4.780707233749486e-12,31
SPINK6,0.9,0.00015997142806871366,11
CDSN,0.9,5.642249064824475e-12,31
LAD1,0.8988,6.663468850689826e-12,31
IL1RN,0.8987,6.7652726106016276e-12,31
SOWAHC,0.8983,7.14729250523327e-12,31
STAT1,0.8973,8.19124609640669e-12,31
KRT6C,0.8971,8.416244374054147e-12,31
RHOD,0.8969,4.550428980960423e-11,29
P3H3,0.8966,8.90820850618469e-12,31
MAPK13,0.8964,9.236617617193273e-12,31
PLD1,0.8959,9.890613632537967e-12,31
PPL,0.8955,1.043280952808432e-11,31
SERPINB2,0.8955,1.0309068923449677e-11,31
LCE3E,0.8952,1.5441087770602277e-09,25
TRAC,0.8951,8.366586429091718e-05,12
FRYL,0.8947,1.1464125102397014e-11,31
SULF1,0.8945,1.177099434955743e-11,31
KRT6B,0.894,1.2702364186252097e-11,31
MAP1B,0.8938,1.2887880057953221e-11,31
UBAP2,0.8931,1.4140915946140496e-11,31
SFRP4,0.8931,1.4101679318315971e-11,31
CTTN,0.8923,1.5642189590881695e-11,31
PALMD,0.8922,1.5867341747926876e-11,31
KRT14,0.892,1.628149210410545e-11,31
TGM1,0.8918,1.6705605302857272e-11,31
SP110,0.8915,1.7433306237985378e-11,31
DOCK9,0.8914,1.7633451374215036e-11,31
GALNT6,0.8912,1.8090045786339302e-11,31
TMPRSS11D,0.8911,1.8246312518572007e-11,31
CLIC3,0.8908,1.898344022648376e-11,31
CA9,0.8906,1.9472089181265447e-11,31
SPRR2A,0.8903,2.019882348000724e-11,31
CMPK2,0.89,2.1008597007002247e-11,31
SLC16A1,0.89,2.1008597007002247e-11,31
DHCR7,0.89,2.106691854603646e-11,31
MAP1A,0.89,2.1008597007002247e-11,31
MMP1,0.8899,2.1245807484552658e-11,31
CTNND1,0.8899,2.1245807484552658e-11,31
MEAK7,0.8899,2.1304827208240252e-11,31
SERPINB12,0.8895,4.9644039034792097e-11,30
MTAP,0.8893,2.297416654196319e-11,31
TRIM29,0.8891,2.3491679175971277e-11,31
FAM83B,0.889,2.3820337615013518e-11,31
KRT23,0.889,2.3820337615013518e-11,31
KRT18,0.8889,2.4153277209874643e-11,31
FYB1,0.8889,2.4153277209874643e-11,31
DCLK1,0.8887,2.4694994666156495e-11,31
FAM160A1,0.8886,2.510874588047977e-11,31
CD9,0.8886,2.5039283005495227e-11,31
NCCRP1,0.8883,2.5954993722204092e-11,31
ITGA2,0.8883,2.6027037241683704e-11,31
TTC39B,0.888,2.7050835686671862e-11,31
EGFR,0.8875,2.873438823848382e-11,31
TRIM2,0.8872,2.961397655548243e-11,31
PDLIM2,0.8867,3.169966744297838e-11,31
ABCA12,0.8863,3.3193897730276634e-11,31
HOOK1,0.8863,3.3193897730276634e-11,31
DNAJB2,0.886,3.4475637728695534e-11,31
VSNL1,0.8859,3.4848591314401575e-11,31
TXNIP,0.8857,3.580315839810595e-11,31
BST2,0.8856,3.618928271563484e-11,31
AIF1L,0.8856,3.618928271563484e-11,31
SPRR4,0.8855,3.6680518180679405e-11,31
CRABP2,0.8852,3.798124631639786e-11,31
CSTB,0.8849,3.9433076758342556e-11,31
CYP4F22,0.8848,1.8844379067555251e-10,29
CLEC2B,0.8842,5.097789186801276e-07,19
PPP1R14C,0.8836,4.5999459771370595e-11,31
NEDD4L,0.8832,4.823451605691125e-11,31
MX2,0.8832,4.823451605691125e-11,31
CSPG4,0.8831,4.836796630561156e-11,31
GATM,0.883,4.9389232902406743e-11,31
KRT8,0.8828,5.004520665665891e-11,31
CCL21,0.8824,1.1373119465908494e-10,30
GBP1,0.8821,5.4417956130796455e-11,31
SLC7A5,0.8819,5.555513551438822e-11,31
PSTPIP2,0.8816,5.761841553033778e-11,31
MXRA5,0.8815,5.837548645779229e-11,31
FST,0.8811,6.09909978288549e-11,31
CLTB,0.8809,6.242456534920769e-11,31
OAS2,0.8808,6.324017729713668e-11,31
KLK7,0.8807,6.388916342359697e-11,31
P3H2,0.8807,6.388916342359697e-11,31
SLC27A4,0.8802,6.778393999613578e-11,31
CA12,0.8798,7.07827879871209e-11,31
ANKRD13A,0.8797,7.209583049008092e-11,31
PROM2,0.8794,7.410650328002512e-11,31
MAP7,0.8794,7.451636597045564e-11,31
FLRT3,0.8791,1.5688358711881624e-08,24
PRTFDC1,0.879,7.778798434248745e-11,31
DSC3,0.879,7.757366703874346e-11,31
