gene,spearman_r,p_value,n_samples
POF1B,0.97,1.2640270015692426e-15,25
GBP5,0.9673,3.366238874266044e-15,25
SAMD9,0.9669,3.826990139544201e-15,25
FABP5,0.9631,1.3306164165883055e-14,25
DDX58,0.959,4.313004601726449e-14,25
S100A2,0.9554,1.1292140147030227e-13,25
HERC6,0.9554,1.1292140147030227e-13,25
FAM83A,0.9548,1.3081297881093026e-13,25
NDUFA4L2,0.9546,1.3693264288999668e-13,25
CALML5,0.9544,1.439306798796683e-13,25
STAT1,0.9544,1.439306798796683e-13,25
GBP2,0.9536,1.7531530924793223e-13,25
IFIT3,0.9531,1.993927391443841e-13,25
IPO7,0.9531,1.993927391443841e-13,25
WARS1,0.9529,2.0924924055918134e-13,25
PKP3,0.9506,3.58542335901248e-13,25
DSC2,0.95,4.0768799912618063e-13,25
DSP,0.95,4.0768799912618063e-13,25
PYGL,0.95,4.0768799912618063e-13,25
OAS2,0.95,4.0768799912618063e-13,25
GBP1,0.9492,4.840945746407e-13,25
AHNAK2,0.9485,5.733043815027239e-13,25
SMAD3,0.9483,5.991165668829974e-13,25
MAPK13,0.9482,6.01695850031337e-13,25
CD7,0.9474,2.429729310669128e-10,20
GJB2,0.9467,8.328658378386835e-13,25
OAS3,0.9462,9.379924913115212e-13,25
DOCK9,0.9454,1.1047414558872716e-12,25
IDO1,0.9452,1.14675053800451e-12,25
PKIA,0.9444,1.3409886229747106e-12,25
KLK6,0.9444,1.3409886229747106e-12,25
SDR9C7,0.944,1.4489135850341219e-12,25
KRT17,0.9438,1.502542055433738e-12,25
KRT6B,0.9423,2.0347452275450866e-12,25
SPRR1A,0.9415,2.3605155328203274e-12,25
CLCA2,0.9407,2.7447632072436492e-12,25
COL17A1,0.9406,2.8401952700282205e-12,25
RAB11FIP1,0.9398,3.2804169019011217e-12,25
GSDMC,0.9396,3.4070413481153477e-12,25
OSBPL2,0.9392,3.642452198443861e-12,25
OLFML2A,0.9392,3.642452198443861e-12,25
IVL,0.939,3.7817567006459375e-12,25
SULF1,0.9385,4.193338858401601e-12,25
GPX2,0.9383,4.351733488807066e-12,25
COL3A1,0.9377,4.839597695717558e-12,25
IGF2BP2,0.9377,4.8188683345529315e-12,25
GSDME,0.9377,4.8188683345529315e-12,25
