gene,spearman_r,p_value,n_samples
PPFIA1,0.9642,5.2661025379331515e-27,46
PLS1,0.9627,1.3100062779884215e-26,46
CALML3,0.9623,1.6215090066308936e-26,46
MX1,0.9604,4.641914710145358e-26,46
HERC6,0.959,1.0099377273458035e-25,46
SDR16C5,0.9569,2.9134089217613587e-25,46
IFIH1,0.9556,5.683927092669884e-25,46
STAT1,0.9553,6.412437148202146e-25,46
SPRR2D,0.9538,4.453418476602606e-24,45
ITGAL,0.951,4.733247998654226e-24,46
DDX58,0.9479,1.7082302808408886e-23,46
GBP4,0.9452,5.14624494978239e-23,46
ANO1,0.9449,5.870130498139392e-23,46
OAS2,0.9433,1.0483005217555645e-22,46
DSG1,0.9427,1.3508878501289985e-22,46
GBP1,0.9425,1.4317870940055197e-22,46
AKR1B10,0.942,1.7169493048140717e-22,46
HSPA2,0.9413,2.252375020409895e-22,46
POF1B,0.9409,2.5763815258825695e-22,46
HEPHL1,0.9405,2.9792502356882203e-22,46
PTPN13,0.9404,3.1550555757697887e-22,46
AFAP1L2,0.939,5.155380543214009e-22,46
GSDME,0.9389,5.321481254000201e-22,46
FABP5,0.9384,6.18509486044304e-22,46
DCLK1,0.9383,6.4468690380956665e-22,46
SPRR4,0.9382,6.73685044748156e-22,46
DDX60,0.9374,8.87196756815535e-22,46
PLA2G4A,0.9335,3.2014273690544464e-21,46
IVL,0.9335,3.2056360525223676e-21,46
SIGLEC7,0.9321,4.241218231543346e-07,15
APOBEC3G,0.9311,6.903430699989632e-21,46
FBXO2,0.9303,8.818405198165348e-21,46
GBP5,0.93,9.506593355106029e-21,46
IFIT3,0.9295,1.1053708159167074e-20,46
RIPK3,0.9286,1.47117745418822e-20,46
GSTM3,0.9275,2.0392067910751273e-20,46
F3,0.927,2.335603819966221e-20,46
FBLIM1,0.9269,2.4240606766685472e-20,46
FDFT1,0.9262,2.921378139439663e-20,46
SDCBP2,0.9261,3.08097722486015e-20,46
MME,0.9253,3.8112133192739226e-20,46
CSPG4,0.9251,4.037704815068137e-20,46
P3H2,0.9241,5.2890130368179254e-20,46
EGFR,0.9236,6.181445214532685e-20,46
STAT2,0.9234,6.523703118408154e-20,46
LY6D,0.9234,6.506687946567926e-20,46
CLDN1,0.9229,2.4772545814661394e-17,40
IFI35,0.9224,8.523725515449182e-20,46
OASL,0.9221,9.283283866348253e-20,46
GSDMC,0.9206,1.3798481128558117e-19,46
HMOX2,0.9203,1.5073264452557474e-19,46
IGF2BP3,0.9193,1.9482089992649365e-19,46
PRKCB,0.9192,2.0122176469959815e-19,46
EPS8L1,0.9191,2.062875238788485e-19,46
SERPINB4,0.9191,2.0755137175528937e-19,46
PTPRC,0.9188,2.2357971641510195e-19,46
DTX3L,0.9187,2.274958627301011e-19,46
ANXA8,0.9184,2.4615101298845145e-19,46
NDUFA4L2,0.9183,2.57896969138314e-19,46
