gene,spearman_r,p_value,n_samples
UGT8,0.986,1.1746402861484323e-14,19
KIF18B,0.9758,1.467546187404219e-06,10
FBN2,0.9729,6.714944202233499e-13,20
TSPAN33,0.972,1.2868115751495027e-07,12
GBP4,0.9704,3.4511600510475286e-13,21
LGALS2,0.9704,2.111723886311738e-09,15
ACKR3,0.9673,3.6244109305568403e-12,20
GBP6,0.9665,1.1026317315055864e-12,21
PARP9,0.9652,1.575512754623346e-12,21
PIR,0.9649,1.7137077303369114e-12,21
EPSTI1,0.9639,2.2214793546308903e-12,21
NECTIN4,0.9623,3.3446990261039678e-12,21
MAP1B,0.9623,3.3446990261039678e-12,21
SCD5,0.9607,4.97765126186769e-12,21
IRF8,0.9597,6.238818356262181e-12,21
ARFGEF3,0.9597,6.238818356262181e-12,21
CNTN1,0.9594,6.745314402949329e-12,21
SAMD9,0.9584,8.392363834833038e-12,21
FST,0.9584,8.392363834833038e-12,21
CTSE,0.9584,8.392363834833038e-12,21
DOCK2,0.9571,1.118494812604687e-11,21
EDARADD,0.9571,1.118494812604687e-11,21
NRCAM,0.9571,1.118494812604687e-11,21
IDO1,0.9571,1.118494812604687e-11,21
RBP1,0.9568,1.203735888680696e-11,21
FOXE1,0.9559,2.2056479022281606e-09,17
HEATR5A,0.9536,2.3664942827899932e-11,21
ARHGEF28,0.9532,2.5176424662475492e-11,21
VSNL1,0.9532,2.5176424662475492e-11,21
DUSP9,0.9528,3.6331459754746875e-09,17
CLIC6,0.9523,3.0599520007172493e-11,21
CALML3,0.9519,3.2495543525652254e-11,21
LRIG3,0.9519,3.269140971905286e-11,21
HLA-DMA,0.9519,3.2495543525652254e-11,21
CASP10,0.9519,3.2495543525652254e-11,21
ALDH7A1,0.9519,3.2495543525652254e-11,21
ADAM23,0.9516,1.6616136985679422e-07,14
MEGF9,0.9513,3.7043065872565784e-11,21
LIG3,0.9513,3.7043065872565784e-11,21
CPNE1,0.9513,3.7043065872565784e-11,21
