gene,spearman_r,p_value,n_samples
DDX3Y,0.9716,5.050849361555239e-26,41
TMEM35A,0.9714,1.0864095402975098e-12,20
COL17A1,0.9685,3.6907655773097964e-25,41
CLCA2,0.9662,1.4351788444616944e-24,41
AIM2,0.9636,1.8520398640703137e-06,11
GCLC,0.9634,6.564830861048455e-24,41
RAB3B,0.9623,1.5844739416120314e-22,39
ADH7,0.9617,1.601094119834589e-23,41
KRT17,0.961,2.260998805364059e-23,41
BCAS1,0.9605,2.916988108903091e-23,41
UCHL1,0.9578,9.923275261850887e-23,41
BASP1,0.9572,1.3101689109302192e-22,41
TMEM45A,0.9545,4.988898739949761e-06,11
ZNF750,0.9504,1.5723206691702805e-09,18
ALDH7A1,0.9499,2.663629006031072e-21,41
FGFBP1,0.949,3.756539372491602e-21,41
GBP6,0.9464,9.580283627282046e-21,41
CDH11,0.9448,1.68150812882968e-20,41
NTRK2,0.9443,2.0113222993496603e-20,41
IGFBP2,0.9442,2.0464719778356865e-20,41
WNK2,0.944,2.1983274808984355e-20,41
SEPTIN1,0.9407,6.639457150058155e-20,41
KRT15,0.9406,6.815538278677289e-20,41
KIAA1324,0.9405,7.111338458224736e-20,41
AFAP1L2,0.9402,7.840924835507099e-20,41
AKR1C1,0.9398,8.640978410146894e-20,41
SLC9A3R1,0.9398,8.640978410146894e-20,41
CREB3L1,0.9394,5.4840529985136686e-05,10
CA12,0.9389,1.178782484940246e-19,41
PLA2G4A,0.9388,1.197750352775608e-19,41
SHISA2,0.9385,1.3315717265504675e-19,41
PYHIN1,0.9384,1.355102908676974e-19,41
PTPN13,0.9383,1.4048163093053005e-19,41
AKR1C2,0.9378,1.625045500299058e-19,41
TRIO,0.9369,2.1512402916436892e-19,41
IMPA2,0.9366,2.3186011244733776e-19,41
MAP1B,0.9359,2.886212568447904e-19,41
CBR1,0.9357,3.03825519573429e-19,41
RDH10,0.9355,3.2083920087970206e-19,41
ICOS,0.9355,4.218766107466948e-09,19
DOCK10,0.9341,4.799994261539385e-19,41
PTHLH,0.9341,1.1187075136992136e-17,38
IGF2BP2,0.9333,6.163223732050589e-19,41
NGFR,0.9332,6.306663163028885e-19,41
DOCK2,0.9331,6.379546389927612e-19,41
COL11A1,0.9329,6.778208048430552e-19,41
WDFY4,0.9325,7.5855879021464e-19,41
G6PD,0.9317,9.434969764893868e-19,41
ANXA8L1,0.9313,1.0758090407043598e-18,41
ASPH,0.9312,1.0878567032380236e-18,41
BCAR3,0.931,1.1685839949906383e-18,41
KYNU,0.931,1.1575947323671601e-18,41
DDX60,0.9307,1.2611410985126592e-18,41
KRT16,0.9306,1.2850561572747575e-18,41
PTPRZ1,0.9302,1.4484794176489056e-18,41
CALML3,0.9301,1.4644193867604915e-18,41
PTGIS,0.9301,1.4805229323047959e-18,41
PCYT1B,0.9297,1.1467380309875903e-13,30
OAS2,0.9292,1.8934252927058725e-18,41
VTCN1,0.9291,1.934646087298175e-18,41
LRMP,0.9291,1.9202196999534936e-18,41
CACNA2D1,0.9291,1.934646087298175e-18,41
PCDH7,0.929,1.9619998825668535e-18,41
CNTN1,0.929,1.9587835082782912e-18,41
EPS8,0.9286,2.2255869499144948e-18,41
CEACAM5,0.9283,2.384179678058595e-18,41
SLC20A2,0.9281,2.5223695011721788e-18,41
TYMP,0.9278,2.7339505999619993e-18,41
LRRC15,0.9277,2.8013516547579275e-18,41
B4GALNT1,0.9273,0.00011203450639397586,10
LDHD,0.9272,3.2084966745417223e-18,41
MOXD1,0.9265,3.786939582268187e-18,41
AGR2,0.9263,3.95964117338016e-18,41
PPM1H,0.9263,3.966134535124018e-18,41
PCP4L1,0.9261,4.182562348403513e-18,41
AS3MT,0.9258,4.5309144658324814e-18,41
IFIH1,0.9256,4.848947221308578e-18,41
VLDLR,0.9252,5.285778995044002e-18,41
USP13,0.9251,5.394013455856441e-18,41
A2ML1,0.925,5.5133402092865895e-18,41
DIP2B,0.9249,5.644392901797417e-18,41
RASAL3,0.9246,6.08683480213267e-18,41
PAPSS2,0.9245,6.283358534947068e-18,41
NRCAM,0.9239,7.395159248244454e-18,41
LRATD1,0.9232,2.0427826108511268e-14,33
PLCG2,0.9229,9.463250943982829e-18,41
FAM83E,0.9226,2.6708480589362725e-17,40
HSPB8,0.9225,1.0199878084058728e-17,41
STON2,0.9221,1.1296566626523884e-17,41
UGDH,0.9221,1.1425214393375706e-17,41
ALCAM,0.9219,1.2050154122914054e-17,41
GPC6,0.9218,1.2167019337007683e-17,41
TACC1,0.9216,1.2707342334742796e-17,41
STRBP,0.9215,1.312206823420952e-17,41
POF1B,0.921,1.4674987206204156e-17,41
FADS2,0.9208,1.5466530861879458e-17,41
VSNL1,0.9206,1.6118138406088535e-17,41
POGLUT2,0.9206,1.6426710115037934e-17,41
SPRR1B,0.9204,1.7116358704614035e-17,41
KANK1,0.9204,1.695528217951159e-17,41
KRT6B,0.9204,1.7116358704614035e-17,41
FAM110C,0.9201,4.7580805788511875e-17,40
ATP2B1,0.92,1.8639323842581345e-17,41
TNFSF10,0.9198,1.94164366187152e-17,41
NDUFA4L2,0.9196,2.060604066516911e-17,41
TTC39B,0.9195,2.1260940865623616e-17,41
IKZF1,0.9194,2.1530357491902884e-17,41
MRC2,0.9192,2.234776161033269e-17,41
TPD52L1,0.9192,2.234776161033269e-17,41
ROR2,0.9189,2.422789029358161e-17,41
CXCL1,0.9184,2.7036028182471224e-17,41
MRVI1,0.9184,2.6875962918287232e-17,41
TSPAN1,0.9182,2.844529219506131e-17,41
PODXL2,0.9179,1.4176968515006277e-06,15
ZAP70,0.9179,3.047566934082725e-17,41
MTCL1,0.9178,3.14236305638546e-17,41
RHPN2,0.9176,3.2642175528846633e-17,41
AKT3,0.9173,3.501046529315447e-17,41
FBXO2,0.9172,3.576637301574603e-17,41
HSPA2,0.9165,4.1408276379766885e-17,41
ICA1,0.9165,4.1408276379766885e-17,41
ZEB2,0.9162,4.4843267862205487e-17,41
PROSER2,0.9162,4.4770245829774705e-17,41
LPXN,0.9161,4.572459252812548e-17,41
CRABP2,0.916,4.64704893579894e-17,41
PTGES,0.9158,3.1167628256971094e-16,39
EIF1AY,0.9158,4.9297990642639046e-17,41
MSH2,0.9157,5.038206704690647e-17,41
FAT2,0.9155,5.1737809344320525e-17,41
BAG4,0.9153,5.4819432237852006e-17,41
ABCC5,0.9152,5.597573452919628e-17,41
MZB1,0.9151,5.64704716474001e-17,41
LCK,0.9151,5.756592906427389e-17,41
CYP7B1,0.9148,6.097395469547745e-17,41
IFIT3,0.9145,6.581508089275051e-17,41
MAOB,0.914,7.300726408665715e-17,41
TOP2A,0.9137,7.685634132233869e-17,41
LSG1,0.9137,7.685634132233869e-17,41
