gene,spearman_r,p_value,n_samples
TNS4,0.9758,1.467546187404219e-06,10
ATP2A3,0.9711,2.801399337377573e-13,21
ADGRF1,0.9711,2.2322196490619916e-11,18
NIBAN1,0.9701,3.8123318511557156e-13,21
FAM167A,0.9659,2.110001677486671e-08,14
PTGR1,0.9597,6.238818356262181e-12,21
MZB1,0.9558,1.4954847505877862e-11,21
LRRC15,0.9558,1.477719717191997e-11,21
DPYD,0.9555,1.586996350776832e-11,21
ARHGAP26,0.9542,2.0753951383999402e-11,21
NDRG2,0.9529,2.6934114041938998e-11,21
HID1,0.9519,3.2495543525652254e-11,21
USP13,0.9519,3.2495543525652254e-11,21
MKI67,0.9506,4.165215670086268e-11,21
DHRS7,0.9503,4.440649058485609e-11,21
ICAM1,0.949,5.679378685866967e-11,21
PGM2L1,0.9481,6.711681626030515e-11,21
UNC13B,0.9471,8.000499820269798e-11,21
TTC39C,0.9464,8.960305601880775e-11,21
ERAP2,0.9464,8.960305601880775e-11,21
CD207,0.9455,1.056070372673221e-10,21
FDFT1,0.9429,1.6262348159357722e-10,21
CAPN13,0.9429,1.6262348159357722e-10,21
AS3MT,0.9412,2.1275149888235368e-10,21
SCUBE2,0.9404,2.206541442775766e-09,19
AKR1C3,0.939,2.996681118684526e-10,21
ADK,0.939,2.996681118684526e-10,21
TESC,0.939,2.996681118684526e-10,21
GPD1L,0.9386,3.156995485242565e-10,21
LRRN4,0.9381,2.6624083636375136e-08,17
DNMT1,0.9373,3.8322498245472273e-10,21
FMO4,0.9371,6.9931649532105415e-06,12
POF1B,0.9364,4.4067607275887755e-10,21
AURKA,0.9362,6.71887325840291e-05,10
S100B,0.9338,6.37843649326398e-10,21
LGALSL,0.9331,7.021730493000887e-10,21
DCLK1,0.9325,7.631288718025096e-10,21
RAB27B,0.9325,7.631288718025096e-10,21
RAB38,0.9325,7.631288718025096e-10,21
GBP4,0.9321,8.000678894701555e-10,21
SPATS2L,0.9318,8.386013391092098e-10,21
ARHGAP29,0.9315,8.735821665461519e-10,21
MACC1,0.9308,9.53036790160075e-10,21
SLC22A3,0.9308,2.6744257920213994e-09,20
NT5E,0.9299,1.0810361295691542e-09,21
ATG2B,0.9298,1.0875032394755573e-09,21
KCNQ1,0.9297,1.4995250703291503e-06,14
DST,0.9295,1.1314515552342775e-09,21
ASS1,0.9286,1.2802944161833208e-09,21
ARFGEF3,0.9286,1.2802944161833208e-09,21
TACC3,0.9286,1.2802944161833208e-09,21
SCG2,0.9273,0.00011203450639397586,10
CMBL,0.9273,1.5115207625362018e-09,21
LRATD1,0.9273,3.973774256558546e-05,11
IDO1,0.926,1.779103836891949e-09,21
LDHB,0.926,1.779103836891949e-09,21
PPME1,0.9256,1.8577754795663101e-09,21
ANK3,0.9247,2.0879358893999237e-09,21
CLMN,0.9247,2.0879358893999237e-09,21
KRT17,0.9247,2.0879358893999237e-09,21
GULP1,0.9243,2.1786999970288486e-09,21
PLA2G4A,0.9243,2.1786999970288486e-09,21
EEF1AKMT2,0.924,1.1844905443995688e-07,17
BCAR3,0.9237,2.356896017169263e-09,21
GPHN,0.9237,2.356896017169263e-09,21
FMO5,0.9234,2.4434594119524285e-09,21
SEZ6L2,0.9234,2.4434594119524285e-09,21
EPS8L1,0.9234,2.4434594119524285e-09,21
ASAP2,0.9234,2.4434594119524285e-09,21
NAALADL2,0.9234,2.4434594119524285e-09,21
FCGBP,0.923,2.5479109854810004e-09,21
CD3E,0.9224,2.7525419197312436e-09,21
PALM3,0.9221,2.8517170982033915e-09,21
SHE,0.9221,2.8517170982033915e-09,21
ITGA6,0.9221,2.8517170982033915e-09,21
IRF2BPL,0.9221,2.8517170982033915e-09,21
SLC7A5,0.9221,2.8517170982033915e-09,21
STEAP4,0.9214,3.096038434633074e-09,21
IFI16,0.9214,3.096038434633074e-09,21
CASP1,0.9211,3.206050614278518e-09,21
CPM,0.9208,3.319405263338615e-09,21
MET,0.9208,3.319405263338615e-09,21
CASP4,0.9208,3.319405263338615e-09,21
SCIN,0.9198,3.72466710067018e-09,21
TLR2,0.9195,3.853930886976129e-09,21
ARHGAP44,0.9195,3.853930886976129e-09,21
CA13,0.9191,4.010860407066576e-09,21
EFS,0.9188,4.173494429800498e-09,21
S100P,0.9185,4.316394505920433e-09,21
PARP9,0.9182,4.463472446313278e-09,21
GAMT,0.9181,4.490052805893603e-09,21
LPCAT1,0.9178,4.642398740218432e-09,21
SDR16C5,0.9169,5.15704471032144e-09,21
EGFR,0.9169,5.15704471032144e-09,21
COL15A1,0.9169,5.15704471032144e-09,21
LACTB2,0.9169,5.15704471032144e-09,21
KIAA1211L,0.9161,1.4333501764248314e-08,20
HIP1R,0.9159,5.755373146346903e-09,21
ERICH5,0.9158,3.8001886787319164e-08,19
DNAJC12,0.9158,1.4853059816575505e-08,20
