gene,spearman_r,p_value,n_samples
PLA2G4A,0.9693,1.341389161408224e-18,30
AGR2,0.9648,8.680628564153354e-18,30
SIPA1L2,0.9501,1.0847201161144697e-15,30
MAP1B,0.9457,3.383664483160478e-15,30
CENPL,0.9455,1.1183037701493194e-05,11
AURKA,0.9371,6.9931649532105415e-06,12
STMN3,0.9308,2.1283262983903612e-08,18
AOC1,0.9206,4.012428213468525e-12,28
PRKD1,0.9182,8.821837933066304e-13,30
TSPYL2,0.9182,6.661451941355569e-05,11
MID1,0.9177,9.651816967972279e-13,30
IL2RG,0.9165,4.084158819686067e-06,14
GBP6,0.915,1.4837801214418103e-12,30
GSDME,0.915,1.4882264642140422e-12,30
SCIN,0.9146,1.591848261552271e-12,30
FXYD1,0.9121,1.3975552674444556e-05,13
ASAP3,0.9066,5.306270459748493e-12,30
HMGB3,0.9035,8.119617686663224e-12,30
NEURL1B,0.903,0.0003436121977632824,10
ZAP70,0.903,8.756328832784159e-12,30
EZR,0.903,8.782418227561102e-12,30
EGFR,0.9013,1.1017272582238056e-11,30
FAM120C,0.9011,1.1354166222118436e-11,30
CILP,0.9003,1.2590758000574285e-11,30
GPHN,0.9002,1.2798906979830826e-11,30
SLC4A4,0.8999,1.336314698861841e-11,30
DNAJC12,0.8998,7.330099515760463e-11,28
RTN1,0.8996,1.3806447555463507e-11,30
PCP4L1,0.899,1.5040507395775414e-11,30
FZD7,0.8982,6.038049993112351e-09,23
IGFBP2,0.8972,1.904792303148886e-11,30
KANK1,0.8964,2.1097415986000428e-11,30
CD69,0.8956,3.4809729944820894e-05,13
GALNT6,0.895,2.527072091250068e-11,30
MOXD1,0.8945,2.6736053702674704e-11,30
ASRGL1,0.8933,3.1225035342885074e-11,30
FAM167A,0.8919,7.936448023309024e-06,15
CELF2,0.8916,3.844992043197513e-11,30
POF1B,0.8905,4.391759071380384e-11,30
DAPK2,0.8905,4.391759071380384e-11,30
CAPN5,0.8887,5.4583596128108837e-11,30
NES,0.8882,5.8237764020555e-11,30
PPP1R16B,0.8881,0.00011413359814618021,12
BAZ1A,0.8871,6.642341273571299e-11,30
STK39,0.887,6.719839067389329e-11,30
GCLC,0.8865,7.079713950546576e-11,30
CLMN,0.8857,7.853239539247909e-11,30
KIF13B,0.8855,7.966960499814812e-11,30
LGALS1,0.8854,8.082210729928197e-11,30
REPS2,0.8853,8.174881265509683e-11,30
NT5E,0.8843,9.187307317306685e-11,30
INPP4B,0.8841,9.424359916948812e-11,30
DOCK8,0.8835,1.0027050153665453e-10,30
LPCAT1,0.8834,1.0139781799831242e-10,30
BLNK,0.8827,1.1001254766182493e-10,30
TPD52L1,0.8812,1.3025286362129434e-10,30
CMBL,0.8808,1.3686102732169854e-10,30
ARHGAP27,0.8803,1.4377633341303523e-10,30
DCLK1,0.8799,1.4983155519733256e-10,30
NFIA,0.8794,1.5951547342312268e-10,30
ISG15,0.8793,1.6123607004686965e-10,30
JPT1,0.8791,1.647268147719312e-10,30
NAMPT,0.8767,2.1306620925577696e-10,30
PC,0.8764,2.1984366347827928e-10,30
BCAR3,0.8761,2.2814829263670077e-10,30
UBA7,0.8756,2.4061006742775534e-10,30
CRACR2A,0.8754,2.4419795381046267e-10,30
CD19,0.8754,9.194040025853308e-07,19
SDS,0.875,2.5596336829806015e-10,30
PCOLCE2,0.875,1.9522613815941113e-05,15
CASP6,0.8742,2.7822232170946075e-10,30
TC2N,0.874,2.8478278095367974e-10,30
LAX1,0.8735,1.1108445564039627e-07,22
GCNT3,0.8735,9.869651666147373e-06,16
GFRA3,0.8724,1.208196712189776e-07,22
IFI16,0.8713,3.7541436393571495e-10,30
PLCB1,0.8713,3.7541436393571495e-10,30
GLCCI1,0.871,3.8787129764299876e-10,30
DIAPH2,0.8709,3.901479121902342e-10,30
USP13,0.8708,3.9287300440512795e-10,30
