gene,spearman_r,p_value,n_samples
ESCO2,0.958,9.543581826838402e-07,12
BMERB1,0.9394,5.4840529985136686e-05,10
CRABP2,0.9334,4.704315916608266e-27,59
MAP1B,0.9328,6.182072100205011e-27,59
PCP4L1,0.9279,4.321625206245764e-26,59
AGR2,0.9154,3.453573461399572e-24,59
PLA2G4A,0.9128,7.84848038164112e-24,59
DCLK1,0.9125,8.554659967114626e-24,59
PRR15,0.9121,5.290079954433659e-21,52
TESC,0.9102,1.725397657616589e-23,59
NGFR,0.9036,3.880504128799778e-06,15
GALNT6,0.9031,1.3884395797849776e-22,59
CHST6,0.9002,6.588021000587251e-05,12
STK39,0.9002,3.053420784777058e-22,59
DNAJC12,0.8967,4.011605721159627e-21,57
S100B,0.8963,8.663629977355784e-22,59
MACIR,0.8951,8.366586429091718e-05,12
MYO1G,0.8881,6.788450623879148e-21,59
PRODH,0.8864,1.0088273914264521e-20,59
ATP11A,0.886,1.125058780167312e-20,59
PYCR1,0.8858,1.1689619234664213e-20,59
TOP2A,0.8856,1.2200061360970198e-20,59
C1orf116,0.8855,1.2501798555278428e-20,59
ADSS1,0.8854,1.2743133927601731e-20,59
SYT7,0.8853,2.989053433668056e-18,52
SEPTIN3,0.8827,2.4231861338588596e-20,59
ERAP2,0.8803,4.1198216906147055e-20,59
MAGED1,0.8802,4.183933497484709e-20,59
MX1,0.8774,7.903739417475539e-20,59
ANLN,0.8761,1.0338483492509056e-19,59
TANC1,0.8747,1.4004429375963512e-19,59
ACKR3,0.8741,0.00020071307332423182,12
SCIN,0.874,1.624558385569521e-19,59
RRM2,0.8739,1.6614307989176684e-19,59
NT5E,0.8738,1.6880054926335426e-19,59
DSP,0.8729,2.0435381091847887e-19,59
LRRC15,0.8728,2.1128781984626036e-19,59
HGD,0.8724,2.2897503735913145e-19,59
TPD52L1,0.8718,2.615619426554384e-19,59
G6PD,0.8711,3.004818513595779e-19,59
SLC7A2,0.8707,5.953878226538431e-07,20
IGFBP2,0.8702,3.585253960429683e-19,59
ACY3,0.8695,9.312333775200917e-10,29
PLPP1,0.8693,0.00011355805751815673,13
DDX60,0.8692,4.446303153634595e-19,59
AURKA,0.8685,2.413612834696677e-10,31
ALDOC,0.8682,5.415737003321044e-19,59
ITPKA,0.8674,7.461303757571548e-16,49
KIF4A,0.8673,6.522523668440851e-19,59
PRDM1,0.8667,0.0011735381801554685,10
MKI67,0.8646,1.1071800815877349e-18,59
GRB10,0.8633,1.4362773191872954e-18,59
JSRP1,0.8632,1.3806537550597868e-08,26
REEP6,0.8625,1.3368069714330036e-17,56
STMN1,0.8618,1.9092942000455265e-18,59
FKBP10,0.8614,2.0535824772226583e-18,59
OAS3,0.8612,2.138862923053185e-18,59
DGKA,0.8606,2.423469287682347e-18,59
NBEA,0.8605,2.441087739243057e-18,59
KIF23,0.8602,2.6009404554313765e-18,59
CLDN6,0.8601,0.000331668339126921,12
WDHD1,0.8599,2.7401808116951648e-18,59
EPS8L1,0.8595,2.96285844334779e-18,59
SOX4,0.8593,4.6920727228037785e-17,55
ASPH,0.859,3.2790142391352237e-18,59
HSPB8,0.858,3.958367535618191e-18,59
LACTB2,0.8574,4.3856731864443935e-18,59
PLCB2,0.8568,4.928841374521565e-18,59
NCAPH,0.8564,5.3070379453132734e-18,59
NDRG2,0.856,5.669329267663469e-18,59
TRIM2,0.8558,5.945236690689137e-18,59
DTX3L,0.8556,6.13460941314513e-18,59
RAB39B,0.8556,1.5129652137091297e-06,20
MCM2,0.8547,7.188002341138262e-18,59
HMGB3,0.8542,7.831058638371901e-18,59
NLN,0.854,8.120878380142993e-18,59
POF1B,0.8538,8.548368475429367e-18,59
CD207,0.8521,1.1605190540064863e-17,59
MVP,0.8519,1.1992125974757444e-17,59
IGF2BP2,0.8518,1.2234922229724742e-17,59
DEPTOR,0.8509,1.4168799664353993e-17,59
EEF1A2,0.8507,1.4864216698809967e-17,59
ADGRF1,0.8506,3.940799611798036e-16,54
CEACAM7,0.8505,1.5217270129720003e-05,17
TTC39C,0.8502,1.608514738287503e-17,59
CLMN,0.8501,1.6417369032904327e-17,59
KIT,0.8498,1.733098642727049e-17,59
COL12A1,0.8495,1.8375230798268967e-17,59
MSH6,0.849,1.9813305856799238e-17,59
AKR1C3,0.849,1.9853398485639223e-17,59
CRYM,0.849,1.9998099329126353e-17,59
S100P,0.8486,2.129056895556405e-17,59
CYP4F11,0.8484,2.349660413321962e-10,34
FCGBP,0.8482,2.2823723648738562e-17,59
OXCT1,0.8482,2.295736013073162e-17,59
PLEKHS1,0.8475,2.602989027966574e-17,59
RAB25,0.8472,2.7241832760810277e-17,59
EPHA3,0.8471,3.468046484915084e-05,16
KIF2C,0.8471,2.781205732004995e-17,59
SLC39A4,0.8466,1.4792050902976087e-10,35
PLEKHA5,0.8461,3.263094504184818e-17,59
ARHGEF40,0.8457,3.511188994265663e-17,59
CKS1B,0.8457,3.5260069469678924e-17,59
