gene,spearman_r,p_value,n_samples
PCDHB5,0.979,3.089801398548709e-08,12
SLC19A3,0.9588,4.825540771378691e-09,16
UCHL1,0.9335,1.6483561481014714e-27,60
TRIM29,0.9244,5.919373172570917e-26,60
ERAP2,0.924,1.1844905443995688e-07,17
GLDC,0.9239,7.257775099832502e-26,60
AFAP1L2,0.9136,2.431700482021316e-24,60
ASRGL1,0.9122,3.882790114693623e-24,60
CLSTN2,0.9091,0.00010559337630360879,11
LRRC15,0.9075,1.6291115072519772e-23,60
POF1B,0.9057,2.741031638593549e-23,60
VTCN1,0.9054,3.0134969448266383e-23,60
CRABP1,0.9047,3.695088547434057e-23,60
KLK5,0.9004,6.847916045993254e-11,28
ALDH1A2,0.8991,1.774151079000697e-22,60
SFRP4,0.8981,2.3835740399437536e-22,60
CMBL,0.8954,4.783079169428987e-22,60
CLDN6,0.8928,9.56799554435099e-22,60
NR2F1,0.8909,0.00023345817037873182,11
ABAT,0.8902,1.845378534979981e-21,60
LAMA3,0.8899,1.968741566911392e-21,60
LRIG1,0.8898,2.030169608871455e-21,60
ALPL,0.8894,2.255083100592378e-21,60
CPM,0.8882,2.986278523281753e-21,60
ITGB6,0.8877,3.420966834442731e-21,60
C1orf116,0.8873,1.855904892631024e-19,55
PLCD3,0.8838,8.691940248635541e-21,60
SFXN2,0.8821,1.2718661950495464e-20,60
CARMIL1,0.882,1.3151948904781611e-20,60
FBXO2,0.8796,2.2812043253679087e-20,60
DEFB1,0.8791,7.544562359359131e-05,13
ACSS1,0.8767,4.3689033295770874e-20,60
PALM3,0.8767,4.3656002787130524e-20,60
CLGN,0.8762,4.8575542749950334e-20,60
DDX60,0.876,5.1435186904552964e-20,60
CMPK2,0.8753,5.90217705223637e-20,60
SST,0.8753,2.0545035347702613e-07,21
ACSS3,0.8752,6.088355946036354e-20,60
TRAP1,0.875,6.327833758790004e-20,60
PHGDH,0.8744,7.166248385029628e-20,60
PC,0.873,9.755231319725193e-20,60
NOVA1,0.8727,0.00045461505140964023,11
RAB25,0.8722,1.159283530393095e-19,60
SFRP2,0.871,1.5016824594446149e-19,60
ISLR,0.8707,1.5746810713606616e-19,60
AFG3L2,0.8706,1.6249311101860967e-19,60
NCAM1,0.8683,2.6091796500928017e-19,60
TTLL12,0.8678,2.905138834455575e-19,60
TFAP2A,0.8676,1.334868129916697e-05,16
COL11A1,0.8672,3.294963482257151e-19,60
FOLR1,0.8665,3.743126909729095e-19,60
OAS2,0.8651,5.017070264727737e-19,60
HSPA4L,0.865,5.093949598635375e-19,60
MAPK13,0.8645,5.656087178464416e-19,60
CA8,0.8643,5.824581419855993e-19,60
VDR,0.8643,3.243373143346799e-05,15
NIPAL2,0.8636,0.0006116938500931701,11
ENPP1,0.862,9.257359439999358e-19,60
ALDH2,0.8619,9.402493438655656e-19,60
GJB2,0.8616,0.0003150070625274285,12
KHDRBS3,0.8616,1.0019257810239679e-18,60
EYA4,0.8609,1.354651790188944e-07,23
REEP6,0.8601,1.3372361541733406e-18,60
PM20D2,0.8597,1.4433998019343531e-18,60
TMCC3,0.8597,1.452288195754116e-18,60
HADH,0.8596,1.461157612308406e-18,60
PPP1R1B,0.8585,1.810140028404048e-18,60
MZB1,0.8583,1.8983724665188918e-18,60
NDRG1,0.8581,1.9639126535904653e-18,60
SLC5A1,0.8578,1.0661126185774085e-05,17
S100A1,0.8575,2.1885339128372335e-18,60
PDLIM3,0.8574,2.234985588075085e-18,60
GATM,0.8571,2.369430274919406e-18,60
ERMP1,0.8569,2.450491457629734e-18,60
COPZ2,0.8569,2.4762570852291484e-18,60
S100A2,0.8558,3.0381156721506546e-18,60
ITGA11,0.8554,3.259246901841164e-18,60
CCAR2,0.8553,3.320076938835108e-18,60
CRABP2,0.8544,3.954950678635606e-18,60
TRIP13,0.8542,4.075648623928001e-18,60
CLDN10,0.8536,2.7317905089133296e-10,33
GGT7,0.852,6.1153647698515334e-18,60
HSPA2,0.8506,7.891381916239928e-18,60
ICAM1,0.8504,8.07946037379189e-18,60
ENO2,0.8503,8.265690811498975e-18,60
MMP2,0.849,1.0366733149831435e-17,60
COL6A6,0.8479,1.2565977159117024e-17,60
THSD4,0.8478,1.2831387249147628e-17,60
ALDH1A3,0.8478,1.2831387249147628e-17,60
RRM2,0.8471,1.4607363433364796e-17,60
IL32,0.8462,0.0005211337004810047,12
ARL13B,0.8462,0.0005211337004810047,12
FN1,0.8457,1.8721721534551857e-17,60
BDH1,0.8456,1.8840068613407694e-17,60
RAB6B,0.8447,2.2134223628797182e-17,60
GBP5,0.8446,2.2375497819308094e-17,60
CYP1B1,0.8443,2.3778218700504147e-17,60
CDH2,0.8443,2.379587618390575e-17,60
GBP4,0.8438,2.5834752727528263e-17,60
FBP1,0.8437,2.645578386188087e-17,60
SFN,0.8435,2.732904094303834e-17,60
CD8A,0.8434,2.2683635215650154e-15,53
ANTXR1,0.8423,3.3283832164869043e-17,60
FABP7,0.8423,0.0011380098485186515,11
IARS2,0.8423,3.312761076074194e-17,60
KIF23,0.8421,3.44654421198605e-17,60
COMP,0.8419,3.592581210758446e-17,60
CDH6,0.8415,3.818112087946316e-17,60
TGIF2,0.8415,1.3585646020796085e-07,25
PTGIS,0.8413,3.9509647155143467e-17,60
CLDN1,0.8406,4.461946426442692e-17,60
SLC25A13,0.8406,4.447839895517602e-17,60
TAP1,0.8405,4.486053134424062e-17,60
GSTM5,0.8397,4.715823577951035e-14,49
MAOB,0.8381,6.66826337776579e-17,60
PRKG1,0.8373,7.602034997489271e-17,60
CLDN16,0.8369,2.8608048739566875e-08,28
SRSF8,0.8364,0.0013331850799508565,11
GSTZ1,0.8363,8.993463822667337e-17,60
CLIC6,0.8361,9.247153045235389e-17,60
PLCXD3,0.8345,9.998867004083026e-09,30
CMTR1,0.8343,1.2467818992025722e-16,60
ATP6V1B1,0.8338,1.3492337108347172e-16,60
STAT1,0.8333,1.4586219076968524e-16,60
SMARCA2,0.8332,1.493450052501497e-16,60
MPPED2,0.8327,1.0706649515789288e-14,53
HIP1R,0.8322,1.7444980911050733e-16,60
ALDH3A2,0.8321,1.7747906587136592e-16,60
METTL7B,0.8316,1.9023653857011646e-16,60
TNFAIP2,0.8314,1.9844988791704039e-16,60
TGM2,0.8311,2.054355955479104e-16,60
IGF2BP2,0.83,2.4472501642613676e-16,60
RAB3A,0.8299,3.268255517738792e-06,21
FAM210B,0.8294,2.6866649465435717e-16,60
RAB39B,0.8286,1.57252811033088e-08,30
ADIRF,0.8271,3.8676585907434665e-16,60
IVD,0.827,3.881893898290324e-16,60
GRAMD2B,0.8267,4.0859602403477874e-16,60
CDR2L,0.8265,4.2299686712911403e-16,60
CALB2,0.8264,4.2927377251053004e-16,60
EZR,0.8254,4.996769411943826e-16,60
CAPN6,0.8252,0.0009513628555555001,12
KIF11,0.8252,5.106642745462967e-16,60
FAP,0.8248,5.462632343507332e-16,60
AOC3,0.8247,5.535762887212448e-16,60
ADD2,0.8235,6.618477915558131e-16,60
CPLX2,0.8234,3.913564359028853e-10,37
VSNL1,0.8228,7.364725023137271e-16,60
TACSTD2,0.8227,7.469375981822554e-16,60
TGM1,0.8227,7.49482564470402e-16,60
TAGLN,0.8226,7.612391353264765e-16,60
KIFC1,0.822,8.313228997481935e-16,60
CENPF,0.8217,8.605890205654923e-16,60
XPO7,0.8214,9.031958486309125e-16,60
PRRX1,0.8209,1.6723876499651323e-14,55
SLC9A3R1,0.8209,9.692514494427136e-16,60
CHDH,0.82,1.1107375284367743e-15,60
GPT2,0.8198,1.1529529845058193e-15,60
KIF5C,0.8196,1.1805070509406037e-15,60
COQ8A,0.8191,1.259548288762401e-15,60
KLK6,0.8189,1.3127066399318247e-15,60
FKBP4,0.8187,1.3436442692440146e-15,60
SPARC,0.8183,1.4297004241191509e-15,60
TPX2,0.8183,1.4205776017019882e-15,60
ARNT2,0.8182,0.0020831448404786917,11
GALNT3,0.8182,1.4542158849697816e-15,60
IL16,0.8181,1.4611412830462602e-15,60
CA12,0.8176,1.5754811696530932e-15,60
TMEM119,0.8173,1.6440061229528284e-15,60
EPHB3,0.8173,1.6557109341312743e-15,60
GMPR,0.8173,1.6518004198537573e-15,60
PLAU,0.8169,1.7341798120721944e-15,60
GOT1,0.8168,1.7688184296065534e-15,60
PODXL,0.8167,1.7890937380579844e-15,60
FGFR1,0.8161,1.954151904036849e-15,60
HSPA9,0.8151,2.24588867183717e-15,60
CD248,0.815,2.2929938863368777e-15,60
PLAT,0.8148,2.3516433072911963e-15,60
HLA-DQA1,0.8148,1.2343753257097653e-14,57
