gene,spearman_r,p_value,n_samples
KRT23,0.9857,1.9290948746067854e-11,15
CA12,0.9821,8.15733350897872e-11,15
ALPL,0.975,7.143705965229251e-10,15
TUBB2B,0.9714,1.687076488609131e-09,15
SLC15A2,0.9636,7.3209748095299185e-06,10
AQP5,0.9636,1.8520398640703137e-06,11
MAOB,0.9571,2.2736751556259772e-08,15
SFRP2,0.9571,2.2736751556259772e-08,15
LAMA3,0.9571,2.2736751556259772e-08,15
CORO2A,0.9571,2.2736751556259772e-08,15
CTPS1,0.9536,3.792440041183125e-08,15
TBCC,0.9526,4.307280475576051e-08,15
CPLX2,0.9515,2.279854920641689e-05,10
IGHV3-73,0.9514,1.7034050454693566e-07,14
TUBA4A,0.95,6.086257958053973e-08,15
COMP,0.95,6.086257958053973e-08,15
ASS1,0.9464,9.447938510352375e-08,15
CDH11,0.9464,9.447938510352375e-08,15
CTSK,0.9464,9.447938510352375e-08,15
UPK1B,0.9455,1.1183037701493194e-05,11
AFAP1L2,0.9455,1.0556121622691632e-07,15
POFUT2,0.9455,1.1183037701493194e-05,11
NAPG,0.9437,1.2962331011509289e-07,15
ACSF2,0.9429,1.4247676947645738e-07,15
TMCC3,0.9429,1.4247676947645738e-07,15
TPPP3,0.9429,1.4247676947645738e-07,15
ACSS3,0.9429,1.4247676947645738e-07,15
CMTR1,0.9429,1.4247676947645738e-07,15
LAMC2,0.9428,1.4408156821014353e-07,15
GSTM2,0.9401,1.9172100040988141e-07,15
PDK2,0.9396,1.878248429938887e-06,13
SPRY1,0.9396,1.878248429938887e-06,13
TMEM100,0.9394,5.4840529985136686e-05,10
TIAM1,0.9394,5.4840529985136686e-05,10
CDC25C,0.9394,5.4840529985136686e-05,10
RAB6B,0.9393,2.0945801936685522e-07,15
AGR3,0.9393,2.0945801936685522e-07,15
BAIAP2L1,0.9393,2.0945801936685522e-07,15
RABGAP1,0.9393,2.0945801936685522e-07,15
GET4,0.9383,2.3110397561252898e-07,15
SLC27A2,0.9364,2.2082076449177507e-05,11
RACGAP1,0.9357,3.010645621400809e-07,15
TACC3,0.9357,3.010645621400809e-07,15
PLAU,0.9357,3.010645621400809e-07,15
HARS2,0.9357,3.010645621400809e-07,15
MAPK13,0.9357,3.010645621400809e-07,15
XPO7,0.9357,3.010645621400809e-07,15
COL8A1,0.9356,3.0445203366386183e-07,15
KLK7,0.9348,3.304398542493736e-07,15
TAGLN,0.9321,4.241218231543346e-07,15
CHDH,0.9321,4.241218231543346e-07,15
PDLIM3,0.9321,4.241218231543346e-07,15
MAP2K3,0.9312,4.6332255033566236e-07,15
OMD,0.9312,4.6332255033566236e-07,15
ERMP1,0.9312,4.6332255033566236e-07,15
DTX3L,0.9312,4.6332255033566236e-07,15
CHSY3,0.9301,1.1702227928659685e-05,12
ACAD9,0.9286,5.867938270803344e-07,15
ICAM1,0.9286,5.867938270803344e-07,15
PCK1,0.9286,4.607427269933691e-06,13
HSPA4L,0.9286,5.867938270803344e-07,15
BCAT1,0.9286,5.867938270803344e-07,15
GART,0.9286,5.867938270803344e-07,15
CLDN6,0.9286,5.867938270803344e-07,15
AIF1L,0.9286,5.867938270803344e-07,15
ALOX5,0.9258,7.447159370974579e-07,15
IGHV3-13,0.9255,0.00012340468945936495,10
DPYSL3,0.925,7.987462113818486e-07,15
CLGN,0.925,7.987462113818486e-07,15
PARP1,0.925,7.987462113818486e-07,15
DOCK9,0.925,7.987462113818486e-07,15
CYP1B1,0.925,7.987462113818486e-07,15
GRAMD2B,0.925,7.987462113818486e-07,15
TRIM32,0.924,8.655650265138123e-07,15
ERAP1,0.9223,1.0024069230476305e-06,15
RAB25,0.9214,1.0713172981620741e-06,15
S100A1,0.9214,1.0713172981620741e-06,15
COL5A2,0.9214,1.0713172981620741e-06,15
GBP4,0.9214,1.0713172981620741e-06,15
RHPN2,0.9214,1.0713172981620741e-06,15
PRKD1,0.9212,1.0952458375768314e-06,15
NCAM1,0.9205,1.1568972450162687e-06,15
CCN3,0.9182,6.661451941355569e-05,11
CXCL10,0.9182,6.661451941355569e-05,11
ABAT,0.9179,1.4176968515006277e-06,15
CD82,0.9179,1.4176968515006277e-06,15
DHRS11,0.9179,1.4176968515006277e-06,15
FSTL1,0.9179,1.4176968515006277e-06,15
CPT2,0.9179,1.4176968515006277e-06,15
GBP5,0.9179,1.4176968515006277e-06,15
SPARC,0.9179,1.4176968515006277e-06,15
MSH6,0.9179,1.4176968515006277e-06,15
NCAPH,0.9169,1.5260766625460096e-06,15
INHBA,0.9165,4.084158819686067e-06,14
IDO1,0.9165,4.084158819686067e-06,14
KPNA2,0.9151,1.7447259940303656e-06,15
COL11A1,0.9151,1.7447259940303656e-06,15
UCHL1,0.9143,1.8531121308926476e-06,15
FUOM,0.9143,1.8531121308926476e-06,15
MYO5B,0.9143,1.8531121308926476e-06,15
TNFAIP2,0.9143,1.8531121308926476e-06,15
LRATD2,0.9143,1.8531121308926476e-06,15
ARMCX2,0.9143,1.8531121308926476e-06,15
PYCR3,0.9133,1.9889564516867227e-06,15
FZD1,0.9133,1.9889564516867227e-06,15
DFFA,0.9123,2.133174165595499e-06,15
GMPR,0.9115,2.261109333205656e-06,15
SLC12A2,0.9115,2.261109333205656e-06,15
GALNT6,0.9107,2.3950208372070674e-06,15
TAP1,0.9107,2.3950208372070674e-06,15
FAP,0.9107,2.3950208372070674e-06,15
CLDN1,0.9107,2.3950208372070674e-06,15
PRKG1,0.9107,2.3950208372070674e-06,15
FCGBP,0.9107,2.3950208372070674e-06,15
STRBP,0.9107,2.3950208372070674e-06,15
ACSF3,0.9097,2.563681763721407e-06,15
NLRP2,0.9091,4.191044653034231e-05,12
VCAN,0.9071,3.063310535493869e-06,15
ARVCF,0.9071,3.063310535493869e-06,15
CENPF,0.9071,3.063310535493869e-06,15
FLNC,0.9071,3.063310535493869e-06,15
SLC39A14,0.9071,3.063310535493869e-06,15
KLK6,0.9071,3.063310535493869e-06,15
CLMN,0.907,3.097529567028182e-06,15
ELAVL1,0.9062,3.2708917349063123e-06,15
FABP4,0.9044,3.6813612120977297e-06,15
LSS,0.9044,3.6813612120977297e-06,15
AGPAT3,0.9036,3.880504128799778e-06,15
NFIA,0.9036,3.880504128799778e-06,15
IGFBP5,0.9036,3.880504128799778e-06,15
IFIT2,0.9036,3.880504128799778e-06,15
SULF1,0.9036,3.880504128799778e-06,15
NSDHL,0.9036,3.880504128799778e-06,15
MMP11,0.9036,3.880504128799778e-06,15
ARHGEF2,0.9036,3.880504128799778e-06,15
PLD3,0.9036,3.880504128799778e-06,15
SFRP4,0.9036,3.880504128799778e-06,15
CIAPIN1,0.9036,3.880504128799778e-06,15
PSTPIP2,0.9036,3.880504128799778e-06,15
PLIN1,0.9036,3.880504128799778e-06,15
IMPACT,0.9036,3.880504128799778e-06,15
PI3,0.903,0.0003436121977632824,10
PRMT2,0.903,0.0003436121977632824,10
PAFAH1B2,0.9026,4.13392745848443e-06,15
FAM177A1,0.9026,4.13392745848443e-06,15
NDRG1,0.9008,4.631965319951799e-06,15
LGALS8,0.9,4.871970948735605e-06,15
TNS3,0.9,4.871970948735605e-06,15
SPOCK2,0.9,4.871970948735605e-06,15
PHGDH,0.9,4.871970948735605e-06,15
SERPINF1,0.9,4.871970948735605e-06,15
GALE,0.9,4.871970948735605e-06,15
KCTD12,0.899,5.179045483439236e-06,15
RBM8A,0.899,5.179045483439236e-06,15
MAPK1,0.8964,6.066143021729967e-06,15
ACSS1,0.8964,6.066143021729967e-06,15
SLC27A6,0.8964,6.066143021729967e-06,15
SNCG,0.8964,6.066143021729967e-06,15
S100A16,0.8964,6.066143021729967e-06,15
LPCAT3,0.8964,6.066143021729967e-06,15
MX2,0.8964,6.066143021729967e-06,15
POSTN,0.8964,6.066143021729967e-06,15
GALNS,0.8964,6.066143021729967e-06,15
XAF1,0.8964,6.066143021729967e-06,15
DAAM1,0.8964,6.066143021729967e-06,15
FBXO21,0.8954,6.435636394547914e-06,15
ERGIC1,0.8954,6.435636394547914e-06,15
PLPP2,0.8951,8.366586429091718e-05,12
IGLC7,0.8947,6.728868684043673e-06,15
CNOT7,0.8937,7.153330546218824e-06,15
STAT1,0.8937,7.153330546218824e-06,15
CRAT,0.8937,7.153330546218824e-06,15
HIP1R,0.8929,7.494736064568255e-06,15
PLXNC1,0.8929,7.494736064568255e-06,15
PCM1,0.8929,7.494736064568255e-06,15
TRIM29,0.8929,7.494736064568255e-06,15
GOLGA4,0.8927,7.5780691792874665e-06,15
LIPE,0.8919,7.936448023309024e-06,15
PCDH19,0.8901,4.565437440744705e-05,13
PLEKHA6,0.8893,9.192974758842262e-06,15
DTYMK,0.8893,9.192974758842262e-06,15
HNRNPA0,0.8893,9.192974758842262e-06,15
PLCD3,0.8893,9.192974758842262e-06,15
MOCS1,0.8893,9.192974758842262e-06,15
TCEA3,0.8893,9.192974758842262e-06,15
DHCR7,0.8893,9.192974758842262e-06,15
RHOF,0.8883,9.717812835665258e-06,15
WNT11,0.8883,9.717812835665258e-06,15
ACAD10,0.8883,9.717812835665258e-06,15
KIF20A,0.8877,2.2678854073576932e-05,14
CD109,0.8873,1.026794060831232e-05,15
STIP1,0.8865,1.0726093560101153e-05,15
AURKB,0.8857,1.1199821851208482e-05,15
LNPEP,0.8857,1.1199821851208482e-05,15
CARM1,0.8857,1.1199821851208482e-05,15
CALB2,0.8857,1.1199821851208482e-05,15
METTL7B,0.8857,1.1199821851208482e-05,15
DPYD,0.8857,1.1199821851208482e-05,15
ARHGAP4,0.8857,1.1199821851208482e-05,15
TIMM50,0.8857,1.1199821851208482e-05,15
MZB1,0.8847,1.1819879040035735e-05,15
ZADH2,0.8847,1.1819879040035735e-05,15
BTN2A1,0.8846,5.905745217191008e-05,13
PHF2,0.8821,1.3558210624788723e-05,15
WDR45B,0.8821,1.3558210624788723e-05,15
DEPTOR,0.8821,1.3558210624788723e-05,15
CCDC6,0.8821,1.3558210624788723e-05,15
EPB41L5,0.8821,1.3558210624788723e-05,15
PLAT,0.8821,1.3558210624788723e-05,15
CKB,0.8821,1.3558210624788723e-05,15
TOMM34,0.8821,1.3558210624788723e-05,15
CCDC91,0.8821,1.3558210624788723e-05,15
CRABP1,0.8821,1.3558210624788723e-05,15
IGFBP2,0.8821,1.3558210624788723e-05,15
ITGB6,0.8821,1.3558210624788723e-05,15
CRKL,0.8819,1.3708397458727614e-05,15
WLS,0.8819,1.3708397458727614e-05,15
