gene,spearman_r,p_value,n_samples
KRT17,0.9531,2.030545505626905e-23,44
SCEL,0.9463,3.2612741141144143e-22,44
FZD7,0.9394,5.4840529985136686e-05,10
IFIT3,0.936,1.1860612571008659e-20,44
IGF2BP3,0.9319,4.126169386350045e-20,44
OAS2,0.9311,5.3030317303649265e-20,44
MYEF2,0.9276,1.4390430541068724e-19,44
MX1,0.9209,8.680713536423528e-19,44
CXCL17,0.9195,3.853930886976129e-09,21
GBP5,0.9173,2.1296772458579613e-18,44
PCSK1,0.9167,2.4391050240043077e-18,44
MFSD4A,0.9152,0.00020447240614883226,10
PPL,0.9145,4.111676285717541e-18,44
SULT1C2,0.9128,6.248440999740546e-18,44
SH2D1A,0.9093,1.356427214518606e-17,44
CALB2,0.9089,1.4872668787948205e-17,44
TESC,0.908,1.833770124350869e-17,44
STAT1,0.906,2.788092721771252e-17,44
POF1B,0.9053,3.2608116429752645e-17,44
MMP1,0.904,4.298090950533942e-17,44
CHGB,0.904,4.223371854699559e-17,44
MYO5B,0.9021,6.27658290454998e-17,44
COL11A1,0.8994,1.082586279415049e-16,44
SCGN,0.8984,1.3232952401739514e-16,44
MX2,0.8982,1.3841504379200173e-16,44
HERC6,0.8952,1.5441087770602277e-09,25
F13A1,0.8921,4.438773501299645e-16,44
STAP1,0.8909,0.0005421442248338668,10
SULT1E1,0.8908,8.544051365494104e-12,32
SCG3,0.888,9.183395296131711e-16,44
CDC42BPA,0.8874,1.0288822550558469e-15,44
FABP6,0.8868,5.734734868314232e-14,39
FAM3D,0.8863,1.2505801494307849e-15,44
JADE3,0.8857,2.5040044989174716e-05,14
GDA,0.8855,1.4409303804165322e-15,44
LRRC15,0.8848,7.62353267383988e-15,42
OAS3,0.8848,1.6055852983339857e-15,44
ANXA8L1,0.8839,1.9042782484731425e-15,44
ADAMTSL2,0.8829,2.251957107159011e-15,44
CADPS,0.8825,2.3808949117876395e-15,44
ITGBL1,0.8813,2.922128338393115e-15,44
CRABP2,0.8812,2.960807589418992e-15,44
SNAI2,0.8811,0.00015267406467669862,12
CHGA,0.8808,3.1722592007825056e-15,44
NUDT11,0.8799,3.2179025965727305e-06,17
NCF2,0.8794,3.988577860341903e-15,44
VTCN1,0.8788,0.0008138621117322101,10
HID1,0.8784,4.733732993820894e-15,44
SPRR3,0.8776,1.1367805651131598e-14,43
CA9,0.8772,5.70148882892962e-15,44
NEBL,0.8772,5.7458947545664285e-15,44
SLC30A8,0.8767,3.967924075295941e-07,20
TCEA3,0.8762,6.772498364108422e-15,44
ERAP2,0.8741,9.32953988612674e-15,44
TRIM29,0.8741,9.342515050650314e-15,44
MZB1,0.8738,9.811093646699524e-15,44
PYHIN1,0.8737,1.0290605944416864e-06,19
BCL2L15,0.8735,1.026673754298093e-14,44
PPP1R1A,0.8728,2.118554991607757e-13,40
ADGRF1,0.8725,4.914594673940114e-06,17
ERICH5,0.8721,1.2713222081036365e-14,44
ANXA10,0.8718,1.3403099585938722e-14,44
NPR3,0.8679,4.903758078776551e-14,43
MYH10,0.8675,2.5639947753597588e-14,44
SCG2,0.8674,2.591930712391085e-14,44
PADI1,0.8671,2.7307324497361624e-14,44
PLAU,0.8664,3.0067613409077636e-14,44
COL17A1,0.8654,3.4802007747407854e-14,44
CA13,0.865,3.688908106964834e-14,44
MARCO,0.8646,3.19364254000862e-13,41
PRELP,0.8642,4.1471324035699497e-14,44
SLC52A2,0.8636,0.0006116938500931701,11
SCIN,0.8635,4.6030981781935054e-14,44
GMDS,0.8632,4.7799534382015174e-14,44
WNK2,0.863,4.9700144078938804e-14,44
PPP1R14C,0.862,3.639932642555093e-12,38
HIP1R,0.8613,6.320512805286746e-14,44
SCUBE3,0.8611,6.50197635536392e-14,44
SLIT3,0.8606,6.969381591451e-14,44
OCLN,0.8576,1.0541450780916869e-13,44
DHRS9,0.8573,1.1048182241413e-13,44
PRDM11,0.8565,0.0007614084643335103,11
KANK4,0.8554,1.4193333166186533e-13,44
FXYD2,0.8552,6.092981363089151e-11,35
PCSK2,0.8546,1.5733201889464773e-13,44
IFIT1,0.854,1.7059432556130852e-13,44
BICC1,0.8538,1.764280104367062e-13,44
IGFBP3,0.853,1.9481536377457932e-13,44
IGF2BP2,0.8529,1.9797325933886411e-13,44
ANTXR1,0.8527,2.0494101392103e-13,44
MUCL3,0.8526,3.0145642375041827e-10,33
PTK7,0.8516,2.349742789049566e-13,44
SFN,0.8515,2.3903360200021254e-13,44
TMEM184B,0.8514,7.421687625621961e-06,18
GRAP2,0.8508,2.604367895577656e-13,44
FGFBP1,0.8505,2.6695072596477803e-09,30
ENPP1,0.8504,2.765936895078952e-13,44
LMOD1,0.8498,2.9841904413674986e-13,44
TNS4,0.8493,2.243521893314049e-12,41
SERPINB2,0.8475,4.0279386688800463e-13,44
NLRP2,0.8468,1.0984314219259739e-11,39
KRT7,0.8468,4.3887180231289176e-13,44
KLHDC7A,0.8462,0.0005211337004810047,12
ADH1B,0.8461,4.811041336638924e-13,44
MITD1,0.8455,7.262895202702011e-07,22
MADCAM1,0.8452,1.0609103413892223e-07,25
KIF13B,0.8443,6.022742610643439e-13,44
LOXL2,0.8436,6.54091602302096e-13,44
SLIT2,0.8426,7.416191572969987e-13,44
ALDH3A1,0.8408,9.279997871518601e-13,44
PAPSS2,0.8405,9.621098028637693e-13,44
FST,0.8405,2.663009934974125e-10,35
PYGL,0.8404,9.733838919123483e-13,44
EFNB1,0.8404,9.698938704074852e-13,44
LGALS4,0.8396,1.0661503292000579e-12,44
LLGL2,0.839,1.1441446930867028e-12,44
LMO7,0.8387,1.1867538021000568e-12,44
P4HA1,0.8385,1.215552289963264e-12,44
BIN2,0.838,1.295719748490226e-12,44
ITGA3,0.8376,1.351298513196381e-12,44
FN1,0.8371,1.4440826599250477e-12,44
ITGB6,0.837,1.4530921320376472e-12,44
CGNL1,0.8367,1.5150012799028134e-12,44
CAPN9,0.8365,1.3410528496340453e-09,33
ESRP1,0.8362,1.6068358727547106e-12,44
HSD17B2,0.8361,1.6248879323703224e-12,44
ALDH3A2,0.8355,1.7349661600168628e-12,44
SYNPO2,0.8354,1.756715519076853e-12,44
PLEKHS1,0.8342,2.0164164316966276e-12,44
SCG5,0.834,2.06660512528139e-12,44
CPXM2,0.8339,2.0935602987413825e-12,44
CAPN5,0.8338,2.107894612486318e-12,44
ANXA8,0.8331,2.5810705132240937e-11,40
TNXB,0.8323,2.5262712170253902e-12,44
DDX60,0.8322,2.5416861057493774e-12,44
INPP4B,0.8317,2.705960802347993e-12,44
CHDH,0.8314,2.7814845571845646e-12,44
ADAM22,0.8309,3.94705988997579e-09,32
PPP1R3G,0.8305,3.7121865476317224e-10,36
PIK3AP1,0.8305,3.097756365858671e-12,44
AURKA,0.8303,0.002940227023279509,10
RASAL3,0.8299,3.3066589163847776e-12,44
KYNU,0.8298,3.3532369519159977e-12,44
IYD,0.8297,0.000450286295546213,13
