gene,spearman_r,p_value,n_samples
CHST6,0.9515,2.279854920641689e-05,10
SFTA2,0.9321,4.241218231543346e-07,15
IGF2BP3,0.9292,8.57440763229192e-30,67
CALB2,0.9229,1.2300514458735509e-28,67
CLDN18,0.9219,1.8374014139324638e-28,67
PPP1R14C,0.9202,5.221163128802979e-22,52
SCEL,0.916,1.7801178391105352e-27,67
MX1,0.9141,3.51767049043741e-27,67
RASGRF2,0.9103,3.8709834659452763e-16,40
COL17A1,0.9074,3.622940619386926e-26,67
IFIT3,0.902,2.0911273175714127e-25,67
BCAS1,0.8995,4.64636528297946e-25,67
VILL,0.8966,1.1007505911024008e-24,67
ANXA10,0.8964,1.1877455640608805e-24,67
AGR3,0.895,1.800401800184124e-24,67
SERPINB5,0.892,4.292460069804487e-24,67
CLEC2B,0.89,7.57373444146033e-07,18
FAM111B,0.8893,9.192974758842262e-06,15
NLRP2,0.8891,4.944642409864366e-22,62
FBP1,0.8854,2.5910247045349108e-23,67
CRABP2,0.8849,2.967079192868189e-23,67
TESC,0.8833,4.596545873234873e-23,67
BAIAP2L1,0.8804,9.623042345382088e-23,67
FN1,0.8777,1.9014926228482238e-22,67
GPX2,0.8741,4.613569657634128e-22,67
ERICH5,0.8737,5.118803522920698e-22,67
SULT1C2,0.8727,6.531242135102252e-22,67
CGNL1,0.8727,6.508600238997257e-22,67
PADI1,0.8722,7.315334446274297e-22,67
TRIM29,0.8712,9.34951725455387e-22,67
AOC1,0.8706,1.0573348792936052e-21,67
COL11A1,0.8699,1.2610554828731801e-21,67
TFF1,0.8696,1.3648663613074386e-21,67
FSCN1,0.8686,1.6874464691714663e-21,67
VSTM2L,0.8681,5.6798189086915085e-05,14
KRT17,0.868,1.9476419047411663e-21,67
CYP27A1,0.8658,3.243119313650615e-21,67
CTSE,0.8658,3.2391995353060694e-21,67
FHL5,0.8638,5.029645767297727e-21,67
MUC5AC,0.8633,5.6330976468415866e-21,67
PLOD2,0.8618,7.938692155690436e-21,67
OAS3,0.8579,1.835103073960347e-20,67
SST,0.8576,1.92723067858995e-20,67
APOBEC2,0.8567,2.329660563296007e-20,67
SERPINB3,0.8565,2.473609129989881e-20,67
FXYD2,0.8549,7.795416871755396e-14,45
ASRGL1,0.8544,3.830020344480383e-20,67
SERPINB2,0.8538,4.2801688758934105e-20,67
KRT16,0.8536,4.4308684762929816e-20,67
OLFM4,0.8535,4.597461763564257e-20,67
ADH1B,0.8506,8.154808085469769e-20,67
LY6D,0.8495,1.0245089280956796e-19,67
