gene,spearman_r,p_value,n_samples
FAM169A,0.9893,2.9989342571550695e-12,15
PLEKHA5,0.9821,8.15733350897872e-11,15
FXYD1,0.9786,2.645456012398753e-10,15
ARFGEF3,0.9786,2.645456012398753e-10,15
DOCK2,0.9777,3.4614422216755585e-10,15
IQGAP2,0.975,7.143705965229251e-10,15
PKP2,0.975,7.143705965229251e-10,15
ARHGAP4,0.975,7.143705965229251e-10,15
CHTF18,0.975,7.143705965229251e-10,15
TTC39B,0.9749,7.298466940475931e-10,15
ASRGL1,0.9714,1.687076488609131e-09,15
TJP1,0.9714,1.687076488609131e-09,15
CA8,0.9714,1.687076488609131e-09,15
BAIAP2L1,0.9714,1.687076488609131e-09,15
PHLDB1,0.9687,3.018242672037643e-09,15
SH2D4A,0.9643,7.072303009204264e-09,15
POF1B,0.9643,7.072303009204264e-09,15
TRAF3IP3,0.9643,7.072303009204264e-09,15
MYO5C,0.9607,1.3027489790343458e-08,15
OAS2,0.9607,1.3027489790343458e-08,15
RRM2,0.9607,1.3027489790343458e-08,15
GLYATL2,0.9607,1.3027489790343458e-08,15
CYGB,0.9607,1.3027489790343458e-08,15
AGR2,0.9571,2.2736751556259772e-08,15
PAPSS2,0.9571,2.2736751556259772e-08,15
GMDS,0.9571,2.2736751556259772e-08,15
SPTBN2,0.9571,2.2736751556259772e-08,15
ENG,0.9571,2.2736751556259772e-08,15
MYO1G,0.9571,2.2736751556259772e-08,15
GPHN,0.9571,2.2736751556259772e-08,15
CERT1,0.957,2.3241787987024745e-08,15
HOMER2,0.9562,2.608859816802963e-08,15
SCUBE3,0.9545,4.988898739949761e-06,11
PLEKHS1,0.9536,3.792440041183125e-08,15
SCIN,0.9536,3.792440041183125e-08,15
GNPNAT1,0.9536,3.792440041183125e-08,15
SCPEP1,0.9536,3.792440041183125e-08,15
MYO1F,0.9526,4.307280475576051e-08,15
IL4I1,0.95,6.086257958053973e-08,15
PLA2G4A,0.95,6.086257958053973e-08,15
CDR2L,0.95,6.086257958053973e-08,15
PIK3CD,0.9473,8.536661167233667e-08,15
TACC1,0.9464,9.447938510352375e-08,15
OAS3,0.9464,9.447938510352375e-08,15
AK4,0.9464,9.447938510352375e-08,15
ERO1A,0.9464,9.447938510352375e-08,15
DCDC2,0.9464,9.447938510352375e-08,15
SASH3,0.9464,9.447938510352375e-08,15
CCDC88C,0.9464,9.447938510352375e-08,15
ARHGAP30,0.9464,9.447938510352375e-08,15
PRR15,0.9464,9.447938510352375e-08,15
PLEKHA6,0.9463,9.554392579044674e-08,15
KHDRBS3,0.9455,1.0556121622691632e-07,15
BSPRY,0.9445,1.1772698632276547e-07,15
ALPL,0.9429,1.4247676947645738e-07,15
RREB1,0.9429,1.4247676947645738e-07,15
LCP2,0.9429,1.4247676947645738e-07,15
CDK6,0.9429,1.4247676947645738e-07,15
FGD4,0.9429,1.4247676947645738e-07,15
NFATC2,0.9429,1.4247676947645738e-07,15
CD2AP,0.9419,1.5812991011493376e-07,15
CORO1A,0.9419,1.5812991011493376e-07,15
