gene,spearman_r,p_value,n_samples
LDLRAD1,0.9574,2.3768842141270193e-13,24
RRM2,0.9518,1.0181785668463655e-39,76
SLC2A10,0.9515,2.279854920641689e-05,10
TBX18,0.9515,2.279854920641689e-05,10
PLEKHS1,0.9463,4.930762760579559e-38,76
CAPS,0.9422,7.0726486619651155e-37,76
MAP1B,0.9394,3.900969465540064e-36,76
CGN,0.9391,4.672752321150379e-36,76
NNMT,0.9382,7.857981498881648e-36,76
TPPP3,0.9379,9.518554202421402e-36,76
GLYATL2,0.9343,7.098407209388056e-35,76
CRYBG1,0.9325,1.8609082903822273e-34,76
MISP,0.9307,4.795290344330511e-34,76
RASAL1,0.9288,1.264055970303485e-33,76
ZMYND10,0.9271,1.4920979686573192e-31,72
PAPSS2,0.9261,4.6656321066757065e-33,76
PRTFDC1,0.9256,5.882289937490631e-33,76
C1orf116,0.9252,7.177795264962668e-33,76
MAPRE2,0.9244,1.0556171540540802e-32,76
NCAPH,0.9234,1.6939762479739314e-32,76
SFN,0.9224,2.6865966618649866e-32,76
UHRF1,0.9207,5.797203826498007e-32,76
OAS2,0.92,7.883546539133532e-32,76
PLCB1,0.919,1.210743279752576e-31,76
FKBP10,0.9187,1.401623562951592e-31,76
SOX9,0.9186,4.0123160759138305e-29,70
HOMER2,0.9177,2.1813299405354796e-31,76
MAP1A,0.9171,2.8183332099112705e-31,76
PPM1H,0.917,2.9005606931810963e-31,76
MAGI1,0.9163,3.9030406816886237e-31,76
DACH1,0.9163,3.899258639094388e-31,76
PHYHIPL,0.9157,4.967091099946137e-31,76
TACC1,0.9156,5.391095778458574e-31,76
CA8,0.9156,5.296460063250065e-31,76
SCGB3A1,0.9152,0.00020447240614883226,10
EPS8L1,0.9148,7.404543202868994e-31,76
CAPN6,0.9143,9.246927775316595e-31,76
RUNX1T1,0.914,1.7449459174795096e-12,30
SLC34A2,0.9125,3.493750184840787e-24,60
SIX1,0.9119,3.5145597953952822e-09,22
PGR,0.9115,2.850626242870983e-30,76
ARMC3,0.9112,1.8781023288853468e-22,56
KIF11,0.9112,3.157219667607019e-30,76
ZCCHC24,0.9111,3.322395679599679e-30,76
EZR,0.9107,3.929145786382945e-30,76
AGR2,0.9103,4.488432334470371e-30,76
STK33,0.9103,4.548231779461758e-30,76
CTNNA2,0.9103,4.604350952724695e-30,76
DST,0.9093,6.689713931910235e-30,76
TNFAIP2,0.908,1.1296108812979449e-29,76
AGR3,0.9079,1.1768602499125508e-29,76
HGD,0.9078,1.2202110837079356e-29,76
LAD1,0.9072,1.5027479918610874e-29,76
WDHD1,0.9066,1.9371542985134056e-29,76
APBB1IP,0.9065,1.9481189106468812e-29,76
FAM83B,0.9058,1.4681683793752177e-25,66
SULT2B1,0.9055,5.0646278734739884e-27,70
LEF1,0.9052,3.203473531648555e-29,76
NECTIN4,0.9047,3.8576893186249836e-29,76
AQP5,0.9039,5.126206925571108e-29,76
PLA2G4A,0.9033,6.47396565711321e-29,76
IFIT3,0.9029,7.549575053171178e-29,76
ZNF516,0.9025,8.613409258511757e-29,76
KANK1,0.9021,9.985415199880529e-29,76
SLC9A3R1,0.902,1.020133646102409e-28,76
FERMT1,0.902,1.0314965536202704e-28,76
HERC5,0.9019,1.092162928915891e-28,76
IGF2BP2,0.9016,1.1774405717395656e-28,76
PCDH7,0.9015,1.2249904848410789e-28,76
OSBPL3,0.9007,1.633814093914481e-28,76
CASP10,0.9007,1.6497168377806104e-28,76
ERICH5,0.9004,1.8450883843906797e-28,76
TCEA3,0.8998,2.2545046477683206e-28,76
PREX2,0.8996,2.455811451356859e-28,76
GSTM3,0.899,2.98993493978582e-28,76
PYGO1,0.899,1.9508869694234215e-26,71
PSAT1,0.8987,3.3160588136109896e-28,76
CLIC3,0.8982,4.004563449915244e-28,76
MCM2,0.8981,4.144836678967988e-28,76
RSPH4A,0.8981,1.6022327018726109e-24,66
MSRB3,0.8972,5.621701572526865e-28,76
RAP1GAP,0.8969,6.126530004766158e-28,76
CELF2,0.8968,6.415191168442848e-28,76
ACSS3,0.8967,6.587081482860843e-28,76
JSRP1,0.8965,2.0523092236433166e-07,19
ANXA1,0.8958,8.890978581446335e-28,76
RBP1,0.8951,1.1183124248550061e-27,76
CLDN10,0.8948,6.2664085240367585e-27,74
KIF2C,0.8944,1.409957217726137e-27,76
SPAG1,0.8942,1.5369718775561683e-27,76
