gene,tumor_r,normal_r,delta_r
MAFK,0.3124,-0.1298,0.44220000000000004
ADAMTS15,-0.0377,-0.4684,0.43069999999999997
DPY19L4,0.024,-0.3916,0.4156
B3GNT9,0.6462,0.2448,0.4014
SLC19A1,0.0723,-0.3164,0.38870000000000005
SPEG,0.3914,0.0149,0.3765
SLC40A1,0.5717,0.2193,0.3524
ANOS1,0.4696,0.1226,0.34700000000000003
CXCR4,0.2024,-0.1325,0.3349
MLF1,-0.0789,-0.4088,0.32989999999999997
MAFG,0.2081,-0.1196,0.3277
CD7,0.1643,-0.1482,0.3125
DIRAS2,0.2356,-0.0662,0.3018
IRF1,0.3858,0.0841,0.30169999999999997
SIGLEC10,0.2913,-0.0074,0.2987
MMP28,0.3725,0.0794,0.2931
ORMDL3,-0.1361,-0.4266,0.2905
MAPKAPK5,-0.1481,-0.4378,0.2897
RNF139,-0.0396,-0.3222,0.28259999999999996
ABCB9,0.389,0.1119,0.2771
FBXO33,0.0,-0.2727,0.2727
FAM53B,0.1537,-0.1173,0.271
UBXN8,-0.011,-0.2802,0.2692
TUSC3,0.172,-0.0971,0.2691
KLHL18,0.0024,-0.2641,0.2665
KCNK1,0.0185,-0.2467,0.2652
DENND1C,0.052,-0.2098,0.2618
TRIL,-0.0264,-0.2837,0.25730000000000003
ATF6,0.0199,-0.2356,0.2555
ZWINT,-0.1249,-0.3794,0.2545
PKDCC,0.2334,-0.0191,0.2525
KBTBD8,0.0879,-0.1608,0.2487
ARL13B,-0.0824,-0.3198,0.23739999999999997
ZNF189,0.4345,0.2,0.2345
PTCD3,-0.0611,-0.2954,0.2343
FAM43A,0.2719,0.0378,0.23409999999999997
ABCC5,-0.0188,-0.2448,0.22599999999999998
DALRD3,0.2233,-0.0013,0.2246
RRM2,0.6251,0.4015,0.22359999999999997
ZSCAN25,0.2413,0.02,0.2213
WHAMM,0.3304,0.1105,0.21990000000000004
MTF2,-0.029,-0.2449,0.2159
COL5A1,0.6107,0.3971,0.2136
JMJD4,-0.0678,-0.2796,0.21180000000000002
SGCB,0.0404,-0.1687,0.20909999999999998
CDKN2A,0.1153,-0.0932,0.20850000000000002
AP000552.6,0.102,-0.1038,0.20579999999999998
CCDC137,0.4221,0.2168,0.20529999999999998
NECAB1,0.5679,0.3636,0.20429999999999998
GFOD1,0.6748,0.4725,0.20229999999999998
NUAK2,0.1459,-0.0561,0.202
IGSF11,-0.0061,-0.2075,0.2014
TRANK1,0.3987,0.1987,0.2
IDH3B,0.1923,-0.0066,0.1989
MRPS11,0.1499,-0.0489,0.1988
USP9Y,0.5164,0.3236,0.19279999999999997
CCDC150,-0.2656,-0.4577,0.1921
TMPPE,0.24,0.048,0.192
FLVCR2,0.509,0.3174,0.1916
ZBTB16,0.285,0.0943,0.19069999999999998
TNFAIP8L1,0.3891,0.1994,0.1897
PRKG2,-0.1922,-0.3805,0.1883
BEND5,-0.1209,-0.3077,0.18679999999999997
SMO,0.5699,0.3834,0.18649999999999994
IGHV4-39,0.0196,-0.1647,0.18430000000000002
CREB5,0.4108,0.2278,0.183
RAB27A,0.5365,0.354,0.1825
COX16,0.0108,-0.1687,0.1795
MRPL41,0.3806,0.2014,0.1792
KCNQ1,0.2797,0.1015,0.1782
SLC25A19,0.4193,0.2411,0.1782
CDH17,0.5745,0.3965,0.178
SPRY4,0.353,0.1757,0.17729999999999999
HASPIN,-0.269,-0.4454,0.1764
RMI1,-0.1158,-0.2912,0.1754
TMEM87A,0.4626,0.2872,0.1754
ABCA3,-0.0981,-0.273,0.1749
IQSEC3,0.5624,0.3882,0.17420000000000002
STXBP5L,-0.1598,-0.3333,0.1735
RHBDD2,0.3521,0.1788,0.17330000000000004
STAT4,0.4455,0.2732,0.1723
TIMELESS,-0.2499,-0.4211,0.17119999999999996
VPS37A,0.3295,0.1585,0.171
FOS,0.1877,0.0175,0.17020000000000002
KNOP1,0.1669,-0.0025,0.1694
PSMF1,0.0499,-0.1182,0.1681
TRAF5,0.2637,0.0957,0.16799999999999998
FCAMR,0.4822,0.3143,0.1679
LRRC49,0.182,0.0144,0.1676
IGLV2-23,0.3069,0.1397,0.16720000000000002
CERK,-0.2462,-0.4133,0.1671
MKS1,0.2434,0.0771,0.1663
TRIM36,0.2204,0.0559,0.1645
MRPS35,0.1976,0.0331,0.1645
PIGA,0.1376,-0.0268,0.1644
GPRC5A,0.4965,0.3326,0.1639
MRPL38,0.1956,0.0321,0.1635
TIE1,0.5446,0.3814,0.16319999999999996
MT-CO3,0.2653,0.1024,0.1629
CHST12,0.2223,0.0606,0.1617
NDUFB7,-0.0039,-0.1652,0.16130000000000003
CLPX,0.3499,0.1889,0.16099999999999998
MRPL20,-0.0374,-0.1982,0.1608
COPS5,0.1912,0.0305,0.1607
TMEM177,0.2522,0.0921,0.16009999999999996
CCDC59,0.2366,0.0769,0.1597
RNF10,-0.0766,-0.2357,0.1591
MRPS7,0.043,-0.116,0.159
GYG2,0.478,0.3197,0.1583
DRAM2,0.2653,0.1072,0.15809999999999996
ATP5IF1,0.3279,0.1699,0.15800000000000003
TMEM35B,0.2895,0.1316,0.15789999999999998
SOX13,0.5098,0.352,0.15780000000000005
CGRRF1,0.1637,0.006,0.1577
HOXD9,0.3272,0.1699,0.1573
PLEKHH3,0.0159,-0.1413,0.1572
NPRL2,0.2652,0.1085,0.1567
PHF12,-0.1461,-0.3027,0.15660000000000002
CCDC51,0.37,0.2141,0.15589999999999998
HMGXB3,0.2328,0.077,0.1558
SLC45A4,0.2219,0.0662,0.1557
MRS2,0.223,0.0676,0.1554
USP47,0.2468,0.0917,0.1551
TOMM40L,0.1763,0.0214,0.1549
MRPL1,0.2604,0.1066,0.15380000000000002
MRPL51,0.0255,-0.1283,0.1538
JRKL,0.0266,-0.1272,0.1538
TASP1,0.103,-0.0501,0.15309999999999999
EIF2AK3,0.1329,-0.0198,0.1527
ADAMTS7,0.3954,0.2431,0.15229999999999996
MRPS16,0.0511,-0.1009,0.152
RBM41,-0.1949,-0.3468,0.1519
FBP2,0.1062,-0.0456,0.1518
SERAC1,0.3444,0.193,0.15139999999999998
POLL,-0.22,-0.3713,0.15130000000000002
FLCN,0.2658,0.1151,0.1507
FAM167A,0.6331,0.4824,0.1507
MLH1,0.1544,0.0042,0.1502
RAMAC,0.1663,0.0162,0.1501
MT-ND4,-0.1086,-0.2586,0.15
SUPT7L,0.2877,0.1378,0.1499
IPMK,0.3107,0.1608,0.14989999999999998
HCCS,0.3141,0.1648,0.1493
SLC25A44,0.1701,0.0209,0.1492
MYO6,-0.0642,-0.2134,0.1492
ERP27,-0.033,-0.1818,0.1488
PELO,0.2759,0.1273,0.14859999999999998
MRPL9,-0.006,-0.1541,0.14809999999999998
IFRD2,0.2358,0.0878,0.14800000000000002
ARHGEF9,0.2329,0.0849,0.148
MT-ND2,-0.1827,-0.3305,0.14780000000000001
RNF6,0.1826,0.0353,0.14730000000000001
RASA4B,0.3982,0.2509,0.1473
MFSD11,0.1238,-0.0232,0.147
HERC2,0.2485,0.1015,0.147
COX11,0.1683,0.0219,0.1464
NDUFAF3,0.1921,0.0458,0.14629999999999999
CEP76,0.0493,-0.0968,0.1461
COX14,-0.0637,-0.2098,0.14609999999999998
COX6A1,0.2102,0.0642,0.14600000000000002
UBE2D1,0.1711,0.0252,0.1459
KCTD7,0.0936,-0.0519,0.14550000000000002
PEX12,0.1214,-0.0241,0.1455
PLXNA3,0.3407,0.1958,0.1449
MRM3,0.3749,0.2301,0.1448
DPH3,0.2293,0.0845,0.14479999999999998
YAE1,-0.1059,-0.2501,0.1442
NDUFAF8,0.1861,0.0421,0.144
TENT5A,0.1923,0.049,0.14329999999999998
MRPL37,0.0861,-0.0568,0.1429
HAUS8,0.3112,0.1685,0.14269999999999997
TSPAN33,0.3081,0.1656,0.1425
CD33,0.6581,0.5162,0.14190000000000003
CCDC71L,0.1121,-0.0295,0.1416
NDUFA8,0.0751,-0.0663,0.1414
ZNF420,0.3091,0.1678,0.14129999999999998
SLC15A2,0.3323,0.1914,0.1409
MISP3,0.4408,0.3003,0.1405
FNDC1,0.6189,0.4784,0.1405
IGHE,0.5294,0.3894,0.13999999999999996
APBA3,0.3277,0.1881,0.1396
CSNK1G1,0.2711,0.1316,0.1395
OXSR1,0.5534,0.414,0.13940000000000002
DPH1,0.2215,0.0822,0.1393
CFAP410,0.1828,0.0437,0.1391
DAP3,0.1603,0.0216,0.1387
MRPL24,0.0441,-0.0945,0.1386
MAP3K9,0.0444,-0.0941,0.1385
SREBF1,0.2574,0.1189,0.1385
IGLV3-16,0.1341,-0.0044,0.13849999999999998
TNFRSF10A,0.6782,0.5401,0.1381
CCDC47,0.071,-0.0671,0.1381
NACC2,0.1461,0.0081,0.138
RPTOR,0.2394,0.1015,0.1379
TOP2B,-0.0257,-0.1635,0.1378
DYRK4,-0.0251,-0.1629,0.13779999999999998
BCL3,-0.0425,-0.18,0.13749999999999998
SNED1,0.4195,0.2821,0.13739999999999997
EXOG,0.231,0.0937,0.1373
ANO9,0.3609,0.2238,0.1371
SDHAF2,0.1529,0.0159,0.137
ZCRB1,0.3316,0.1947,0.1369
ZDHHC7,0.3867,0.25,0.1367
ANO8,0.2868,0.1501,0.1367
MRPL42,-0.0044,-0.1407,0.1363
ESYT1,0.3464,0.2101,0.13629999999999998
DISC1,0.3616,0.2255,0.13609999999999997
TRUB1,0.3033,0.1674,0.13590000000000002
HS2ST1,0.4711,0.3353,0.13580000000000003
WDTC1,0.3095,0.1737,0.1358
TARS2,0.5319,0.3962,0.13570000000000004
MRPL43,0.2124,0.0767,0.1357
PIK3CG,0.3747,0.24,0.1347
SC5D,0.3389,0.2042,0.1347
BANK1,0.5001,0.3656,0.1345
PRIM1,0.2497,0.1152,0.1345
PITRM1,0.5367,0.4022,0.13449999999999995
INHBE,-0.071,-0.2054,0.13440000000000002
TEFM,0.0804,-0.0539,0.1343
COX15,0.0518,-0.0825,0.1343
MRPL13,0.0967,-0.0374,0.1341
ALPK1,0.6081,0.4742,0.13389999999999996
GRSF1,0.3838,0.2505,0.13329999999999997
FILIP1L,0.5758,0.4428,0.13299999999999995
ELP4,0.0761,-0.0568,0.13290000000000002
BCL2L15,0.2599,0.127,0.13290000000000002
THNSL1,0.4425,0.3097,0.13280000000000003
PRKD2,0.3236,0.1909,0.1327
GLS,0.546,0.4136,0.13240000000000002
PIP4P1,0.286,0.154,0.13199999999999998
RAD9A,0.0874,-0.0444,0.1318
CDPF1,0.187,0.0557,0.1313
PNKD,0.3146,0.1835,0.1311
CD3D,0.5655,0.435,0.1305
GDAP2,0.2963,0.1658,0.1305
MCM6,0.4887,0.3584,0.13030000000000003
BAZ1A,0.529,0.3988,0.13020000000000004
NDUFS1,0.1093,-0.0209,0.13019999999999998
FRRS1,0.1515,0.0214,0.1301
GPRC5B,0.2844,0.1543,0.1301
PMPCB,0.1247,-0.0053,0.13
SNTB2,0.3844,0.2545,0.12990000000000002
CAVIN3,0.2605,0.1308,0.1297
MRPL19,0.0533,-0.0764,0.12969999999999998
POU2F2,0.2593,0.1296,0.12969999999999998
