gene,spearman_r,p_value,n_samples
TRAC,0.965,3.880985299627466e-07,12
KCTD16,0.958,9.543581826838402e-07,12
ERICH5,0.956,1.8862077489696862e-45,84
PHYHIPL,0.9505,2.138748096718115e-43,84
SLC10A2,0.9489,1.6855043690902107e-12,24
ANXA13,0.9473,2.7078927731401546e-42,84
GSTA2,0.9454,1.1326879740723891e-41,84
CADM3,0.9452,3.563267590025994e-12,24
BBOX1,0.9428,7.215026452465054e-41,84
ADIRF,0.9428,7.111127687288631e-41,84
DCLK1,0.9413,1.9997020276817973e-40,84
A1CF,0.9368,3.77780722810247e-39,84
STAT1,0.936,6.282328945824313e-39,84
STON2,0.9351,1.0559974523093835e-38,84
PPP1R14C,0.9347,1.334754716740053e-38,84
CENPV,0.9342,1.8539481484580862e-38,84
ASRGL1,0.9325,5.132909326129768e-38,84
ALOX5,0.9315,9.179095953774746e-38,84
SNCG,0.9314,9.663731831143939e-38,84
CES1,0.9305,1.593142933287341e-37,84
ERAP2,0.9287,4.464394964452867e-37,84
S100A1,0.9285,5.009337897418951e-37,84
DDX3Y,0.9284,5.301880015855755e-37,84
AOC1,0.9282,5.938859118007824e-37,84
PNCK,0.9278,8.816109100022453e-25,56
CES2,0.9251,3.037819547788174e-36,84
PTGS1,0.9247,3.7961765954977804e-36,84
KANK3,0.9243,4.7240025448042334e-36,84
SCRN1,0.9209,2.66979027481891e-35,84
CUBN,0.9209,2.740124785226471e-35,84
RASAL1,0.9205,3.2398846655562887e-35,84
GBP5,0.92,4.172742232138899e-35,84
ADSS1,0.9194,5.495675626160792e-35,84
MYO1B,0.9192,6.298863617614853e-35,84
PLEKHA5,0.9172,1.6137441641612414e-34,84
SLC2A5,0.9172,1.6349440188834803e-34,84
NPL,0.9165,2.257087145786167e-34,84
CCDC8,0.9165,2.272365408371273e-34,84
PRUNE2,0.9158,3.177887243288187e-34,84
ME1,0.9158,3.0546116521902505e-34,84
RAB42,0.915,1.7257594441468315e-32,80
PLCB4,0.915,4.452634662544041e-34,84
FYB1,0.9138,7.774127104001447e-34,84
TPPP,0.9132,1.0384225093239608e-33,84
LGALS2,0.911,2.769796638757825e-33,84
RBP7,0.9107,3.194965405024253e-33,84
CD70,0.9099,4.493851462175297e-33,84
CCDC85A,0.9098,2.702255745187613e-08,20
IMPA2,0.9092,5.977554367514172e-33,84
MCF2L,0.9091,6.316381003346397e-33,84
CAMK2N1,0.9091,4.191044653034231e-05,12
MMRN2,0.9083,8.973152768517593e-33,84
SCGN,0.908,1.020408566012931e-32,84
NPR3,0.9068,1.691854954165648e-32,84
RPS4Y1,0.9062,2.1734882258376744e-32,84
GRB10,0.9059,2.4308254921032532e-32,84
MYH14,0.9057,2.6382504129619085e-32,84
NEFL,0.9052,3.2311682312296293e-32,84
MAP7,0.9047,4.0791094222811085e-32,84
PPFIBP1,0.9041,5.046710411452184e-32,84
BICC1,0.9041,5.120495745580919e-32,84
FXYD1,0.904,4.344299356807095e-20,52
MAPK12,0.9039,4.897505754597443e-26,68
ESAM,0.9015,1.464062088156431e-31,84
MGARP,0.9013,1.5743990597055465e-31,84
COBL,0.9008,1.8910209547676405e-31,84
DCDC2,0.9005,2.14391622943854e-31,84
FKBP10,0.9005,2.1773226165401684e-31,84
STK39,0.8986,4.502861173744156e-31,84
MYH11,0.8982,5.309356343748681e-31,84
MACC1,0.8974,7.177321502482905e-31,84
ALPL,0.8973,7.4637885805141416e-31,84
TESC,0.8967,1.741034962319548e-26,72
CMBL,0.8954,1.485973339091607e-30,84
APOL2,0.8949,1.8035886234595062e-30,84
BSPRY,0.8945,2.112733458458133e-30,84
ATP9A,0.894,2.4940600837383405e-30,84
DOCK11,0.8937,2.8393837207792465e-30,84
FHL1,0.8932,1.4028801520617325e-17,48
GRAP2,0.8927,1.0007353766217196e-28,80
HGD,0.892,5.211188670473297e-30,84
CDH13,0.8916,5.89786112399779e-30,84
MRC1,0.8913,6.691127441280488e-30,84
SYTL2,0.891,7.476396743411811e-30,84
SYK,0.8897,1.1590910080693886e-29,84
VSIG4,0.8896,1.2201662008818504e-29,84
KHK,0.8894,1.3078316084290155e-29,84
HS1BP3,0.8889,1.5736631763684313e-29,84
IDO1,0.8888,3.742677262283034e-28,80
DBN1,0.8888,1.6320417857126268e-29,84
H1-1,0.8886,1.6591682817945677e-07,20
UGT1A6,0.8879,2.174542423434064e-29,84
SHROOM4,0.8879,2.225840395187833e-29,84
PLVAP,0.8875,2.4876652579336925e-29,84
ALDH1L1,0.8864,3.720472411598166e-29,84
SLC15A1,0.8858,3.0714408376296905e-14,40
GBP1,0.8851,5.810371990756281e-29,84
STEAP3,0.8843,1.598581107066374e-27,80
SORCS2,0.8837,9.045181450703312e-29,84
PPFIBP2,0.8827,1.2900055483970226e-28,84
SYTL4,0.8811,2.1180063174265033e-28,84
BAG2,0.8811,2.1522121380550037e-28,84
RTN1,0.8809,2.2539424231070395e-28,84
F13A1,0.8804,2.666762057725103e-28,84
LGALS3,0.8798,3.2868676563363523e-28,84
ARHGEF16,0.8794,3.69942287041943e-28,84
HSPA12B,0.8792,3.951862164045788e-28,84
LAP3,0.8791,4.049415870786752e-28,84
MX1,0.879,4.236280324074346e-28,84
PIK3AP1,0.8789,4.305028187055668e-28,84
ALDOC,0.8781,5.6000193430198485e-28,84
COL14A1,0.8774,6.892904636466316e-28,84
NOSTRIN,0.8771,7.6536286174923385e-28,84
GAMT,0.877,7.995601746566989e-28,84
GSTM3,0.877,8.006702348023642e-28,84
GSDME,0.8769,8.049484615100115e-28,84
GBP2,0.8768,8.395575756972424e-28,84
SEPTIN1,0.8768,8.529234304730539e-28,84
GDA,0.8766,9.03320305781402e-28,84
MARCKSL1,0.8762,1.018895402204805e-27,84
ACSL5,0.876,1.084931314235264e-27,84
EIF1AY,0.8752,2.581071771704183e-26,80
PDE2A,0.8751,1.4336515070138748e-27,84
PALMD,0.8749,1.505932036482541e-27,84
MRVI1,0.8741,1.9395409402572863e-27,84
PTER,0.874,2.0111284191941526e-27,84
RAB11FIP1,0.8735,2.3112465440206626e-27,84
EMCN,0.8727,9.5074564251685e-25,76
AMDHD1,0.8726,3.031731800851129e-27,84
FGD5,0.8726,3.0777764531447172e-27,84
MCAM,0.8723,3.2853293690460645e-27,84
C19orf33,0.8722,3.478710319524557e-27,84
SYNPO2,0.8717,3.939713681170016e-27,84
VWA5A,0.8709,5.0832462151280105e-27,84
SH3BP4,0.8708,5.232143668587388e-27,84
MAP7D2,0.8705,5.757555821353508e-27,84
SLIT3,0.8701,6.440902058071127e-27,84
TBC1D2,0.8697,7.270269265407422e-27,84
PRODH,0.8697,7.125980680191927e-27,84
TSPYL5,0.869,8.882417669648349e-27,84
