gene,spearman_r,p_value,n_samples
SLC10A2,0.9592,3.11861433365815e-15,27
ADIRF,0.9498,2.4338347645839207e-56,110
ERICH5,0.9494,3.948741474748125e-56,110
A1CF,0.9458,1.500512172480018e-54,110
PHYHIPL,0.944,8.239882069538888e-54,110
ANXA13,0.9405,1.8921481736144162e-52,110
STON2,0.9401,2.602089089035966e-52,110
ERAP2,0.9397,3.910912496904826e-52,110
GSTA2,0.9381,1.494378192253091e-51,110
TRAC,0.9368,1.4203781567907474e-10,22
ALOX5,0.9346,2.79538313561992e-50,110
ASRGL1,0.9342,3.644096312262395e-50,110
CENPV,0.9318,2.3597871179628395e-49,110
BBOX1,0.9297,1.1690282405722635e-48,110
SCRN1,0.9288,2.335478252465184e-48,110
RBP7,0.9277,4.9261506770161844e-48,110
ADSS1,0.9265,1.1665283493600195e-47,110
AOC1,0.9234,1.0139611591029751e-46,110
MYH11,0.923,1.3386971601306567e-46,110
DDX3Y,0.9226,1.6998611956753282e-46,110
SECTM1,0.9223,1.0424811654969881e-09,22
S100A1,0.9218,3.0344888302199814e-46,110
KCTD16,0.9212,5.315614336464901e-13,30
PLCB4,0.9197,1.1456067465124906e-45,110
CES1,0.9189,1.9717129261017446e-45,110
KANK3,0.9183,2.856947051965327e-45,110
RAB42,0.9176,1.8316896237575618e-43,106
MGARP,0.9176,4.4490546847592794e-45,110
LGALS2,0.9162,1.073418316305754e-44,110
RASAL1,0.9156,1.5465231280484538e-44,110
PNCK,0.915,2.593949609356947e-29,72
NPL,0.9141,3.7316380574787803e-44,110
MAP7,0.9128,8.362499277425104e-44,110
DCLK1,0.9128,8.454685249180881e-44,110
SNCG,0.9117,1.5683861067931216e-43,110
STAT1,0.9112,2.179956897214006e-43,110
PRUNE2,0.9095,5.553627577160913e-43,110
ALDOC,0.9092,6.5976231643709405e-43,110
MMRN2,0.9084,1.0625409362879684e-42,110
TPPP,0.9067,2.707330790568071e-42,110
CCDC8,0.906,3.988945598993026e-42,110
SLC2A5,0.9055,5.27345574635478e-42,110
COBL,0.9053,5.901289613596592e-42,110
MYO1B,0.9052,6.050273840891465e-42,110
CADM3,0.9048,3.723156639355448e-14,36
NPR3,0.9047,8.271446911921682e-42,110
PTGS1,0.9047,8.266186563573959e-42,110
RPS4Y1,0.9044,9.520417297961339e-42,110
IDO1,0.9033,5.156796255637719e-40,106
FYB1,0.903,2.0361578948200109e-41,110
KHK,0.9027,2.3300329904939063e-41,110
NEFL,0.9021,3.2780382105814224e-41,110
CES2,0.9019,3.5830399300077626e-41,110
PPP1R14C,0.9005,7.312800211195925e-41,110
FGD5,0.9004,7.798703241013501e-41,110
DCDC2,0.9003,8.265355456697664e-41,110
CMBL,0.9002,8.56271133876306e-41,110
BICC1,0.8999,1.0035036901408487e-40,110
ESAM,0.8999,1.001189029292411e-40,110
ME1,0.8991,1.5204072924968333e-40,110
BAG2,0.899,1.6154642826497333e-40,110
IMPA2,0.8981,2.4697173088340048e-40,110
CDH13,0.8981,2.4668689962715715e-40,110
SCGN,0.8976,3.270982349004651e-40,110
ARHGEF16,0.8971,4.0939818158515174e-40,110
MCF2L,0.8957,8.17075079974249e-40,110
GBP5,0.8956,8.773223953764306e-40,110
GDA,0.8952,1.0583018096730332e-39,110
MACC1,0.8952,1.0565296946073557e-39,110
PPFIBP1,0.8947,1.3575198729215549e-39,110
CD70,0.8942,1.741115467645019e-39,110
GRAP2,0.8936,5.69049915944343e-38,106
PLVAP,0.8935,2.3952192840503678e-39,110
RTN1,0.8928,3.3796982597682835e-39,110
FKBP10,0.8926,3.621695607798959e-39,110
GBP2,0.8921,4.725575555692485e-39,110
COL14A1,0.8914,6.39672907868339e-39,110
F13A1,0.8907,9.017877803158204e-39,110
SORCS2,0.8905,1.0139244789826047e-38,110
STEAP3,0.8897,7.36895096197469e-37,105
PLEKHA5,0.8888,2.2151687606022734e-38,110
SHROOM4,0.8887,2.2990116713056336e-38,110
MID1,0.8876,3.716685998949716e-38,110
MRC1,0.8874,4.0990708723243095e-38,110
MRVI1,0.887,4.865314392102246e-38,110
DOCK11,0.887,4.874168579035101e-38,110
GAMT,0.8866,5.921013648385315e-38,110
STK39,0.8862,7.127990517405389e-38,110
PIK3AP1,0.8858,8.551583406481569e-38,110
ALPL,0.8851,1.1583131908406162e-37,110
TBC1D2,0.8851,1.1502006544382877e-37,110
HSPA12B,0.8848,1.2927834829729941e-37,110
SYK,0.8837,2.10307775869263e-37,110
NOSTRIN,0.8835,2.29224564356862e-37,110
PRKCA,0.8835,2.3382855094527467e-37,110
GRB10,0.8835,2.3161657487949278e-37,110
APOL2,0.8825,3.6024243748981266e-37,110
TESC,0.8823,3.5603937856235246e-33,98
TPPP3,0.881,6.699987227342661e-37,110
RAMP3,0.8808,3.4372595920382175e-18,53
SYNPO2,0.8808,7.558420246754125e-37,110
GBP1,0.8808,7.577590618313941e-37,110
CD2,0.88,1.048405492481585e-36,110
PPL,0.8796,1.225909593928417e-36,110
CUBN,0.8783,2.155137000526171e-36,110
LGALS3,0.8772,3.3819747068136345e-36,110
FXYD1,0.8769,3.0435104009632726e-25,76
NES,0.8768,3.995331229262265e-36,110
ERG,0.8767,4.102588128808903e-36,110
UGT1A6,0.8765,4.3951435351548395e-36,110
B4GALT5,0.8762,1.8727785396152304e-06,18
JCAD,0.8761,5.319092289195777e-36,110
SEPTIN1,0.8759,5.781842225413933e-36,110
BSPRY,0.8756,6.584464886519178e-36,110
GSTM3,0.8755,6.670147204913293e-36,110
TSPYL5,0.8751,7.92769316536274e-36,110
C19orf33,0.875,8.400148126568208e-36,110
ANKS4B,0.8745,9.898736736084354e-36,110
ARFGEF3,0.8742,1.1604116798480026e-35,110
ALDH1L1,0.8741,1.18025365291973e-35,110
CDH4,0.8741,7.650243250746962e-20,60
MYH14,0.8733,1.645738873175637e-35,110
SLIT3,0.8729,1.8857115037320436e-35,110
PPFIBP2,0.8729,1.8796367786324744e-35,110
LMOD1,0.8727,2.034037835099041e-35,110
HGD,0.8727,2.105742999658422e-35,110
ACSL5,0.8721,2.5899126679495743e-35,110
CD36,0.8712,3.7676625672920335e-35,110
ADGRF5,0.8709,4.142696814200177e-35,110
SYTL2,0.8703,5.33257815543791e-35,110
MAP7D2,0.8698,6.543201404413635e-35,110
RAB11FIP1,0.8697,6.825338643927783e-35,110
EML1,0.8695,7.175150673685969e-35,110
THY1,0.8691,8.611689950019771e-35,110
TAGLN,0.8687,9.714205200080872e-35,110
AKR1B1,0.8684,1.1137474788108522e-34,110
CMKLR1,0.8681,0.0001191025598004272,13
PDCD1,0.8681,0.0001191025598004272,13
DOCK2,0.8679,1.3373819224048957e-34,110
HS1BP3,0.8678,1.3939603550238745e-34,110
EFNB2,0.8675,1.58618242816295e-34,110
SPATA18,0.8673,1.6621886217031845e-34,110
PTGFRN,0.867,1.8710006511695463e-34,110
CGNL1,0.8667,2.1184642771018743e-34,110
MCAM,0.8665,2.273923631090579e-34,110
EIF1AY,0.8663,8.063045513075031e-33,105
PRODH,0.8659,2.797063515131483e-34,110
HPCAL1,0.8658,2.9501591188928185e-34,110
AS3MT,0.8655,3.3268108591249057e-34,110
RAB17,0.8654,3.432638401474162e-34,110
MARCKSL1,0.8651,3.8096316610978015e-34,110
BHMT,0.8648,4.234724855658347e-34,110
DIAPH2,0.8647,4.530359271452512e-34,110
PNMA3,0.8647,9.47607922934925e-15,46
ATP9A,0.8646,4.683845519328949e-34,110
DEF6,0.8646,4.588697654827545e-34,110
EFHD1,0.8643,5.077884339611598e-34,110
NIT2,0.8641,5.539711656303206e-34,110
DPYSL3,0.8639,6.083249848397966e-34,110
ARAP3,0.8638,6.178904754133612e-34,110
SULF1,0.8637,6.342276201405139e-34,110
RASIP1,0.8632,7.611481480712571e-34,110
RNASET2,0.8631,7.925644190387066e-34,110
PPFIA2,0.8627,8.317125318327613e-06,17
SH3BP4,0.8623,1.0877325058684448e-33,110
FMO3,0.862,1.2200897980497486e-33,110
CAPG,0.8618,1.2793434531517506e-33,110
CRYBG1,0.8616,1.3960101265961067e-33,110
MAP1B,0.8613,1.5522969372305095e-33,110
AMDHD1,0.8609,1.7595549358011835e-33,110
CA9,0.8607,1.9074977584430964e-33,110
EMILIN1,0.8595,2.9579573772941332e-33,110
SH3PXD2B,0.8594,3.0769495245081076e-33,110
PPP1R3G,0.8588,3.7643519389438686e-33,110
MYO1F,0.8587,3.963567554321602e-33,110
SCIN,0.8586,4.1212739600014375e-33,110
PODXL,0.8584,4.420709569460486e-33,110
GUCY1A2,0.8581,4.929217060190497e-33,110
TBC1D4,0.8577,5.547263546625293e-33,110
CSPG4,0.8576,5.7013699026795076e-33,110
KIF2A,0.8576,1.389968119753924e-14,47
ARHGEF28,0.8562,9.431105004233556e-33,110
HNMT,0.8562,9.416337003626386e-33,110
NGEF,0.856,3.990172969045679e-30,101
STAT2,0.8558,1.0679457942141986e-32,110
LRP2,0.8557,1.1259236019666245e-32,110
LAP3,0.8553,1.268397726818325e-32,110
ZAP70,0.8551,1.3600751847187138e-32,110
FHL1,0.8548,2.4782072184873603e-21,71
AFAP1L1,0.8547,1.578999210511705e-32,110
CACNA2D1,0.8541,1.9398413776988671e-32,110
SLC35D1,0.8539,1.9719351562271085e-09,30
PDE3A,0.8538,2.1889279020452446e-32,110
VSIG4,0.8537,2.2533733461054515e-32,110
ITGAL,0.8536,2.3247663114690642e-32,110
VWA5A,0.8534,2.456448347947322e-32,110
ARHGAP30,0.853,2.833899882468828e-32,110
RBP5,0.8529,2.9422945163675985e-32,110
PALMD,0.8529,2.9515031576815274e-32,110
ITGAX,0.8527,3.098618910453073e-32,110
GIMAP8,0.852,4.034329675198796e-32,110
SPAG9,0.8517,4.456293994545662e-32,110
MICAL1,0.8516,4.522145240284507e-32,110
GBE1,0.8516,4.561502515290999e-32,110
CYGB,0.8515,4.632757852368011e-32,110
RAB3IP,0.8514,4.912662493479236e-32,110
NCKAP1L,0.8514,4.915379488657791e-32,110
BDH2,0.8512,5.190113791842551e-32,110
DDAH1,0.8511,5.346773677748305e-32,110
ASPA,0.851,5.482311296747424e-32,110
PTK7,0.8508,5.89976408683874e-32,110
PECAM1,0.8506,6.335093481167574e-32,110
PTGR1,0.8502,7.141698976416968e-32,110
AJAP1,0.85,1.0780747928603103e-12,42
REPS2,0.8499,8.060482731967477e-32,110
CLSTN2,0.8493,0.00012130132291496205,14
TOM1L1,0.8489,1.1305945869178308e-31,110
SLC39A14,0.8489,1.1291827517866872e-31,110
APOBEC3G,0.8488,1.1704808685074002e-31,110
PLAAT3,0.8486,1.2380246266383235e-31,110
C1orf210,0.8484,5.5208325938034835e-28,97
DOCK9,0.8482,1.4230138597566138e-31,110
MAPRE2,0.8479,1.570148585915053e-31,110
PPP1R9A,0.8478,1.5977980258474184e-31,110
FILIP1,0.8477,1.6632637718273146e-31,110
GRAMD4,0.8477,1.6639286956561695e-31,110
PBLD,0.8471,2.019078353386607e-31,110
CLIC6,0.8466,2.336033566159777e-31,110
PTER,0.8466,2.3858910417700747e-31,110
GIMAP7,0.8463,2.6187581136133547e-31,110
KCNIP3,0.8462,0.00026601205575225306,13
LCP2,0.8461,2.7876570620359876e-31,110
SLC9A9,0.8458,3.0990012506619883e-31,110
GALNT2,0.8455,3.4011760743213895e-31,110
APBB2,0.8455,3.388699104694465e-31,110
NOL3,0.8454,3.5142259377437265e-31,110
KIF5C,0.8453,4.931929718014232e-24,84
PRKG1,0.845,3.911607106316572e-31,110
CD44,0.8448,4.206610475122127e-31,110
PLS1,0.8443,4.923945647268768e-31,110
OCLN,0.8443,4.916242337755873e-31,110
CD74,0.8441,5.259000352101235e-31,110
MXRA7,0.8441,1.6298132456036794e-16,57
HAPLN1,0.844,5.505255584510808e-31,110
BICD1,0.8433,6.8484635834418095e-31,110
REM1,0.8431,2.132810024519339e-05,17
DPYSL2,0.8431,7.3135205358835985e-31,110
ALDH8A1,0.8429,7.641517597361927e-31,110
CD34,0.8428,7.996715916570422e-31,110
IL33,0.8423,1.3541183773314362e-28,102
EZR,0.8423,9.28186264080657e-31,110
SMOC2,0.8423,1.3450018531638393e-28,102
UBE2L6,0.8422,9.651611040013677e-31,110
GPNMB,0.8422,9.68042445382891e-31,110
EMCN,0.8422,2.5708919498526668e-28,101
NHSL2,0.8422,9.572806500782068e-31,110
TMEM88,0.8419,3.067196977005845e-21,75
PLCL1,0.8419,1.0553470585291063e-30,110
RCN3,0.8418,1.0797129937926131e-30,110
RASAL3,0.8418,1.0931167948279437e-30,110
RFTN1,0.8417,1.1165089033842918e-30,110
TPD52L1,0.8417,1.1202446918171853e-30,110
OLFML2A,0.8416,1.2947709751087866e-26,95
WAS,0.8415,1.2034161985531014e-30,110
ZNF521,0.8415,1.5801068431793759e-12,43
CLEC14A,0.8413,1.2847795743245463e-30,110
PROSER2,0.8411,1.3772104601906364e-30,110
PRKCB,0.841,1.409763397916753e-30,110
DTNA,0.8399,2.29167390439122e-29,106
PDE2A,0.8398,2.0514312295812547e-30,110
CDH11,0.8397,2.104303362597394e-30,110
MX1,0.8396,2.1595173757003223e-30,110
SASH3,0.8395,2.2039307617627966e-30,110
MTCL1,0.8391,2.534797902374119e-30,110
SEPTIN4,0.8391,2.525064894562617e-30,110
NCF1,0.8385,3.022873390490026e-30,110
PLCB2,0.8384,3.0955970355386787e-30,110
FABP4,0.8381,3.397605779291478e-30,110
KRT19,0.838,3.5783837782163606e-30,110
HLA-G,0.8379,6.034601844421606e-14,49
NBEA,0.8376,4.0238717455543484e-30,110
HKDC1,0.8374,4.2762187868205234e-30,110
LPAR1,0.8372,7.80529941366831e-06,19
PAPSS2,0.837,4.779305706626416e-30,110
ITGB3,0.837,5.403661369213008e-29,106
CPNE2,0.8368,5.0791338807603384e-30,110
GSDME,0.8366,5.3995166364950555e-30,110
FKBP11,0.8366,5.478072041234788e-30,110
VWA1,0.8364,5.676046373356601e-30,110
NDRG1,0.8364,5.661728298814078e-30,110
SH2D1A,0.8362,7.667921044356203e-28,102
SYTL4,0.8362,6.048663433793243e-30,110
CDK6,0.8359,6.6419383369179e-30,110
HK3,0.8356,7.222626981315386e-30,110
GPX4,0.8355,7.468336262631843e-30,110
SEPTIN6,0.8353,7.930699990742491e-30,110
MPI,0.8352,8.132267848519029e-30,110
GSTM1,0.8351,8.433348179627894e-30,110
CYB5R2,0.8348,9.1376362258226e-30,110
PEG10,0.8347,9.657049078982616e-30,110
TUBB4A,0.8344,1.0342209760990433e-29,110
S100A11,0.8344,1.0338618342899464e-29,110
IRF6,0.8343,1.084941099074679e-29,110
ENTPD5,0.8338,1.2455798190880207e-29,110
IQGAP2,0.8334,1.3939437806133381e-29,110
PTGIS,0.8333,1.454549861076623e-29,110
LPCAT1,0.8333,1.4498722150041087e-29,110
RALGAPA1,0.8333,1.4270181275253255e-29,110
