gene,tumor_r,normal_r,delta_r
TCAIM,0.4122,-0.1094,0.5216000000000001
SCML4,0.3362,-0.103,0.4392
FEM1C,0.3845,-0.0412,0.4257
CENPL,0.6112,0.188,0.42319999999999997
CENPA,0.5191,0.1,0.41910000000000003
UNC13B,0.0604,-0.3455,0.4059
ITIH6,0.2313,-0.1385,0.3698
RASL12,0.2033,-0.1636,0.3669
MN1,0.1239,-0.2412,0.3651
MIPOL1,0.0462,-0.3177,0.3639
RERG,0.4774,0.125,0.3524
CD19,0.7547,0.4061,0.3486
ATP13A2,0.241,-0.1031,0.34409999999999996
RGS18,0.2528,-0.0909,0.3437
UBASH3A,0.5159,0.1737,0.34220000000000006
C19orf54,-0.1144,-0.4561,0.3417
MBD6,0.3891,0.0629,0.3262
SLC12A8,0.497,0.1736,0.3234
TLR1,0.3873,0.0727,0.3146
ESPL1,0.3807,0.0666,0.3141
MT-ND3,0.2684,-0.042,0.3104
GCAT,0.2321,-0.0772,0.3093
ALDOB,-0.2614,-0.5636,0.30219999999999997
FOSB,0.3197,0.0198,0.2999
ZDHHC8,0.3982,0.1,0.2982
ZNF845,0.4576,0.1646,0.29300000000000004
KIF18A,0.7461,0.4545,0.29159999999999997
B3GNT7,0.3029,0.0158,0.2871
SKA2,0.0705,-0.2159,0.2864
ASGR2,0.1165,-0.1692,0.2857
ARHGAP42,-0.2508,-0.5364,0.28559999999999997
ZNF467,0.1868,-0.0965,0.2833
ABHD2,-0.0147,-0.2973,0.2826
SKI,0.0318,-0.2499,0.2817
B3GALNT1,0.2745,-0.0061,0.2806
ZCCHC14,-0.1736,-0.4505,0.27690000000000003
RNPEPL1,0.3619,0.0931,0.2688
MSANTD3,0.0638,-0.2044,0.2682
ILF2,0.1744,-0.0925,0.2669
ANKS3,0.0889,-0.1767,0.2656
RBM26,0.0323,-0.2324,0.2647
SFTPB,0.1848,-0.079,0.2638
ENOX2,0.4448,0.1846,0.2602
DKK1,0.3024,0.0424,0.26
INIP,0.1553,-0.1047,0.26
PNN,0.2597,0.0044,0.25529999999999997
TTC31,0.169,-0.0855,0.2545
