gene,spearman_r,p_value,n_samples
POF1B,0.9584,1.1953636089359874e-37,68
FABP5,0.9577,2.046562694724672e-37,68
STAT1,0.9483,1.3382927331212818e-34,68
GBP4,0.9463,4.462238540174735e-34,68
FAM83A,0.945,9.448852447792043e-34,68
CALML3,0.9446,1.1738937324313024e-33,68
SERPINB3,0.9446,1.1814965569848042e-33,68
KRT16,0.9434,2.4425825083675984e-33,68
NDUFA4L2,0.9432,2.750617401100685e-33,68
MX1,0.943,3.047563609176983e-33,68
SPRR4,0.9426,3.6746099864467746e-33,68
IFIT3,0.9412,8.02787509729744e-33,68
CLDN1,0.9406,2.0410177716668497e-28,59
OAS2,0.9404,1.2334345058812716e-32,68
SDR16C5,0.9404,1.2506656248636732e-32,68
FBXO2,0.94,1.5587796764272808e-32,68
GSDMC,0.9387,3.0363958475003143e-32,68
PPFIA1,0.9386,3.221552660433483e-32,68
ASPHD2,0.9381,2.135240293365196e-06,13
RBP1,0.938,4.464352794744321e-32,68
MAP1B,0.938,4.443767592599961e-32,68
ACKR3,0.9379,1.1918226169246464e-10,22
DDX60,0.934,3.294376709869175e-31,68
HERC6,0.9335,4.128882509835091e-31,68
KANK1,0.9331,5.141293642393763e-31,68
KRT6B,0.933,5.351284147975198e-31,68
COL17A1,0.9319,8.793797258297291e-31,68
ANO1,0.9318,9.530260615890636e-31,68
DSG3,0.9312,1.2611680136419506e-30,68
DSC2,0.931,1.384117174644424e-30,68
F3,0.9308,1.503505949112848e-30,68
KRT14,0.9302,1.9381890519390707e-30,68
PLS1,0.9299,2.2562185617106948e-30,68
CSPG4,0.9299,2.2617116936735854e-30,68
TFRC,0.9297,2.4848586749276845e-30,68
HEPHL1,0.9296,2.528213881125706e-30,68
STON2,0.9295,2.7562025366215016e-30,68
GBP5,0.9285,4.25988365913557e-30,68
S100A2,0.9284,4.44470709497147e-30,68
DDX58,0.928,5.264663646362107e-30,68
GSDME,0.9266,9.579820295644121e-30,68
LAX1,0.9262,3.02264069150586e-14,32
CA12,0.9256,1.512015793223343e-29,68
KRT75,0.9254,1.6179808441993288e-29,68
SERPINB4,0.925,1.9414538770958143e-29,68
KRT17,0.9249,2.0227652815932757e-29,68
ITGB6,0.9237,3.355041500374153e-29,68
GSTM3,0.9233,3.9601570130186776e-29,68
PYGO1,0.9231,1.8621951098680993e-05,12
IVL,0.9228,4.842653029112377e-29,68
ERAP2,0.922,6.591185962845026e-29,68
OAS3,0.921,9.876708260615684e-29,68
FAM83B,0.9204,1.2642352871028208e-28,68
CLCA2,0.9199,1.5316682454761966e-28,68
DCLK1,0.9195,1.8331890171615288e-28,68
MAP1A,0.9185,2.7063004569455637e-28,68
PLA2G4A,0.9185,2.6557428268777443e-28,68
KRT19,0.9179,3.4421113954043315e-28,68
P3H2,0.9178,3.5049680362132454e-28,68
AFAP1L2,0.9178,3.547068168434467e-28,68
TGM1,0.9177,3.660822971862238e-28,68
DSG1,0.9174,4.116505103317842e-28,68
AKR1B10,0.9164,6.032096304139131e-28,68
MEAK7,0.916,7.1560149620975e-28,68
CYP27C1,0.9159,2.8700783169906228e-24,59
PI3,0.9154,8.797202669698633e-28,68
OASL,0.915,1.0374499183370536e-27,68
CERS3,0.9148,1.1136787193606971e-27,68
PTPN13,0.9145,1.2412557459270651e-27,68
KLK7,0.9144,1.2755050757209849e-27,68
IDO1,0.914,1.4802832127581483e-27,68
GJA1,0.9138,1.5877321012298712e-27,68
PLEK2,0.9134,1.8315255000690134e-27,68
STEAP4,0.9129,2.2542338498163916e-27,68
XAF1,0.9129,2.196647832682267e-27,68
EGFR,0.9128,2.2811788760797324e-27,68
CRYBG1,0.9127,2.386703511431483e-27,68
DHCR7,0.912,3.1168729424999396e-27,68
FAM83C,0.9119,3.1952961717292238e-27,68
A2ML1,0.9117,3.451194333933792e-27,68
GBP1,0.9108,4.689505593696419e-27,68
EPCAM,0.9107,4.8475258284239396e-27,68
MYH14,0.9107,4.8475258284239396e-27,68
MMP13,0.9097,2.4308494093764924e-25,64
RAB11FIP1,0.9095,7.522877443960424e-27,68
DMKN,0.9092,8.245468218108943e-27,68
SYTL5,0.9091,4.191044653034231e-05,12
CMPK2,0.909,8.72016143455113e-27,68
ABCA12,0.9089,9.265622397013914e-27,68
HSPA2,0.9089,9.138572544267261e-27,68
SLC7A11,0.9088,1.5105585535177028e-17,44
RHOD,0.9085,1.4765568491835672e-25,65
ITGA6,0.9083,1.1093930983644328e-26,68
KLK6,0.9082,1.1573499387042862e-26,68
NUP210,0.9081,1.2044491996473358e-26,68
ANXA8,0.9078,1.3120253092033526e-26,68
MX2,0.9077,1.3732965545512773e-26,68
SPRR2D,0.9075,3.5487632141158306e-26,67
CLIC6,0.9075,1.463886609942825e-26,68
KLK8,0.9075,1.4743194975375147e-26,68
TENM2,0.9074,1.5239093433876015e-26,68
HSPA4L,0.9074,1.552940353263088e-26,68
EPS8L1,0.9071,1.6964188591146753e-26,68
CASP10,0.9068,1.9043628133703055e-26,68
CGN,0.9068,1.8921280094611468e-26,68
TDRP,0.9066,6.499098809090831e-25,64
PIR,0.9064,2.1707474767513637e-26,68
PPP1R14C,0.9055,2.9441203734120833e-26,68
IFIT2,0.9055,2.8520402600191605e-26,68
PKP3,0.9055,2.9254774313546146e-26,68
EHHADH,0.9053,3.09745491756598e-26,68
SCEL,0.9049,3.590614610342025e-26,68
SAMD9,0.9046,3.88836527764462e-26,68
A4GALT,0.9043,9.00384623696874e-06,14
IGF2BP3,0.9041,4.600741902814296e-26,68
ERO1A,0.904,4.7823781038970445e-26,68
KRT6C,0.9037,5.260097663172379e-26,68
DSC3,0.9033,6.058613604374021e-26,68
SFN,0.903,6.525980659844446e-26,68
S100A7,0.903,6.677353550754787e-26,68
LCE3E,0.903,1.8253506449790296e-21,56
GPNMB,0.9025,7.651993716002436e-26,68
CASP4,0.9022,8.504202209728122e-26,68
DSP,0.9018,9.723263043272717e-26,68
PSAT1,0.9012,1.167020166626349e-25,68
TANC2,0.9011,1.2257286976720003e-25,68
WARS1,0.9008,1.3243939576675044e-25,68
IFIH1,0.9005,1.464242891968256e-25,68
CORO2A,0.9,1.7116042140083612e-25,68
PRXL2A,0.9,1.7182776616213034e-25,68
NDRG1,0.8996,1.9625317217758244e-25,68
GJB6,0.8992,2.6598473978262514e-24,65
