gene,spearman_r,p_value,n_samples
BAIAP2L2,0.9818,8.403066433955256e-08,11
CALML3,0.9504,4.2259377270568805e-56,109
GBP5,0.95,6.69028013224286e-56,109
MX1,0.9496,9.628305137805036e-56,109
GBP4,0.9451,8.714769759729503e-54,109
STAT1,0.9448,1.1026340924733869e-53,109
IFIT3,0.9446,1.3641007137614667e-53,109
HERC6,0.9444,1.655267579617989e-53,109
POF1B,0.9434,4.2916203606727395e-53,109
DDX58,0.9413,2.8411938892224213e-52,109
DDX60,0.9408,4.480823651481919e-52,109
OASL,0.9383,3.6047349776493755e-51,109
FABP5,0.938,4.795897790195305e-51,109
NDUFA4L2,0.937,1.0958047962728012e-50,109
GBP1,0.9366,1.5747319382439287e-50,109
ZNF711,0.9364,2.2082076449177507e-05,11
PLS1,0.9356,3.485160595745545e-50,109
SDR16C5,0.9352,4.876192581888973e-50,109
COL17A1,0.935,5.399842282214887e-50,109
IGF2BP3,0.9345,8.429049632067215e-50,109
STON2,0.9335,1.7524305595597786e-49,109
DSG1,0.932,5.690592395155684e-49,109
SAMD9,0.9319,6.345121343211417e-49,109
CRYBG1,0.9318,6.526014436675699e-49,109
OAS2,0.9299,2.7142439822643648e-48,109
GSDMC,0.9298,2.856774262391194e-48,109
PPFIA1,0.9295,3.624940604300333e-48,109
IVL,0.9282,9.27118431493562e-48,109
DSG3,0.9282,9.704201724177847e-48,109
SERPINB3,0.9279,1.2074467246157323e-47,109
PTPN13,0.9278,1.2850919715771964e-47,109
RBP1,0.9265,3.2464702934659775e-47,109
CSPG4,0.9264,3.417395276085645e-47,109
KRT16,0.9264,3.4203260796439385e-47,109
AKR1B10,0.9264,3.436598108048335e-47,109
HEPHL1,0.9259,4.94246721753911e-47,109
AFAP1L2,0.9252,7.967134293269831e-47,109
PLA2G4A,0.9245,1.2850064533270261e-46,109
ANO1,0.9241,1.6617237319082505e-46,109
PYGO1,0.924,1.1844905443995688e-07,17
KRT75,0.9233,2.7778159261290627e-46,109
ERAP2,0.9232,2.975057857068484e-46,109
MAP1A,0.9223,5.589404054791976e-46,109
SPRR4,0.922,6.711107076630911e-46,109
DSC2,0.9218,7.486669113630116e-46,109
IFIH1,0.9212,1.103163471869452e-45,109
FAM83A,0.9208,1.5173283483542753e-45,109
SPRR2D,0.9205,1.1521414642769195e-44,107
GSDME,0.9203,2.020572364982058e-45,109
SERPINB4,0.92,2.5167308807233135e-45,109
CLDN1,0.9194,7.672962152685697e-38,91
F3,0.919,4.793145674617687e-45,109
IDO1,0.9189,4.95388741668499e-45,109
KANK1,0.9187,5.653153244354779e-45,109
FBXO2,0.918,9.0267162395038e-45,109
PLEK2,0.9171,1.5104629354190176e-44,109
P3H2,0.917,1.6104702659080448e-44,109
TGM1,0.9169,1.770321867094551e-44,109
FAM83B,0.9167,2.0012519132022004e-44,109
TFRC,0.9164,2.4140913598879063e-44,109
MYH14,0.9157,3.5313474491781694e-44,109
SFN,0.9155,4.198765087045466e-44,109
DCLK1,0.9154,4.228256384289807e-44,109
KRT6B,0.9147,6.721983342438847e-44,109
IFIT2,0.9142,8.701450126635039e-44,109
A2ML1,0.914,9.866611259204242e-44,109
MAP1B,0.9139,1.0425304624018675e-43,109
S100A2,0.9134,1.4685203961655727e-43,109
CRYBG2,0.9128,2.0594875798497646e-43,109
OAS3,0.9126,2.3357334045311724e-43,109
CLCA2,0.9124,2.584358545159658e-43,109
RGS20,0.9121,1.3975552674444556e-05,13
IL36G,0.912,3.17923718823281e-43,109
MEAK7,0.912,3.333671893592574e-43,109
RAB38,0.9118,3.59198844195837e-43,109
PI3,0.911,5.992354337642201e-43,109
PKP3,0.9109,6.0959217865067475e-43,109
CMPK2,0.9109,6.2344560062782025e-43,109
C1orf116,0.9102,9.102662884428241e-43,109
SDCBP2,0.9095,1.3648198597808508e-42,109
BICD2,0.9092,1.6387455567535514e-42,109
SCEL,0.9083,2.7571870112760323e-42,109
RAB11FIP1,0.9082,2.7819318948047724e-42,109
SLC7A11,0.9077,1.0050505769294051e-27,71
GJA1,0.9077,3.751850551455893e-42,109
GZMA,0.9076,4.0323443186477394e-42,109
PIR,0.9074,4.4156293979600624e-42,109
EPCAM,0.9071,5.197670541680993e-42,109
GSTM3,0.9069,5.787093608044106e-42,109
CA12,0.9069,5.855631514135623e-42,109
CORO2A,0.9068,6.138895364240316e-42,109
PLA2G4E,0.9065,3.202066412626514e-36,94
KRT14,0.9063,8.17358034141988e-42,109
HSPA4L,0.9057,1.1115096186249734e-41,109
ITGB6,0.9055,1.2203934273133443e-41,109
KRT6C,0.9054,1.281698328351462e-41,109
IFIT1,0.9051,1.5280492717952822e-41,109
SPRR2A,0.9045,2.1172463924279948e-41,109
CSTA,0.9045,2.0965515796400345e-41,109
CTSV,0.9044,2.2395325313124928e-41,109
ITGA6,0.9042,2.4921620603870545e-41,109
EGFR,0.9041,2.6035643840472487e-41,109
CASP4,0.904,2.7001332918354353e-41,109
LAX1,0.9039,2.496801544119154e-19,50
S100A7,0.9031,4.3791637973290904e-41,109
GPX2,0.903,4.814020608540277e-41,109
LRRC15,0.9022,7.063293791867965e-41,109
CPA4,0.902,7.905628349587374e-41,109
PRXL2A,0.9017,9.33924995075588e-41,109
MX2,0.9015,1.0163068622053759e-40,109
DSC3,0.9015,1.0055439577607405e-40,109
HSPA2,0.9014,1.0854813427389836e-40,109
EPS8L1,0.9014,1.1011474812296207e-40,109
ISG15,0.9013,1.1147833072278782e-40,109
SULF1,0.9012,1.2167350965005682e-40,109
MYO1E,0.9011,1.253363993208138e-40,109
CLIC6,0.9011,1.284335747379574e-40,109
MTAP,0.9007,1.5470909653438136e-40,109
SPRR1A,0.9005,1.7347823064332136e-40,109
NUP210,0.9004,1.8373494763021086e-40,109
GSPT2,0.9004,1.8243717603018788e-40,109
KLK7,0.9003,1.864242525468668e-40,109
KRT5,0.9003,1.9146488636021915e-40,109
IMPA2,0.8998,2.3927570652713887e-40,109
GSDMA,0.8996,2.7625300723594237e-40,109
SLC6A11,0.8995,1.2469233827274212e-08,22
NDRG1,0.8994,3.0400205393158025e-40,109
ANXA8,0.8994,3.0336346803712775e-40,109
SLC12A6,0.8987,4.301634986866355e-40,109
COL3A1,0.8981,5.710195087249205e-40,109
GBP2,0.8978,6.5276391819706666e-40,109
KRT17,0.8976,7.365211774595155e-40,109
NCAM1,0.897,9.832150332507857e-40,109
VSNL1,0.8969,1.0476102745006303e-39,109
PDLIM3,0.8968,1.0773230024650124e-39,109
FDFT1,0.8965,1.2872025857209213e-39,109
KRT23,0.8965,1.2768712473733761e-39,109
SDR9C7,0.8958,1.7528994626090578e-39,109
S100A14,0.8958,1.7886905466680238e-39,109
HSPB8,0.8957,1.835544882289491e-39,109
DSP,0.8955,2.0730641181291404e-39,109
DMKN,0.8952,2.3884180623654878e-39,109
IRF4,0.8951,2.5403384699618684e-39,109
CYP27C1,0.8949,6.105050064198229e-33,91
KRT19,0.8949,2.7497689032201714e-39,109
WDFY4,0.8946,3.197465242639115e-39,109
SH2D4A,0.8943,3.6551779666964474e-39,109
ACKR3,0.894,2.1075414648463076e-13,36
HMGCS1,0.8937,4.852467673685283e-39,109
ZAP70,0.8935,5.334944984867594e-39,109
KLK5,0.8932,1.058494778878142e-26,74
APOBEC3G,0.8931,6.474810520514187e-39,109
PKDCC,0.8929,0.00021517143044230897,11
TDRD7,0.8928,7.483171301034631e-39,109
FAM83G,0.8921,1.0518215615593131e-38,109
AOX1,0.8918,1.1890466024433586e-38,109
SERPINB5,0.8917,1.2798255925967093e-38,109
CGN,0.8914,1.412490159255542e-38,109
MMP13,0.8914,7.752610829501484e-37,104
FBLIM1,0.8901,2.648822526079334e-38,109
TENM2,0.8901,2.658882767213715e-38,109
SPRR5,0.8901,8.288827476176643e-33,93
FAM83C,0.89,2.74062346596128e-38,109
KYNU,0.8899,2.918365613982927e-38,109
AIF1L,0.8898,3.0928296439307993e-38,109
DNAJB2,0.8895,3.4949628261334134e-38,109
CALML5,0.8892,3.922312356035279e-38,109
PPP1R14C,0.8886,5.254574540307412e-38,109
CERS3,0.8885,5.536198674642203e-38,109
UPP1,0.8883,6.013076760705951e-38,109
UBE2L6,0.8883,5.913214914674074e-38,109
FAT1,0.8881,6.581812757090641e-38,109
MME,0.888,6.862497826272175e-38,109
ITPRID2,0.8877,8.021602537986107e-38,109
WARS1,0.887,1.0970404624508255e-37,109
PSMB9,0.8868,1.1738818168548751e-37,109
PDPN,0.8865,3.073173628224054e-12,34
STEAP4,0.8863,1.4442447710559269e-37,109
ABCA12,0.8863,1.4921458976918943e-37,109
SERPINB2,0.8859,1.7263341875693932e-37,109
PC,0.8859,1.731083121886331e-37,109
PSAT1,0.8857,1.9467751287823375e-37,109
AHNAK2,0.8851,2.4384485038699137e-37,109
IFI35,0.8851,2.46334673786337e-37,109
KRTDAP,0.8846,3.1617723191703897e-37,109
TRIM2,0.8844,3.375333249653459e-37,109
CXADR,0.8843,3.454966356921924e-37,109
ESRP2,0.8841,3.896294895561015e-37,109
CA9,0.8837,4.483366274474519e-37,109
MAGEA4,0.8834,5.205848406730104e-37,109
GCLC,0.8832,5.599860723535658e-37,109
MISP,0.8832,5.717798403697813e-37,109
ARHGAP5,0.8831,5.936821551360768e-37,109
CASP10,0.8831,5.992891833468597e-37,109
GNAI1,0.883,6.111330439837892e-37,109
NCAPH,0.883,6.157367377677425e-37,109
RNF213,0.8829,6.480736815962376e-37,109
ASPRV1,0.8827,6.983857771921565e-37,109
FXR1,0.8826,7.4480973017845094e-37,109
EPS8,0.8822,8.865418583403941e-37,109
UBA7,0.8819,1.0056147155113124e-36,109
PLD1,0.8817,1.0713197204011653e-36,109
GZMH,0.8809,5.034870339535584e-29,86
PYGL,0.8807,1.673890524269068e-36,109
KLK6,0.8805,1.797809356945525e-36,109
LCE3E,0.8802,3.297162463838397e-31,93
APOL2,0.8802,2.0483385683111513e-36,109
EIF4G2,0.8801,2.1603878494164128e-36,109
LAMC2,0.88,2.199645211207614e-36,109
STAT2,0.88,2.2044247213608312e-36,109
RHOD,0.8794,1.197443605710082e-34,104
RIPK3,0.8793,2.946934548280338e-36,109
FERMT1,0.8793,3.0149148230161853e-36,109
ICOS,0.8793,3.3110907270305426e-07,20
DMRTA2,0.8792,0.00016510370069031154,12
PLCB3,0.8789,3.553875108825645e-36,109
SLC16A1,0.8787,3.8516686702051964e-36,109
PHGDH,0.8785,4.050792390309746e-36,109
GJB2,0.8781,4.803492498501931e-36,109
TDRP,0.8779,1.0369143919265102e-34,105
CAPNS2,0.8778,5.4989859946964386e-36,109
PARP9,0.8776,5.9591661339395744e-36,109
XAF1,0.8773,6.833205300951194e-36,109
PARP14,0.8773,6.840470215339396e-36,109
GSTA4,0.8772,6.939994336197974e-36,109
DES,0.8772,7.135721930815995e-36,109
STAP2,0.8771,7.416346536654037e-36,109
CTTN,0.8767,8.473951739243702e-36,109
CRABP2,0.8763,1.030051663725373e-35,109
ENAH,0.8763,1.027255270645746e-35,109
DHRS9,0.8759,9.757031137143393e-34,103
TTC39B,0.8757,1.2881160057690588e-35,109
BST2,0.8755,1.3899004169167864e-35,109
SBSN,0.8751,3.439717769748914e-35,108
DDX3Y,0.875,1.7322377327680078e-35,109
NCCRP1,0.875,1.743119610154219e-35,109
MOXD1,0.8749,1.7821497900513998e-35,109
FSCN1,0.8749,1.7763754794753324e-35,109
NECTIN4,0.8746,1.9829174209694523e-35,109
SULT2B1,0.8743,2.227737274293361e-35,109
OCLN,0.8742,8.845152791964655e-34,104
IGF2BP2,0.8742,2.3702914398923655e-35,109
SFRP2,0.8741,2.412169511550232e-35,109
ANXA1,0.874,2.5424111388961786e-35,109
GLTP,0.8738,2.710532071883296e-35,109
NDRG4,0.8732,3.4763217260076576e-35,109
USP18,0.8729,1.5348394070967228e-28,88
FYB1,0.8727,4.317543088058015e-35,109
SFRP4,0.8726,4.405251342422757e-35,109
LY6E,0.8725,4.5560307427379955e-35,109
GPRC5A,0.8722,1.9214371461715272e-33,104
APOL3,0.8719,5.785139303901517e-35,109
PTGIS,0.8718,5.972316970457103e-35,109
ITGAL,0.8718,6.007560148920983e-35,109
CASQ2,0.8716,6.66586211315814e-35,109
SLC38A5,0.8711,1.0939400119336657e-22,70
LCE3D,0.8704,2.165053695811937e-34,108
ME1,0.8704,1.0231430547150789e-34,109
