gene,tumor_r,normal_r,delta_r
KLHL40,-0.0845,-0.4804,0.3959
MUC6,0.2714,-0.049,0.32039999999999996
ZNF423,0.076,-0.2437,0.3197
E2F5,-0.0797,-0.3705,0.2908
SYPL2,0.1036,-0.1678,0.2714
COX6A2,0.1829,-0.0707,0.2536
RASGEF1B,0.5107,0.2692,0.24150000000000005
FAM214B,-0.0714,-0.2879,0.21649999999999997
PTGER4,0.2075,0.0118,0.19569999999999999
MYPN,-0.0965,-0.2802,0.1837
GTF2H2,0.2639,0.0932,0.17070000000000002
TEAD2,0.1496,-0.0186,0.16820000000000002
PRSS12,0.4893,0.3297,0.15960000000000002
GAPDHS,0.1395,-0.0195,0.159
SMPX,-0.2221,-0.3809,0.15880000000000002
ICAM4,-0.0932,-0.2421,0.1489
ADPRHL1,0.1384,-0.0093,0.1477
FBXO44,-0.0286,-0.1758,0.1472
APCDD1,0.12,-0.0265,0.1465
BHLHE41,0.3679,0.222,0.1459
SLC18A2,0.33,0.1914,0.13860000000000003
MTHFD2L,0.1619,0.0238,0.1381
ERC2,-0.0714,-0.2088,0.13740000000000002
CAPN6,0.4631,0.3281,0.135
SHH,0.0464,-0.0879,0.1343
DNAJC27,0.0783,-0.0552,0.1335
TCF7,0.4183,0.2896,0.12869999999999998
SPATA7,0.1823,0.055,0.1273
PDLIM3,0.1576,0.0304,0.12719999999999998
RNF19B,0.0569,-0.0699,0.1268
EPN1,0.1287,0.0028,0.1259
STAC3,0.0348,-0.0901,0.1249
TRIM72,0.3324,0.2076,0.12479999999999997
SRL,0.2452,0.1207,0.1245
KRT79,0.3569,0.2339,0.123
NOBOX,0.5439,0.4226,0.12130000000000007
SNN,0.3786,0.2582,0.12040000000000001
C6orf136,-0.1857,-0.3055,0.11979999999999999
SNRPB,0.0978,-0.0217,0.1195
ZKSCAN3,0.3514,0.2343,0.11709999999999998
CADM2,0.1321,0.0165,0.1156
ENPP5,0.2922,0.1801,0.1121
SLC29A2,0.4917,0.3808,0.1109
SLITRK4,0.1219,0.0114,0.11049999999999999
PBX3,0.0751,-0.0351,0.11019999999999999
PABPC1L,-0.3235,-0.4336,0.11009999999999998
CPT1C,0.2063,0.0966,0.1097
MEIS2,0.6461,0.5369,0.10919999999999996
MYBPH,0.003,-0.106,0.109
TNFRSF10B,0.6208,0.5128,0.10799999999999998
URI1,0.4105,0.3033,0.10719999999999996
RANBP17,0.3073,0.2006,0.10670000000000002
FAM124A,0.0722,-0.0343,0.1065
ZBTB44,0.126,0.0203,0.1057
DOLK,0.2996,0.1947,0.10489999999999997
CREB3L2,0.2106,0.1074,0.10320000000000001
CLCN3,0.3393,0.2363,0.10299999999999998
