gene,spearman_r,p_value,n_samples
MAP1B,0.9641,2.1955120215891467e-59,102
CALML3,0.9625,1.8536169946016808e-58,102
GCLC,0.9613,8.773026658709138e-58,102
GBP6,0.9596,7.4022666819107e-57,102
DDX3Y,0.9577,6.508653407889366e-56,102
IGF2BP2,0.9561,3.999196748902369e-55,102
AFAP1L2,0.9554,9.290110120974841e-55,102
COL17A1,0.9533,8.657178316715064e-54,102
PCP4L1,0.9532,9.353328115112242e-54,102
ADAM23,0.9518,4.16913722029878e-36,69
PTPRZ1,0.9496,3.576332905411687e-52,102
FGFBP1,0.9478,1.9665443296761922e-51,102
IFIT3,0.9466,5.817596815661813e-51,102
UCHL1,0.9463,7.46833337078297e-51,102
NRCAM,0.9461,8.809801116096978e-51,102
CA12,0.945,2.3767708192836854e-50,102
CBR1,0.9446,3.5826938456142577e-50,102
PCDH7,0.9446,3.464177109546274e-50,102
PPP1R14C,0.9432,1.1499531452042286e-49,102
KIAA1324,0.9429,1.5295403015662195e-49,102
S100A2,0.9429,1.5627916331395415e-49,102
G6PD,0.9412,6.298147704240972e-49,102
PKP1,0.9412,6.107321446031286e-49,102
OAS2,0.941,7.414062957550496e-49,102
RAB6B,0.9409,7.982137449632982e-49,102
EIF1AY,0.9405,1.1356660695733313e-48,102
PLA2G4A,0.9401,1.5096395789102322e-48,102
PIR,0.9398,1.9111423500430896e-48,102
BATF2,0.9394,5.4840529985136686e-05,10
CLCA2,0.939,3.6209879259574866e-48,102
GSTA4,0.939,3.774653431118344e-48,102
NGFR,0.9368,2.08129694229081e-47,102
RBP1,0.9366,2.3746332721063023e-47,102
PCYT1B,0.9356,7.978250208068493e-34,73
SLC20A2,0.9352,6.839904240819662e-47,102
DOCK10,0.9348,9.452917496068035e-47,102
AKT3,0.9347,1.0106563141690177e-46,102
VLDLR,0.9347,1.0477587568596226e-46,102
A2ML1,0.9345,1.1603258307291986e-46,102
NTRK2,0.9344,1.2764733807241592e-46,102
NDUFA4L2,0.9344,1.2943476427838408e-46,102
BCAS1,0.9341,1.5465929362308338e-46,102
ALDH7A1,0.934,1.6808330283734005e-46,102
LIG3,0.9338,1.9400619795976584e-46,102
VSNL1,0.9337,2.1646023757764574e-46,102
