gene,spearman_r,p_value,n_samples
NPTX2,0.9879,9.307459988955516e-08,10
FGFBP3,0.9758,1.467546187404219e-06,10
MAP1B,0.9646,2.4270035117707187e-64,110
RCAN2,0.9636,7.3209748095299185e-06,10
GCLC,0.9623,6.640928587463721e-63,110
GBP6,0.9614,2.456780093961637e-62,110
DDX3Y,0.9601,1.3616614780780056e-61,110
CALML3,0.9599,1.7650639133184367e-61,110
AFAP1L2,0.9541,2.271953523735744e-58,110
PTPRZ1,0.954,2.6204336045078793e-58,110
IGF2BP2,0.9531,7.203653279148587e-58,110
COL17A1,0.9517,3.491755309854043e-57,110
DPEP3,0.9515,2.279854920641689e-05,10
ADAM23,0.9514,4.3688914484051285e-39,75
PCP4L1,0.9498,2.5169895899146297e-56,110
IFIT3,0.9497,2.8052749718741404e-56,110
UCHL1,0.9489,6.337707008354791e-56,110
S100A2,0.9468,5.2932036663390976e-55,110
CA12,0.9466,6.256656650477633e-55,110
FGFBP1,0.9461,1.0957758126956489e-54,110
CLCA2,0.9454,2.0104906535386893e-54,110
PPP1R14C,0.9451,2.8923257020391007e-54,110
NRCAM,0.9447,4.077339001121853e-54,110
PCDH7,0.9433,1.4889230879274618e-53,110
PIR,0.9424,3.3685007075399005e-53,110
OAS2,0.9423,3.754066307590696e-53,110
PKP1,0.9418,6.224741693641412e-53,110
KIAA1324,0.9405,1.9687803603090263e-52,110
CBR1,0.9404,2.1100236612823303e-52,110
DOCK10,0.94,3.0086980985192073e-52,110
EIF1AY,0.9395,4.5796624249728105e-52,110
BATF2,0.9394,5.4840529985136686e-05,10
SLC20A2,0.9392,6.193235903448896e-52,110
IFIH1,0.939,7.292645152081167e-52,110
PLA2G4A,0.9384,1.146622689310993e-51,110
A2ML1,0.9375,2.4779000262215482e-51,110
VSNL1,0.9372,3.1099403849441325e-51,110
GSTA4,0.9369,4.2847268873662754e-51,110
PCYT1B,0.9366,2.8212424170333684e-37,80
DOCK2,0.9364,6.227030667523331e-51,110
NDUFA4L2,0.9364,6.109765932339348e-51,110
DOCK8,0.9361,8.251067622733577e-51,110
IGF2BP3,0.9358,1.0642596001963753e-50,110
RBP1,0.9357,1.1159514468069545e-50,110
RAB3B,0.935,3.6887580319503756e-48,105
LIG3,0.9346,2.77393206163382e-50,110
OAS3,0.9345,2.9595762855622375e-50,110
ALDH7A1,0.9345,2.9888457818165443e-50,110
NGFR,0.9344,3.099635632603386e-50,110
IGFBP2,0.9341,4.1545085103147303e-50,110
FAM83B,0.934,4.371553132491937e-50,110
VLDLR,0.934,4.432277528491202e-50,110
ABCC5,0.9339,4.721391051264672e-50,110
BCAS1,0.9337,5.5736149743112535e-50,110
