gene,tumor_r,normal_r,delta_r
CHSY3,0.4989,0.2028,0.29610000000000003
ZNF627,0.0697,-0.1891,0.2588
COX14,-0.0859,-0.3292,0.2433
LRP8,0.1579,-0.0735,0.2314
DMTF1,0.0041,-0.227,0.2311
CYP4F12,0.0176,-0.2088,0.22640000000000002
TCEAL9,0.2714,0.0659,0.20549999999999996
GPR50,0.3665,0.1623,0.2042
FAM133B,0.1589,-0.0441,0.203
TBC1D32,0.2049,0.0074,0.1975
TRIM16,0.1393,-0.0549,0.1942
TPRA1,-0.325,-0.5175,0.19249999999999995
PHF8,0.3324,0.1414,0.19099999999999998
TEX13B,0.3034,0.1175,0.1859
ZNF180,-0.0088,-0.1925,0.1837
SNPH,0.2343,0.0515,0.18280000000000002
MYBPH,0.1429,-0.028,0.1709
VGF,0.4,0.2294,0.17060000000000003
ZNF506,0.5661,0.407,0.15910000000000007
ANTKMT,0.2438,0.0862,0.1576
PDGFD,0.2922,0.1361,0.15610000000000002
STX16,-0.1773,-0.3328,0.15549999999999997
ELOVL6,0.1557,0.0025,0.1532
VTCN1,0.6897,0.5378,0.15190000000000003
UBE2E3,0.4388,0.288,0.15080000000000005
ITPR1,-0.2592,-0.4099,0.1507
ASPHD1,0.3896,0.2403,0.1493
FAM180B,0.1603,0.0117,0.1486
C14orf93,-0.0238,-0.1713,0.14750000000000002
CHST7,0.2295,0.0843,0.1452
HJURP,-0.2794,-0.4238,0.14440000000000003
EDN1,0.6821,0.5385,0.14360000000000006
ATPSCKMT,0.4357,0.2929,0.14279999999999998
ANGPTL6,-0.1228,-0.2633,0.14049999999999996
DUSP4,0.4418,0.3022,0.1396
PARD3,0.4893,0.3516,0.1377
SPRR2A,0.5495,0.4133,0.1362
PPP2R3B,0.2318,0.0978,0.134
BAHCC1,0.0528,-0.0798,0.1326
ENTPD2,0.0934,-0.035,0.12840000000000001
ZSCAN2,-0.1701,-0.2973,0.1272
SLC50A1,0.1136,-0.0132,0.1268
ZNF732,-0.3083,-0.4339,0.1256
GRAMD1B,0.6987,0.5735,0.12519999999999998
ULBP3,0.3837,0.2586,0.1251
MDM2,0.2925,0.1686,0.12389999999999998
SUCO,0.4351,0.3118,0.12329999999999997
SPRR2D,0.5652,0.4423,0.12290000000000001
CPLX1,0.6503,0.5283,0.122
SLC6A1,-0.1143,-0.2362,0.1219
ASB7,0.1517,0.0305,0.1212
NFIL3,0.3326,0.2114,0.1212
TTYH2,0.0288,-0.0902,0.119
GUCD1,0.1537,0.035,0.1187
FSD1,0.3274,0.2104,0.11700000000000002
FANK1,0.0395,-0.0773,0.11679999999999999
CASP8AP2,0.3849,0.2682,0.11670000000000003
CAPNS2,0.707,0.5912,0.11580000000000001
PROSER3,0.5142,0.3988,0.1154
ZNF628,-0.3964,-0.511,0.11460000000000004
CEBPG,0.0222,-0.0922,0.1144
RAB33A,0.0853,-0.028,0.1133
PCSK2,0.5879,0.4755,0.1124
COX16,0.4387,0.3265,0.11219999999999997
CHI3L2,0.2659,0.1538,0.11210000000000003
EGFL8,0.2235,0.1121,0.1114
ZSCAN23,0.2039,0.0927,0.1112
SEPTIN5,0.4167,0.3059,0.11080000000000001
WDR62,0.1782,0.0675,0.11069999999999999
MNX1,0.135,0.0247,0.11030000000000001
SCTR,0.5026,0.3941,0.10850000000000004
NPTXR,0.6357,0.5275,0.10820000000000007
CARS1,0.1345,0.0269,0.1076
PRAME,-0.1104,-0.2176,0.10719999999999999
SLC25A33,0.1888,0.0818,0.107
CRNN,0.0054,-0.1011,0.1065
LIPT1,-0.0338,-0.1402,0.1064
ZNF324,0.652,0.5457,0.10630000000000006
SRSF7,0.2112,0.1049,0.1063
MYL2,-0.1151,-0.2208,0.1057
IGDCC4,0.5385,0.4336,0.1049
PNMA8A,0.4583,0.354,0.1043
ORC3,0.2077,0.1038,0.10389999999999999
PAH,0.6126,0.5098,0.1028
CTSV,0.5468,0.444,0.10279999999999995
SPTB,0.1521,0.0496,0.10250000000000001
TMEM219,0.0383,-0.064,0.1023
MYH14,0.0589,-0.0412,0.1001
EMC7,0.1524,0.0524,0.1
RFNG,0.0269,-0.0719,0.0988
SMIM13,0.2276,0.1289,0.09870000000000001
MN1,0.1018,0.0035,0.0983
LAYN,0.1139,0.0156,0.0983
SET,0.4968,0.3996,0.09720000000000001
CREB3L1,0.1716,0.0747,0.0969
ICE2,0.1006,0.0039,0.0967
SLAMF8,0.2912,0.1958,0.09540000000000001
CENPU,0.652,0.5569,0.09510000000000007
POLR2M,0.0132,-0.0812,0.0944
JADE1,0.3674,0.273,0.09439999999999998
APLN,0.6699,0.5758,0.09410000000000007
SIGLEC14,0.0929,0.0,0.0929
HNRNPC,0.2073,0.1156,0.09170000000000002
PEG10,0.3713,0.2797,0.09160000000000001
SNRPA1,0.2535,0.1621,0.09140000000000001
PRELID1,0.2725,0.1813,0.09120000000000003
MED10,0.2073,0.1167,0.09060000000000001
SLC2A8,0.2389,0.1489,0.09
PLEKHG4B,0.4654,0.3757,0.0897
MMS22L,0.4182,0.3285,0.0897
FBXO10,0.3515,0.2626,0.08889999999999998
ASB8,0.3389,0.2505,0.08839999999999998
ZNF274,0.2998,0.2117,0.08810000000000001
CNMD,0.1799,0.092,0.0879
CYB5D2,-0.1983,-0.2857,0.0874
PRSS57,-0.1246,-0.2117,0.0871
SPINK2,0.6904,0.6039,0.08650000000000002
EIF2B4,0.1073,0.0212,0.08610000000000001
BRDT,0.3278,0.2418,0.086
SNCAIP,0.3697,0.2837,0.08599999999999997
SNAPC1,-0.1604,-0.2459,0.08550000000000002
MPHOSPH9,0.3113,0.2268,0.08450000000000002
UBE2R2,0.2968,0.2125,0.08430000000000001
FUT3,0.4409,0.3567,0.0842
PRTN3,-0.0529,-0.137,0.08410000000000001
ZNF146,0.3604,0.2769,0.08350000000000002
CLDN4,0.1815,0.098,0.08349999999999999
CENPM,0.4739,0.3909,0.08299999999999996
PADI1,0.5359,0.4531,0.08280000000000004
FGD1,-0.0526,-0.1353,0.0827
KIAA1841,0.2814,0.1988,0.08259999999999998
TAGLN3,0.3081,0.2256,0.08249999999999999
BCL2L12,0.1041,0.0217,0.0824
ZNF518A,0.1753,0.0936,0.08170000000000001
ST3GAL4,0.5566,0.4749,0.0817
LPIN3,0.1749,0.0932,0.0817
TTBK2,0.1908,0.1092,0.08159999999999999
TFEB,0.5134,0.4318,0.08159999999999995
CMTM3,0.1926,0.1112,0.0814
POC1B,0.0829,0.0018,0.0811
SST,0.4636,0.3826,0.08100000000000002
NINL,0.4136,0.3329,0.08070000000000005
CSNK1G2,0.3467,0.266,0.0807
SPRR1A,0.4362,0.3555,0.0807
CPLX2,0.5009,0.4204,0.08050000000000002
BTBD2,0.2399,0.1596,0.08030000000000001
PRR5,0.2532,0.1732,0.07999999999999999
ATP8B2,0.6813,0.6014,0.07989999999999997
TBC1D14,0.1952,0.1154,0.07980000000000001
CABLES2,0.2,0.1203,0.07970000000000001
C8orf76,0.2152,0.1355,0.0797
PTK2B,0.0244,-0.0547,0.0791
TNFAIP8L1,0.238,0.159,0.07899999999999999
LDHC,0.2128,0.1338,0.07899999999999999
UBE2D1,0.1753,0.0966,0.0787
LAMB4,-0.0524,-0.1309,0.07849999999999999
PPP2R3C,0.0178,-0.0606,0.0784
HHIPL2,0.753,0.6752,0.07779999999999998
SPRR2F,0.5127,0.435,0.07770000000000005
CD200R1,0.0367,-0.0408,0.07750000000000001
PATZ1,0.3626,0.2851,0.07749999999999996
TAF11,-0.0096,-0.0867,0.0771
DTNBP1,0.2959,0.2189,0.07699999999999999
DLGAP1,0.4185,0.3416,0.07689999999999997
NDUFB9,0.0926,0.016,0.0766
RNF187,0.3888,0.3124,0.07639999999999997
BRCA2,0.0666,-0.0096,0.0762
GPATCH3,0.3068,0.2307,0.07610000000000003
HPN,0.4758,0.3997,0.0761
MAP2K2,0.3441,0.2681,0.07600000000000001
NAALAD2,-0.0875,-0.1633,0.0758
ATP2B4,0.1385,0.0629,0.07560000000000001
ZG16,0.2074,0.1321,0.0753
NAF1,0.2375,0.1622,0.07529999999999998
ARL16,0.222,0.1469,0.0751
MTERF1,-0.0201,-0.0951,0.07500000000000001
DUSP1,0.0196,-0.0553,0.0749
SF3B1,0.1409,0.0662,0.0747
PPP1R35,0.3565,0.2818,0.07469999999999999
SLC38A9,0.1845,0.1099,0.0746
ZNF436,0.3553,0.2809,0.07440000000000002
BCL2A1,0.389,0.3147,0.07430000000000003
MPC2,0.1287,0.0544,0.0743
NCL,0.2622,0.188,0.07419999999999999
NDUFAF1,-0.0737,-0.1478,0.07409999999999999
SLC16A2,0.2552,0.1811,0.07409999999999997
ATF3,0.3508,0.2768,0.07400000000000001
SEMA3A,0.5617,0.4877,0.07399999999999995
ZNF761,0.207,0.1334,0.0736
PCLAF,0.32,0.2466,0.07339999999999999
ASDURF,0.0438,-0.0296,0.07339999999999999
DHX30,0.1823,0.109,0.07329999999999999
S100A7,0.731,0.6578,0.07319999999999993
RHBDD1,0.1824,0.1095,0.0729
HTD2,0.3146,0.2417,0.07289999999999999
NHLRC1,0.2838,0.2112,0.0726
GEN1,0.0224,-0.0502,0.0726
ANGPTL3,0.0308,-0.0417,0.07250000000000001
SPINDOC,0.4938,0.4214,0.07240000000000002
FSTL4,0.5999,0.5276,0.07230000000000003
SIMC1,0.3033,0.231,0.0723
PHLPP1,0.0733,0.001,0.0723
AC093323.1,0.4147,0.3425,0.07219999999999999
MED18,0.0505,-0.0215,0.07200000000000001
RWDD3,0.139,0.0673,0.07170000000000001
ASCC1,0.1386,0.0669,0.0717
CYREN,0.2995,0.2279,0.0716
RNF4,0.3844,0.3128,0.0716
C6orf136,0.1197,0.0482,0.07150000000000001
MT1A,0.2547,0.1832,0.07149999999999998
TDP2,0.4072,0.3359,0.07130000000000003
ZNF32,0.2622,0.1909,0.0713
TNMD,0.4004,0.3292,0.07119999999999999
TOB2,0.3449,0.2737,0.07119999999999999
DNAAF1,0.1949,0.1238,0.0711
SFI1,0.039,-0.032,0.07100000000000001
ORC2,0.391,0.32,0.07100000000000001
LEO1,0.0697,-0.0012,0.0709
ZNF839,0.4835,0.4126,0.07089999999999996
ZG16B,0.7887,0.7179,0.07079999999999997
SKA2,0.833,0.7622,0.07079999999999997
KIAA0232,0.1953,0.1246,0.0707
LMTK3,-0.0193,-0.09,0.0707
DMWD,-0.1621,-0.2327,0.0706
CCT6A,0.4247,0.3542,0.07050000000000001
MYO7B,-0.0291,-0.0994,0.0703
ELP5,0.123,0.0529,0.0701
CCNK,0.2399,0.1698,0.0701
SMIM26,0.3864,0.3165,0.06990000000000002
ZC3H13,0.2304,0.1605,0.06989999999999999
NDUFA2,0.1031,0.0333,0.0698
KLHL4,0.2145,0.1448,0.06969999999999998
RTL1,0.7198,0.6503,0.0695
XRCC5,0.3284,0.259,0.06940000000000002
FBXL14,-0.3767,-0.4461,0.06940000000000002
CRYBG2,0.046,-0.0233,0.0693
PAPOLG,0.2981,0.2289,0.06919999999999998
GSTM2,0.6489,0.5798,0.06910000000000005
