gene,spearman_r,p_value,n_samples
ESPL1,0.986,4.1168959116543235e-09,12
SIX1,0.9412,2.1148736829760986e-10,21
AGR2,0.9302,2.5662468065912254e-45,102
PLA2G4A,0.9247,9.534390481612148e-44,102
CRABP2,0.9226,3.7867893972205935e-43,102
PCP4L1,0.9222,4.811002698571893e-43,102
DCLK1,0.9174,8.274946831176635e-42,102
SKA1,0.9165,4.084158819686067e-06,14
ZNF114,0.9116,1.4379695060973118e-05,13
SCIN,0.9112,2.604592140972403e-40,102
GALNT6,0.9097,5.812693935605284e-40,102
MAP1B,0.9064,3.217553598838106e-39,102
TESC,0.905,6.839480039977448e-39,102
DNAJC12,0.8994,2.8631774001956643e-36,98
SLC7A11,0.8988,7.265228811674947e-08,20
S100B,0.8983,1.717519440201326e-37,102
MAGEB2,0.8965,2.5792181741876537e-06,16
NAALADL2,0.8959,5.081512237860937e-37,102
AURKA,0.892,8.081981610974228e-18,49
STK39,0.8918,3.131939328790692e-36,102
FAM167A,0.891,2.7654843422482724e-23,65
TMEM150C,0.8901,4.565437440744705e-05,13
ERAP2,0.8884,1.3616091022414283e-35,102
EGFR,0.8833,1.113698263793948e-34,102
C1orf116,0.8831,1.209178652645094e-34,102
WNK3,0.8824,2.7772703379585782e-06,17
POF1B,0.8811,2.682881509332109e-34,102
CD207,0.8789,6.5194215940918755e-34,102
ADGRF1,0.8786,5.5433665832125715e-30,90
IGFBP2,0.8786,7.153161793104091e-34,102
CAPN5,0.8785,7.614726826514618e-34,102
JSRP1,0.877,1.2554956422075416e-14,43
DEGS2,0.8741,0.00020071307332423182,12
GSDME,0.8716,9.867542781664624e-33,102
SIPA1L2,0.8708,1.3091612998714083e-32,102
LRRC15,0.8707,1.3823114342452637e-32,102
HMGB3,0.87,1.7747160362337026e-32,102
CLDN6,0.87,2.711299900843709e-06,18
NT5E,0.8696,2.0762197206972834e-32,102
PRODH,0.8691,2.423320352267578e-32,102
ATP11A,0.8673,4.681671977290826e-32,102
REEP6,0.8662,1.128250330812796e-30,98
METTL7B,0.8661,7.087435528505701e-32,102
SYT7,0.8643,3.3295667498194125e-29,94
STEAP4,0.8627,2.230660704296011e-31,102
LAPTM4B,0.8601,0.000331668339126921,12
ANLN,0.8598,6.051621228515387e-31,102
TOP2A,0.8589,8.004218115252523e-31,102
TTC39C,0.8577,1.1794283246482785e-30,102
CD1A,0.8574,1.9333628152039355e-29,98
CELF2,0.8571,1.4614496329448376e-30,102
MZB1,0.857,1.4799232567862477e-30,102
CLMN,0.8555,2.3844197741425122e-30,102
FCGBP,0.8553,2.5700283271517864e-30,102
BAIAP2L1,0.8545,3.279322628466188e-30,102
STMN3,0.8545,1.981730258475729e-18,61
DGKA,0.8532,5.013665044029009e-30,102
KCNK5,0.853,1.7678116184696442e-06,20
IDO1,0.8529,5.543344846503121e-30,102
GPHN,0.8526,5.977351023923141e-30,102
LAD1,0.8523,6.623401175838882e-30,102
CAPN13,0.8515,8.608505928805077e-30,102
MYO1G,0.851,9.848632275691693e-30,102
FKBP10,0.8508,1.0547179650885405e-29,102
BASP1,0.8499,1.3971061597140617e-29,102
CGN,0.8494,1.6299998982101158e-29,102
SLC7A2,0.847,1.5443867217723311e-12,42
LAX1,0.8463,2.2454663708882785e-21,74
MET,0.8463,4.120508924206338e-29,102
CXCL6,0.8462,0.0005211337004810047,12
NGFR,0.8461,1.9065745320201348e-07,24
RDH10,0.8454,5.445514608447304e-29,102
MKI67,0.8452,5.815977338596544e-29,102
FAM120C,0.8441,7.987969296613762e-29,102
ERN2,0.8441,1.7369739926212768e-13,46
AKR1C3,0.844,8.168654543727829e-29,102
G6PD,0.8437,9.155938727953561e-29,102
FADS2,0.8434,9.842076384635114e-29,102
RRM2,0.8431,1.075294474304248e-28,102
S100P,0.843,1.0981950429524975e-28,102
GBP6,0.8429,1.1448399181970958e-28,102
KIF23,0.8429,1.1573531364223792e-28,102
ENPP3,0.8427,2.6543863057689097e-24,86
PLCB4,0.8422,1.414035873819148e-28,102
EPS8L1,0.842,1.4738564918106288e-28,102
DIAPH2,0.8415,1.7355683628323543e-28,102
LRRN4,0.8415,2.432411317050733e-26,94
ATP2A3,0.8414,1.7791115064338626e-28,102
SULT2B1,0.8413,1.8412462566443255e-28,102
REPS2,0.8409,2.0138541706642409e-28,102
CRYM,0.8405,2.3016163495057673e-28,102
USP13,0.8404,2.335746576399317e-28,102
WARS1,0.8401,2.5617146200543054e-28,102
OXCT1,0.8399,2.7093251425244067e-28,102
CRACR2A,0.8399,2.753268636327174e-28,102
ADSS1,0.8396,2.932034611912019e-28,102
TPD52L1,0.8395,3.0442824724909613e-28,102
AOC1,0.8393,4.4433218548920985e-26,94
KIAA1324,0.8391,3.3975764625771017e-28,102
DTX3L,0.8391,3.4514371851461646e-28,102
ESRP2,0.8391,3.4602286039325556e-28,102
ALOX15B,0.8387,3.8294471514477297e-28,102
DEPTOR,0.8381,4.578825205266972e-28,102
PLEKHA5,0.8379,4.7767760519112825e-28,102
ANK3,0.8376,5.284167332343298e-28,102
ACP3,0.837,6.259065918577962e-28,102
HLA-DQB2,0.8368,6.5780763477245215e-28,102
RHBDL2,0.8367,9.471820471154845e-12,41
CYP2S1,0.8367,6.759403354261306e-28,102
NDRG2,0.8359,8.35380928002876e-28,102
NLN,0.8358,8.591855775111732e-28,102
SCUBE2,0.8355,1.4851069738128286e-23,86
OAS3,0.8355,9.28911568158811e-28,102
PC,0.8354,9.55805126663642e-28,102
KANK1,0.835,1.0888073365557885e-27,102
BACE2,0.8348,3.932746200056481e-07,24
TNIK,0.8346,1.208766518379498e-27,102
CEACAM5,0.8346,1.2045518019696356e-27,102
IGF2BP2,0.8344,1.2701909152450248e-27,102
SLC4A4,0.8343,1.3215513715234474e-27,102
SPATS2,0.8343,1.3039389917911885e-27,102
COL1A2,0.8343,1.309063307672083e-27,102
RAB27B,0.834,1.4264986087131913e-27,102
MX1,0.8338,1.5183984504400228e-27,102
SHE,0.8335,1.646632315982408e-27,102
PFKP,0.8333,1.7444433531289886e-27,102
GBP1,0.8332,1.7955705942723386e-27,102
PRR15,0.8328,2.3194903435899e-25,94
KIF4A,0.8326,2.076334874756788e-27,102
TRIM2,0.8322,2.310845947891186e-27,102
COL12A1,0.8312,3.025835138526358e-27,102
OAS2,0.8312,3.0700856297591207e-27,102
C11orf88,0.8312,3.0551627702847524e-06,21
CA8,0.8309,3.7706601401202755e-25,94
ADAM28,0.8308,4.096704924045321e-24,90
ARHGAP5,0.8307,3.530646324860394e-27,102
NBEA,0.8306,3.5426503243273395e-27,102
KIF13B,0.8305,3.715058825446058e-27,102
FOLR1,0.8295,4.813635535308393e-27,102
PPP1R14C,0.8289,5.655537549031522e-27,102
IFI16,0.8288,5.734951482205662e-27,102
SYTL4,0.8286,6.1987533709432096e-27,102
SEMA3E,0.8285,3.1593521971070647e-07,25
FAM114A1,0.8283,6.584768425266351e-27,102
B3GNT6,0.8281,4.96039351780161e-09,32
SDCBP2,0.828,7.385052692593353e-26,98
TPX2,0.8278,7.561801714423292e-27,102
ASRGL1,0.8277,7.821998304230516e-27,102
ALDOC,0.8276,8.052309131480452e-27,102
KIF2C,0.8275,8.270084790815574e-27,102
MCF2L,0.8273,8.588359920627936e-27,102
TANC1,0.8272,8.813984539789332e-27,102
TBC1D2,0.8272,8.830700080218602e-27,102
ANPEP,0.8263,1.1367510065373588e-26,102
AS3MT,0.8261,1.1743296076943099e-26,102
AOX1,0.8259,1.2401747894060471e-26,102
RIPK3,0.8258,1.2940125615983178e-26,102
EFHD1,0.8253,1.4652833812308685e-26,102
PPP1R1B,0.8252,1.493301684154196e-26,102
CGNL1,0.8234,2.3745165145702734e-26,102
WDHD1,0.823,2.6551467870624967e-26,102
CRYBG1,0.8228,2.752097411539182e-26,102
FAM149A,0.8226,0.000555758555256721,13
INPP4B,0.8224,3.0965574983932837e-26,102
ARG2,0.8224,2.4037376991484815e-11,42
RCN3,0.8221,3.28713416357667e-26,102
ITPKA,0.822,5.1894617355755806e-21,81
PLEKHS1,0.8205,4.9672547435965673e-26,102
SLC27A2,0.8203,5.23211355586691e-26,102
ASPH,0.8203,5.265853927465635e-26,102
UGDH,0.8202,5.423538655883459e-26,102
ATP8B1,0.8195,6.446080621049239e-26,102
AK4,0.8192,6.855342065300389e-26,102
EZR,0.8191,7.168531577010586e-26,102
ZNF516,0.819,7.288422641026198e-26,102
GMDS,0.819,7.17597298997255e-26,102
PDZK1IP1,0.8189,1.0236324624530217e-21,85
SMO,0.8184,3.2472788302708395e-06,22
PTGR1,0.8183,8.738526732025134e-26,102
NXPH4,0.8182,0.0011431050868040606,12
