gene,spearman_r,p_value,n_samples
ESPL1,0.9436,1.2934246447275094e-06,13
GLI2,0.9394,5.4840529985136686e-05,10
PLA2G4A,0.9335,2.369971335193649e-50,111
SIX1,0.9331,2.465422809675459e-10,22
SKA1,0.9286,5.867938270803344e-07,15
AGR2,0.9282,1.2964982436593314e-48,111
CRABP2,0.9269,3.275916415294024e-48,111
PCP4L1,0.9263,5.1864152879254075e-48,111
SCIN,0.9166,3.304093068710929e-45,111
TESC,0.9123,4.602973879002645e-44,111
MAP1B,0.9119,5.69489591150561e-44,111
GALNT6,0.9103,1.5119505265736113e-43,111
DCLK1,0.9095,2.358471184122446e-43,111
MAGEB2,0.9092,4.312087656973621e-07,17
SLC7A11,0.9087,1.2135236847073092e-08,21
DNAJC12,0.9045,2.7204012847071592e-40,106
AURKA,0.9023,2.803608354303436e-20,53
S100B,0.9018,1.6067927421879255e-41,111
STK39,0.8953,4.388636700346103e-40,111
TMEM150C,0.8945,1.5798308486800476e-05,14
ERAP2,0.8928,1.5184895818123887e-39,111
CLDN6,0.8922,5.520881323684933e-08,21
FAM167A,0.8905,2.701410865952652e-25,71
POF1B,0.8886,1.0963310122635954e-38,111
NAALADL2,0.8872,2.0916560608004893e-38,111
C1orf116,0.8831,1.3054639019406061e-37,111
ADGRF1,0.8826,3.129960223215855e-33,98
WNK3,0.8824,2.7772703379585782e-06,17
EGFR,0.8821,1.962473063265025e-37,111
TTC39C,0.8802,4.442202358946757e-37,111
NT5E,0.8781,1.103536397722841e-36,111
ATP11A,0.8779,1.1883528374925826e-36,111
IGFBP2,0.877,1.7191897466615677e-36,111
REEP6,0.8768,3.5505730152665974e-35,107
CD207,0.8755,3.199608373170696e-36,111
GSDME,0.8753,3.56172999495133e-36,111
STEAP4,0.8747,4.5393733179977545e-36,111
CAPN5,0.8738,6.437973632897975e-36,111
SIPA1L2,0.8732,8.331687274147053e-36,111
JSRP1,0.8729,2.649552779083991e-15,46
CLMN,0.8719,1.3774835228166442e-35,111
DGKA,0.8715,1.5990984757752782e-35,111
CTAG2,0.8693,0.0010869850351278199,10
TOP2A,0.8685,5.29851918852864e-35,111
PRODH,0.8679,6.590194124241954e-35,111
NAGS,0.8667,0.0011735381801554685,10
LRRC15,0.8662,1.2475787946757974e-34,111
METTL7B,0.8654,1.714283787157441e-34,111
KCNK5,0.8639,4.505909404930922e-07,21
OXCT1,0.8634,3.620651247616785e-34,111
ANLN,0.8631,4.0863224035571275e-34,111
HMGB3,0.8622,5.631447347596259e-34,111
MZB1,0.8615,7.373636816730978e-34,111
CAPN13,0.8615,7.4106360206242256e-34,111
FKBP10,0.858,2.5374112798871697e-33,111
ERN2,0.8579,6.770177752840624e-15,48
BASP1,0.8578,2.772638880606201e-33,111
MYO1G,0.8569,3.834403678031729e-33,111
PLEKHA5,0.8561,5.0005957686437626e-33,111
MET,0.8561,5.028089858798306e-33,111
GPHN,0.8559,5.481279094446158e-33,111
KANK1,0.8555,6.173400125093354e-33,111
ENPP3,0.8554,5.068720962472235e-28,94
CRACR2A,0.8547,8.083259555326612e-33,111
CGN,0.8545,8.654267151521368e-33,111
ELAVL2,0.8545,0.0016368033159867156,10
RAB27B,0.8545,8.725711358035926e-33,111
BAIAP2L1,0.8538,1.1278658663911577e-32,111
AKR1C3,0.8537,1.1691704548146787e-32,111
LAD1,0.8537,1.1405561185706507e-32,111
DIAPH2,0.853,1.483816146984513e-32,111
FCGBP,0.8529,1.5410652833815418e-32,111
RRM2,0.8524,1.7986445605483317e-32,111
PRR15,0.8522,3.573537254599593e-30,103
ADAM28,0.8514,2.2853871161790484e-28,97
MKI67,0.8504,3.604124276943942e-32,111
