gene,spearman_r,p_value,n_samples
IGF2BP3,0.9421,1.4621071147106795e-32,67
SPRR2D,0.938,6.011908218715682e-05,10
SCEL,0.9368,2.340712427644046e-31,67
PPP1R14C,0.9275,2.614602638751494e-24,55
SCGN,0.9262,3.0304969925121176e-29,67
KLHDC7A,0.9198,3.72466710067018e-09,21
MX1,0.9192,5.301625040090052e-28,67
COL17A1,0.9153,2.3039106582150096e-27,67
CALB2,0.9109,1.1216300358516706e-26,67
SFTA2,0.9036,3.880504128799778e-06,15
IYD,0.9,2.0510898633788993e-06,16
CLDN18,0.8975,8.42238572818985e-25,67
MFSD4A,0.8951,8.366586429091718e-05,12
LRRC15,0.8945,5.302015335630503e-23,63
ERICH5,0.8933,2.9411816327645438e-24,67
IFIT3,0.8932,3.019251318458225e-24,67
CHGB,0.8926,3.54988140241906e-24,67
SULT1C2,0.8882,1.2335746702676996e-23,67
COL11A1,0.8877,1.422775608179504e-23,67
CRABP2,0.8873,1.5787129409585748e-23,67
CHGA,0.8861,2.173937837306926e-23,67
ADGRG3,0.8857,1.1199821851208482e-05,15
ANXA10,0.8855,2.5242805459466464e-23,67
PADI1,0.885,2.894283559465655e-23,67
TNS4,0.8849,1.4336371041392873e-20,59
SERPINB5,0.8845,3.310928500155373e-23,67
GCG,0.8829,5.099702157055743e-23,67
OAS3,0.8813,7.642303805104232e-23,67
TRIM29,0.8812,7.976167064169861e-23,67
EIF1AY,0.8809,7.454377390771097e-19,55
SCG3,0.88,1.0617884795961977e-22,67
LMOD1,0.8795,1.2217886621141648e-22,67
CADPS,0.8793,1.282274639033493e-22,67
OAS2,0.8771,2.2009604773062036e-22,67
SCIN,0.8766,2.5207028902899247e-22,67
FAM111B,0.875,1.9522613815941113e-05,15
LYPD2,0.874,2.051394518330857e-05,15
GMDS,0.8732,5.825467980879905e-22,67
MUC5AC,0.8731,5.8601363799282e-22,67
LYPD3,0.873,7.57826448386618e-18,54
PCSK1,0.8722,7.400468092016364e-22,67
FN1,0.8719,7.882667584620108e-22,67
AGR3,0.8713,8.985110626675102e-22,67
KANK4,0.8699,1.26951505008256e-21,67
MZB1,0.8698,1.2762159744553018e-21,67
TFF1,0.8679,2.0007717277242495e-21,67
NLRP2,0.8679,6.886979117979851e-20,62
SYT8,0.8667,0.0011735381801554685,10
PCSK2,0.8653,3.6128089041942056e-21,67
C1QTNF3,0.8647,1.3597053822085825e-19,62
FABP6,0.8643,1.5506456391278482e-16,52
VSTM2L,0.8578,1.0661126185774085e-05,17
PI3,0.8574,1.0762320723423683e-13,44
FHL5,0.856,2.726694724432968e-20,67
CGNL1,0.8552,3.2362088634138906e-20,67
KRT17,0.855,3.3373829302054295e-20,67
CXCL5,0.8549,9.90977439994721e-17,55
CPLX2,0.8541,8.016805863421532e-18,59
LGALS4,0.853,5.048354796645921e-20,67
HSD17B2,0.8524,5.735054614008244e-20,67
SST,0.8521,6.084357155918093e-20,67
FBP1,0.852,6.267050845165976e-20,67
TESC,0.8504,8.508165259492124e-20,67
GBP7,0.8501,0.00023267865588378443,13
CCL24,0.85,3.0522600677849776e-05,16
PLOD2,0.8496,1.0046995393305802e-19,67
FLNB,0.8493,1.0615276012108431e-19,67
APOBEC2,0.8484,1.2860618624357504e-19,67
BCAS1,0.8466,1.8224581486665887e-19,67
KLK8,0.8456,5.12633769409352e-06,19
REEP1,0.8455,0.0010451821458586875,11
SPDEF,0.8455,0.0010451821458586875,11
FER1L6,0.845,3.941448955448992e-17,59
IGFBP3,0.8435,3.284774895070885e-19,67
STAT1,0.8424,4.106314743313419e-19,67
CTSE,0.842,4.406834874925592e-19,67
VIL1,0.8397,6.794045719980908e-19,67
HMGA2,0.839,3.1149533835850194e-17,61
ERAP2,0.8385,8.460029782167671e-19,67
AGR2,0.8384,8.56426513402447e-19,67
SERPINB3,0.8364,1.243152982734934e-18,67
CEACAM7,0.8356,1.4475251361319699e-18,67
LMO7,0.8347,1.6962089514691112e-18,67
MARCO,0.8347,3.485837901098282e-17,62
PRELP,0.8343,1.819116617727282e-18,67
CEACAM5,0.8342,1.844844603175851e-18,67
SCG2,0.8341,1.893905112289457e-18,67
GSDMB,0.8338,1.993467129878551e-18,67
WDFY4,0.8329,2.3586822790843034e-18,67
COMP,0.8308,3.36765345502669e-18,67
BTN3A1,0.8303,0.002940227023279509,10
ASS1,0.8296,4.20143614295124e-18,67
PYGB,0.8292,4.5189553359722265e-18,67
SLC30A8,0.829,8.350682552283538e-09,31
BAIAP2L1,0.8287,4.918857391182423e-18,67
RNF213,0.8284,5.1212912961648935e-18,67
SCUBE3,0.8283,5.248949734352464e-18,67
KRT23,0.8282,1.7130756163737213e-17,65
SERPINB2,0.8272,6.294395619965354e-18,67
A2ML1,0.8265,4.3127092997947786e-15,56
FSCN1,0.8265,7.097562104182116e-18,67
WFDC2,0.8259,7.908623604942488e-18,67
DDX3Y,0.8253,8.789143952092892e-18,67
ALDOC,0.825,9.209167465576546e-18,67
ESPN,0.8244,1.0601323827738978e-13,51
DUOXA2,0.8233,1.2084555950264557e-13,51
DHRS9,0.8225,1.3928236245686514e-17,67
VILL,0.8215,1.643332042222346e-17,67
KLK6,0.8213,1.6665779510959697e-16,63
MMP7,0.8213,1.7089846822320476e-17,67
