gene,spearman_r,p_value,n_samples
SCEL,0.943,8.467572561551191e-68,140
IGF2BP3,0.9389,8.649532792422754e-66,140
SFTA2,0.9196,7.065125726106075e-13,30
MX1,0.9179,2.9884259749298166e-57,140
CALB2,0.9162,1.1930978763714144e-56,140
COL17A1,0.9127,1.7067760611181743e-55,140
C1QL1,0.9121,1.3975552674444556e-05,13
HLA-G,0.9091,4.191044653034231e-05,12
PPP1R14C,0.9082,3.5645707979433823e-44,114
IFIT3,0.907,1.0820253744662138e-53,140
COL11A1,0.8918,2.1836464210243073e-49,140
SULT1C2,0.8909,3.843502074735565e-49,140
CRABP2,0.89,6.3420005441801284e-49,140
SERPINB2,0.8897,7.796950781908252e-49,140
ANXA10,0.886,6.469554800611492e-48,140
CADPS,0.8843,1.7218998385265335e-47,140
SCGN,0.8838,2.2763955573262744e-47,140
PADI1,0.8837,2.437751793653347e-47,140
SERPINB5,0.8829,3.8427497411688687e-47,140
MAB21L2,0.8818,0.0003301688021839006,11
TRIM29,0.8809,1.153673937780258e-46,140
OAS2,0.8788,3.5055863096048974e-46,140
PCSK1,0.878,5.328339135984012e-46,140
EIF1AY,0.8776,6.053136449665374e-36,109
FN1,0.8773,7.698094474148282e-46,140
CHGB,0.8768,1.0389903320090609e-45,140
KRT17,0.8762,1.3899467772323875e-45,140
NLRP2,0.8752,1.4699008637746396e-41,128
BCAS1,0.8748,2.9273926548560336e-45,140
UGT2B15,0.8736,9.528897290370499e-05,13
TNS4,0.8723,4.981269373854983e-40,125
LRRC15,0.8708,6.678920529351398e-42,132
AGR3,0.8686,6.494620120965511e-44,140
CLDN18,0.8682,8.011594272736258e-44,140
ERICH5,0.8671,1.3654458137971147e-43,140
TESC,0.8668,1.5472081017056219e-43,140
LMOD1,0.8659,2.337349948853103e-43,140
OAS3,0.8658,2.4678991403159767e-43,140
CHGA,0.8647,4.295806765293667e-43,140
VILL,0.8634,7.917375943609978e-43,140
MYEF2,0.8629,9.95340196440343e-43,140
FABP6,0.8622,7.169302986384239e-35,114
TCEAL6,0.8618,2.120893078704594e-06,19
GPX2,0.8613,2.0941385549751022e-42,140
CTSE,0.8604,3.1699398560450264e-42,140
GDA,0.8604,3.06541377007823e-42,140
STAT1,0.8598,4.027267723424216e-42,140
POF1B,0.8593,5.0678105005481405e-42,140
SCG3,0.8591,5.748213696517049e-42,140
ERAP2,0.8589,6.311315541324585e-42,140
ADH1B,0.8587,6.671023724344967e-42,140
TFF1,0.8564,1.913217751464211e-41,140
LMO7,0.8561,2.1345077545463436e-41,140
VSTM2L,0.8558,1.9831918684727493e-12,40
LGALS4,0.8549,3.685670068909227e-41,140
DHRS9,0.8546,4.261088267796183e-41,140
AMPD1,0.8545,0.0016368033159867156,10
LOXL2,0.8542,5.020495730781751e-41,140
MFSD4A,0.8535,2.9972764384439215e-08,26
MZB1,0.8529,9.009273222566343e-41,140
MMP1,0.8521,1.2430122493131156e-40,140
PLOD2,0.8514,1.6954625055770968e-40,140
HSD17B2,0.8511,1.92223628604743e-40,140
MUC17,0.8508,2.697755919533102e-07,23
IGFBP3,0.8506,2.4012400026269925e-40,140
SST,0.8488,5.078539411035961e-40,140
PPL,0.8488,5.103751019922094e-40,140
PLAU,0.8486,5.518188366452843e-40,140
SLC30A8,0.8473,2.6616697008054336e-17,59
PCSK2,0.8472,9.804435701909557e-40,140
MYO5B,0.8457,1.832657608594345e-39,140
GCG,0.8453,2.1487605564238407e-39,140
SECTM1,0.8451,2.7376438111929385e-06,20
VIL1,0.8448,2.6848052270085824e-39,140
SCUBE3,0.8438,4.0030317949633415e-39,140
PTK7,0.8433,4.894124639696888e-39,140
TCEA3,0.8428,5.963300732230408e-39,140
GMDS,0.8425,6.726128384539376e-39,140
FLNB,0.842,8.286471169121422e-39,140
VIT,0.8407,0.0003190712406937145,13
F13A1,0.8403,1.605127496454309e-38,140
MUC5AC,0.8393,2.439632815515052e-38,140
SERPINB3,0.8385,3.3613668819169316e-38,140
KANK4,0.8383,3.5903082047576053e-38,140
DDX3Y,0.8369,6.058976744809983e-38,140
PRELP,0.8365,7.296146605000385e-38,140
IGF2BP2,0.8356,1.009626022597656e-37,140
ADGRG3,0.8342,4.2121059762784004e-11,39
ERO1A,0.8341,1.8213544221148194e-37,140
FGFBP1,0.8337,2.2636403169678315e-23,86
SCIN,0.8335,2.2718404592241115e-37,140
P4HA1,0.8335,2.21573888840327e-37,140
FHL5,0.8334,2.3085831384344737e-37,140
BAIAP2L1,0.8323,3.481822066689593e-37,140
SULT1E1,0.8321,7.347201308255921e-28,104
KRT23,0.8321,7.41572851911963e-36,135
CHST6,0.8316,5.522372803574219e-06,20
PYGL,0.8312,5.293278938614692e-37,140
NCF2,0.8307,6.326803216380827e-37,140
TM4SF5,0.8306,1.7103307524006416e-06,22
CEACAM5,0.8305,6.913697559568509e-37,140
KLK7,0.8299,5.4939176830196225e-34,129
CGNL1,0.8294,1.0320937429203131e-36,140
APOBEC2,0.8282,1.6132838414369056e-36,140
SH2D1A,0.8279,1.8134943127926064e-36,140
ASRGL1,0.8275,2.0696461638736745e-36,140
ESRP1,0.8271,2.448966205297256e-36,140
GAS1,0.8269,1.77876762151962e-08,30
IDO1,0.8264,1.042871021850112e-30,118
FER1L6,0.8261,6.418712070704057e-32,123
CLEC2B,0.826,5.57688591951416e-10,36
CFTR,0.8256,4.071195457752172e-36,140
CES1,0.8248,5.588888670506632e-36,140
CA13,0.8248,5.478953777521651e-36,140
GCNT3,0.8243,6.63563752756167e-36,140
RTN1,0.824,7.367974514405757e-36,140
C1QTNF3,0.8235,2.636497635105101e-33,130
CXCL5,0.8233,1.4789470446936888e-30,119
FSCN1,0.8226,1.2027966564020834e-35,140
CXCL14,0.8225,1.2397491024579444e-35,140
DUOX2,0.8223,2.311612912883371e-34,135
AOC1,0.821,2.1234389959159084e-35,140
MARCO,0.8204,1.2578366158197305e-32,129
FAM3D,0.8201,2.8599413269133364e-35,140
KLK6,0.82,1.460816169132471e-32,129
FBP1,0.8192,3.9276817199723385e-35,140
DDX60,0.819,4.1951952417009474e-35,140
INPP4B,0.8185,5.022066076017237e-35,140
SFRP4,0.8185,5.087981039233854e-35,140
HMGA2,0.8178,5.008587168507283e-32,128
CA9,0.8174,7.230301162685701e-35,140
CAPN9,0.8149,3.7884566237017215e-26,105
MX2,0.8146,1.8739470077094202e-34,140
FXYD2,0.8145,1.034490858641495e-23,95
SLC4A4,0.8139,2.3879094197092024e-34,140
FHL1,0.8139,2.3976414583508997e-34,140
TNFRSF11B,0.8134,4.0636951300131854e-13,51
INPP5D,0.8125,3.7656285203607725e-34,140
SH2D4A,0.8119,4.613951075243496e-34,140
GSDMB,0.8118,4.8374746145945426e-34,140
SCG2,0.8117,4.965413568642244e-34,140
MUC13,0.811,6.199665029579829e-34,140
IQGAP2,0.811,6.270762315856605e-34,140
SFN,0.8106,7.020012466219629e-34,140
MYO7B,0.8104,7.456264446230892e-34,140
PPP1R1A,0.8088,3.1797412958245574e-32,134
MET,0.8085,1.4222810073610188e-33,140
NEBL,0.8083,1.4977518606954867e-33,140
STXBP6,0.8081,1.5780971350858323e-33,140
RHPN2,0.8075,1.903950923016824e-33,140
TREM1,0.8073,9.14208116254424e-10,38
DGKA,0.8071,2.2307999699236692e-33,140
AHNAK2,0.807,2.285116643278421e-33,140
CXCL17,0.8062,1.8504885735676975e-19,80
KRT6B,0.8051,7.004736411297565e-33,139
GPD1,0.8048,4.561219385559749e-33,140
FOLR1,0.8046,6.157358932247377e-21,87
KIF13B,0.8043,5.3062861199447185e-33,140
IFIT1,0.8039,6.067352507015022e-33,140
ADAMTSL2,0.803,8.122174504257204e-33,140
CPLX2,0.8028,1.0219111799473866e-28,122
ANXA8,0.8027,2.7216097912653343e-30,129
SPRR3,0.8018,1.5774658923292982e-31,135
C1orf116,0.8017,1.198223438257659e-32,140
RASA1,0.8013,1.3859532809832626e-32,140
SCG5,0.8013,1.3805708609175522e-32,140
GBP5,0.801,1.498552837856195e-32,140
SMOC2,0.8005,1.732832975406184e-32,140
RBP1,0.8002,1.9228337787683364e-32,140
ASPHD2,0.8,0.0031104283103858456,11
RASGRF2,0.7997,2.533510227716602e-22,95
BCL2L15,0.7997,2.2417810003588492e-32,140
SEPTIN1,0.7995,2.367149809183856e-32,140
ARHGAP4,0.7992,2.6153168518105585e-32,140
SLIT3,0.7992,2.583936919325567e-32,140
PRRX1,0.7992,2.100794246104406e-27,118
A2ML1,0.799,2.869839115448729e-26,113
KRT7,0.7978,4.0507445078470896e-32,140
ANLN,0.797,1.7112960211656279e-28,124
NGFR,0.7968,1.1352542016645416e-30,134
HGD,0.7966,5.698664872763501e-32,140
