gene,tumor_r,normal_r,delta_r
RPUSD1,0.3297,-0.6545,0.9842
NPHP3,0.1645,-0.7212,0.8856999999999999
FAM149B1,0.1639,-0.7215,0.8854
LRRK1,0.2191,-0.606,0.8251
ZBTB12,0.2058,-0.6018,0.8076
HFE,0.3871,-0.4195,0.8066
TANGO6,0.3752,-0.3831,0.7583
WHAMM,0.1548,-0.6,0.7547999999999999
MORN2,0.024,-0.6909,0.7149
C1QTNF3,0.2085,-0.5035,0.712
SNX19,0.0904,-0.6159,0.7063
FSD1,0.4976,-0.1581,0.6557
PTPDC1,0.2095,-0.4308,0.6403
BTBD1,0.2682,-0.3666,0.6348
ERC2,0.0645,-0.5636,0.6281
STK17A,0.2904,-0.33,0.6204000000000001
TADA2A,-0.1386,-0.7486,0.6100000000000001
NFIB,0.1915,-0.4028,0.5943
RAB11FIP3,0.5371,-0.0553,0.5924
SH2D3C,0.4277,-0.1636,0.5913
MGAT4B,0.134,-0.4545,0.5885
MAGIX,0.4791,-0.1091,0.5882000000000001
TTLL11,0.1155,-0.4725,0.588
PLEKHG5,0.0687,-0.5175,0.5861999999999999
FAM219B,0.0998,-0.478,0.5778
PIH1D2,0.7258,0.1545,0.5713
DUSP16,0.1565,-0.4121,0.5686
ABHD17A,0.1485,-0.4196,0.5680999999999999
B4GALT7,0.2732,-0.2887,0.5619000000000001
PPP1R16A,0.151,-0.4085,0.5595
DSC1,-0.037,-0.5909,0.5539
RNF6,0.4799,-0.0732,0.5531
RCAN3,0.0627,-0.4902,0.5529000000000001
RBM12B,0.5145,-0.0374,0.5519
ZSCAN2,-0.0709,-0.6182,0.5473
SNX12,0.2333,-0.3129,0.5462
SEPTIN3,0.7345,0.1887,0.5458000000000001
PPM1D,0.4302,-0.1155,0.5457000000000001
IGLV4-69,0.4782,-0.0667,0.5449
MAGEA10,0.6361,0.1,0.5361
GPAT3,0.3667,-0.1679,0.5346
RBAK,0.1207,-0.4121,0.5328
UBIAD1,0.4279,-0.0909,0.5188
WIPI2,0.2306,-0.2866,0.5172
IRF5,0.5985,0.0882,0.5103
NAA80,0.233,-0.2747,0.5077
LYSMD3,-0.049,-0.5565,0.5075
ZNF417,0.148,-0.3566,0.5045999999999999
VPS4B,0.5916,0.0895,0.5021
ZYG11B,0.2985,-0.2035,0.502
CITED2,0.559,0.0604,0.49860000000000004
AMD1,0.5012,0.0029,0.49829999999999997
CBWD2,0.3922,-0.1054,0.4976
SLC20A1,0.3322,-0.1636,0.4958
IFRD2,0.3588,-0.1333,0.4921
VHL,0.2519,-0.2355,0.4874
LRRC6,0.6996,0.2168,0.4828
ZSCAN31,0.2425,-0.2399,0.4824
ASB13,0.0513,-0.4303,0.48160000000000003
LIPT1,0.2207,-0.2596,0.4803
UBALD2,0.5767,0.0979,0.4788
CD247,0.5883,0.1119,0.47640000000000005
PEX11B,0.1043,-0.3679,0.4722
PLA2G4F,0.359,-0.1119,0.4709
ZNF446,0.3465,-0.122,0.46849999999999997
SIGLEC7,0.6422,0.1758,0.4664
ZNF575,-0.1723,-0.6364,0.46409999999999996
DEF8,0.0801,-0.3795,0.4596
SERPINA7,0.1441,-0.3111,0.4552
BHLHE40,0.4565,0.0022,0.45430000000000004
CDC37,0.4203,-0.0338,0.4541
XIRP1,0.4349,-0.0182,0.4531
SYN1,0.0613,-0.3897,0.451
OFD1,0.1525,-0.2972,0.4497
LIPG,0.5424,0.0976,0.4448
MRE11,0.341,-0.1028,0.44380000000000003
TUBB8,-0.0685,-0.5118,0.4433
H3-2,-0.0463,-0.4895,0.4432
ATXN7,0.3715,-0.0701,0.4416
NCK1,0.4797,0.0383,0.4414
GZMH,0.7871,0.3471,0.44
TEK,0.4927,0.0545,0.43820000000000003
RSPRY1,0.391,-0.047,0.438
SMUG1,0.0808,-0.3568,0.4376
BORCS6,0.3734,-0.0641,0.4375
ABITRAM,0.1083,-0.3276,0.4359
TMEM101,0.5187,0.0839,0.4348000000000001
DROSHA,0.1904,-0.2433,0.4337
ATG5,0.2066,-0.2267,0.4333
C6orf89,0.1399,-0.2884,0.4283
FBH1,0.3422,-0.0861,0.4283
PLEKHB2,0.5535,0.1273,0.4262
ENTPD4,-0.0227,-0.447,0.4243
TAF4,0.3786,-0.0429,0.4215
RWDD3,0.3668,-0.0546,0.4214
WDR44,0.6458,0.228,0.41780000000000006
GRIP1,0.4243,0.0078,0.41650000000000004
PUM2,0.4336,0.0171,0.4165
REV3L,0.3351,-0.0813,0.4164
GFER,0.066,-0.3501,0.4161
ITPKB,0.4177,0.0016,0.4161
TFG,0.4052,-0.0098,0.415
CCNDBP1,0.2442,-0.1695,0.4137
PRKCA,0.5869,0.176,0.4109
NEIL1,0.3678,-0.0429,0.4107
LENG8,0.1738,-0.2352,0.40900000000000003
PPP1R11,0.2634,-0.1452,0.4086
C10orf88,0.2562,-0.1516,0.4078
PCBP2,0.0924,-0.3153,0.4077
SIGLEC14,0.5461,0.1399,0.4062
ZKSCAN4,0.2369,-0.1662,0.4031
GFOD2,-0.0119,-0.4142,0.4023
ZBED3,0.4586,0.0567,0.40190000000000003
MDM1,0.5378,0.1384,0.3994
ZBTB48,0.0955,-0.3036,0.3991
IGLV5-48,0.2701,-0.1285,0.3986
SNX8,0.5155,0.1169,0.39859999999999995
DEAF1,0.0619,-0.3366,0.3985
TOPORS,-0.0002,-0.3978,0.3976
CPNE5,0.1437,-0.2536,0.3973
TOMM6,0.0955,-0.2988,0.3943
EFNA4,0.4538,0.0604,0.39339999999999997
ASDURF,0.2342,-0.1579,0.3921
RANBP9,0.3729,-0.0183,0.3912
PARD3,0.6116,0.2224,0.38920000000000005
KIAA1958,0.6494,0.2606,0.3888
FAM50A,0.4882,0.0995,0.38870000000000005
WDR1,0.2091,-0.1794,0.3885
CDCA7L,0.6288,0.2415,0.38730000000000003
ATP6V1E1,0.1893,-0.1978,0.3871
TMEM94,0.1415,-0.2455,0.387
KLHL36,0.3183,-0.0683,0.38660000000000005
ARHGEF11,0.0811,-0.3054,0.3865
GTF2A1,0.3345,-0.0512,0.38570000000000004
TUBG2,0.3172,-0.0673,0.38449999999999995
HMGN3,0.3058,-0.0786,0.3844
PPP1R3B,0.5799,0.1958,0.3841
HERC4,0.4569,0.0728,0.3841
TTC8,0.3913,0.0085,0.3828
OXSR1,0.3835,0.0011,0.3824
TRAK1,0.3971,0.015,0.3821
RAD54B,0.4424,0.0604,0.382
PPDPF,0.1307,-0.251,0.38170000000000004
SDCBP,0.4145,0.0332,0.3813
UBL4A,0.3931,0.012,0.3811
FNTA,0.389,0.0082,0.3808
CCDC14,0.2021,-0.1786,0.38070000000000004
BRPF3,0.0147,-0.3659,0.3806
LRRC32,0.3783,0.0,0.3783
NDUFAF7,0.4078,0.03,0.3778
RIOK3,0.3934,0.016,0.3774
C19orf53,0.3328,-0.0441,0.3769
MTMR14,0.4646,0.0879,0.37670000000000003
KLF16,0.141,-0.2352,0.3762
FAM104A,0.3075,-0.0667,0.3742
SCARF2,0.3608,-0.0133,0.3741
R3HCC1L,0.3688,-0.004,0.3728
TAF9B,0.1641,-0.2085,0.3726
MAF1,0.3096,-0.063,0.3726
PMS1,0.3169,-0.0552,0.3721
TRANK1,0.3907,0.0188,0.3719
PRMT7,0.3181,-0.0534,0.3715
PIN1,0.3082,-0.0632,0.37139999999999995
NPHP4,0.2712,-0.1001,0.37129999999999996
SNAPC5,0.1455,-0.2256,0.3711
C7orf57,0.7006,0.3301,0.3705
SNX15,0.4816,0.1121,0.36949999999999994
SMG9,0.0887,-0.2795,0.3682
BCL2L12,0.1803,-0.1879,0.36819999999999997
IKZF5,0.1922,-0.1755,0.3677
ZNF524,0.4087,0.0418,0.3669
MSL1,0.2212,-0.1455,0.3667
DNAJB13,0.8005,0.4342,0.3663
C12orf4,0.0377,-0.3282,0.3659
HLA-DQB2,0.438,0.0725,0.3655
ATG7,0.5832,0.2181,0.3651000000000001
SHPRH,0.2322,-0.1328,0.365
GTDC1,0.3528,-0.0113,0.3641
PTPN4,-0.1963,-0.5602,0.3639
SPIN3,0.3336,-0.0302,0.3638
NEFL,0.3806,0.0174,0.36319999999999997
CC2D1B,0.474,0.1109,0.3631
TBC1D16,0.5243,0.1614,0.3629
KRT75,0.4116,0.0492,0.3624
BRD4,0.2987,-0.0634,0.36210000000000003
KIAA0586,-0.1138,-0.4758,0.362
CCDC82,0.1684,-0.1931,0.3615
CROCC,0.6194,0.2599,0.35949999999999993
USP4,0.5684,0.2095,0.3589
FAM168A,0.4691,0.1115,0.35760000000000003
SCMH1,0.2349,-0.1211,0.356
BTF3L4,0.4006,0.0447,0.3559
HMGXB3,-0.1244,-0.4801,0.3557
ATP6V1B2,0.5391,0.1836,0.35550000000000004
UHRF1BP1,0.6043,0.2488,0.3554999999999999
GLCCI1,0.456,0.1009,0.3551
ARAP1,0.3725,0.0183,0.3542
VPS16,0.097,-0.2568,0.3538
PPP2R5B,0.3609,0.0076,0.3533
ERI3,-0.1348,-0.4877,0.3529
PJA1,0.1583,-0.1944,0.3527
CCDC110,0.237,-0.1152,0.35219999999999996
PWP2,0.2203,-0.1309,0.35119999999999996
ZNF318,0.5661,0.215,0.3511000000000001
ZNRF1,0.3255,-0.0255,0.35100000000000003
PRKACB,-0.0099,-0.3606,0.35069999999999996
BRCA2,-0.2421,-0.5927,0.3506
SP140L,0.6239,0.2745,0.3494
PANK2,0.1156,-0.2337,0.3493
STK17B,0.5475,0.1989,0.3486
PLAUR,0.5926,0.2445,0.3481
CREB3L1,0.2042,-0.1429,0.34709999999999996
KATNB1,0.4295,0.0832,0.3463
N6AMT1,0.2927,-0.0534,0.3461
HEATR6,0.4861,0.14,0.34609999999999996
PABPC1L,-0.339,-0.6848,0.34579999999999994
CD7,0.405,0.0593,0.3457
PIP4P2,0.4151,0.0715,0.3436
INPP4A,0.5259,0.1828,0.34310000000000007
ANKS3,0.0856,-0.2575,0.3431
PRDM16,0.421,0.0781,0.3429
H2AC21,0.1391,-0.2036,0.3427
AKNA,0.4965,0.154,0.3425
GTSE1,0.4805,0.1382,0.3423
BABAM1,0.0892,-0.2521,0.3413
KIAA0556,0.5635,0.2226,0.3409
TFDP2,0.53,0.1903,0.3397
SMIM8,0.1025,-0.2369,0.3394
ARHGEF38,0.7633,0.424,0.3393
GK,0.4447,0.1054,0.3393
ATP1A3,-0.372,-0.7111,0.33909999999999996
POT1,0.212,-0.1267,0.3387
