gene,spearman_r,p_value,n_samples
PLA2G4A,0.96,5.224617129252444e-17,30
GLYATL2,0.9573,1.2685049691700175e-16,30
TCEAL5,0.9561,1.8330306073288645e-16,30
DST,0.9528,4.956085734809713e-16,30
TUSC3,0.9494,1.4338294151043598e-13,26
HNF1B,0.9464,9.447938510352375e-08,15
ROBO2,0.9462,3.0237490123810355e-15,30
CENPI,0.9455,1.1183037701493194e-05,11
LYPLAL1,0.9453,3.782858453237486e-15,30
ACSS3,0.9439,5.256919436530227e-15,30
DTL,0.9412,5.588937633072706e-08,16
VSNL1,0.9412,1.827557490630062e-08,17
RRM2,0.9403,1.2504810387514467e-14,30
PALM2AKAP2,0.94,1.3194410169498199e-14,30
CA8,0.94,1.3154602952209912e-14,30
STAT1,0.9396,1.4592856229182963e-14,30
NECTIN4,0.9391,1.6078616545419808e-14,30
MAP1A,0.9386,1.8227343723566232e-14,30
RAB3B,0.9364,2.2082076449177507e-05,11
ANXA1,0.9363,3.025207241876676e-14,30
GBP1,0.9361,3.102493683180429e-14,30
KHDRBS3,0.9358,3.325411612641579e-14,30
WDHD1,0.9358,3.325411612641579e-14,30
ALCAM,0.9356,3.48562471724604e-14,30
OAS3,0.9355,3.562990060341984e-14,30
GPHN,0.9353,3.675011416067549e-14,30
GBP5,0.934,4.8230493893963267e-14,30
OAS2,0.9335,5.413994756766307e-14,30
AS3MT,0.933,5.9271250326333e-14,30
SPAG1,0.9327,6.350616780947898e-14,30
CEMIP,0.9325,7.631288718025096e-10,21
EZH2,0.9323,6.924145560036432e-14,30
PGR,0.9301,1.0489659880778112e-13,30
A2ML1,0.9285,2.2541567407065483e-11,25
CLGN,0.9283,1.4797767037767178e-13,30
TSPAN8,0.9274,1.7832030140047147e-13,30
SLC1A3,0.9273,0.00011203450639397586,10
PALM3,0.9266,2.0633090583681943e-13,30
FKBP10,0.9262,2.1906703118131695e-13,30
KIF4A,0.9258,2.3764978266526233e-13,30
PLEKHS1,0.9257,2.4215298324126303e-13,30
ALDH1A1,0.9257,2.4215298324126303e-13,30
LEF1,0.9254,2.5767892859731736e-13,30
STON1,0.9254,3.602809817014582e-11,25
LAD1,0.924,3.2750326825701675e-13,30
FERMT1,0.9238,3.407118724718325e-13,30
RSPO3,0.9231,1.8621951098680993e-05,12
ME3,0.9231,3.8334694013095984e-13,30
RCOR2,0.9226,7.787737917662608e-12,27
GBP2,0.9221,4.559200327210238e-13,30
FBXL7,0.9214,1.0713172981620741e-06,15
HOMER2,0.9213,5.222943065073995e-13,30
GPCPD1,0.9212,5.315614336464901e-13,30
PCDH7,0.9212,5.315614336464901e-13,30
F13A1,0.9204,6.186441760336261e-13,30
THSD4,0.9199,6.66958141512637e-13,30
HERC5,0.9198,6.805893114402761e-13,30
IQGAP2,0.9198,6.805893114402761e-13,30
MAP1B,0.9198,6.805893114402761e-13,30
MSRB3,0.9192,7.482305325409538e-13,30
SH2D4A,0.919,7.741983213747138e-13,30
MCM2,0.9182,8.821837933066304e-13,30
AXIN2,0.9182,6.661451941355569e-05,11
HIP1R,0.9176,9.843888979979943e-13,30
CROT,0.9171,1.0616521696906797e-12,30
C19orf33,0.9165,1.179312209779127e-12,30
SLC27A6,0.9163,1.977807850765498e-11,27
DCDC2,0.9162,1.222336373104059e-12,30
PHYHIPL,0.916,1.2668048611472026e-12,30
DOCK5,0.9155,1.3825171107677725e-12,30
YBX2,0.9141,1.7053046329496424e-12,30
KANK4,0.9141,1.7071378982324888e-12,30
HCLS1,0.9141,1.7071378982324888e-12,30
NCAPH,0.9136,1.8648642446111754e-12,30
PCDH19,0.913,3.103955933235042e-09,22
CDH2,0.9123,2.2631386688663257e-12,30
PYGO1,0.9113,4.002393673290397e-11,27
MMP10,0.9113,2.624657126510197e-12,30
TACC1,0.911,2.772958289792673e-12,30
LILRB4,0.911,9.374088176264448e-07,16
IFIT1,0.9109,2.8073152489693143e-12,30
FAM83B,0.9106,2.688503221775689e-10,25
SPC24,0.9105,2.956333529613787e-12,30
TESC,0.9102,3.103378910337739e-12,30
NAV1,0.91,3.2082949184577117e-12,30
MPPED2,0.9099,3.2668401795865323e-12,30
PPM1H,0.9097,3.336289971354499e-12,30
SULF2,0.9096,3.4280074602676586e-12,30
TFRC,0.9096,3.4280074602676586e-12,30
