gene,spearman_r,p_value,n_samples
PLEKHS1,0.9539,1.3543253960504195e-54,103
RRM2,0.949,1.89074085338464e-52,103
LDLRAD1,0.9469,7.985788731245046e-14,27
MAP1B,0.9441,1.8350357671682245e-50,103
CRYBG1,0.9399,6.208290080617451e-49,103
GLYATL2,0.9398,6.485416116070605e-49,103
CAPS,0.9356,1.8374116754618005e-47,103
CA8,0.9354,2.046906443426471e-47,103
AGR2,0.9305,7.280470519336265e-46,103
OAS2,0.9295,1.5569982250149018e-45,103
HOMER2,0.9289,2.316726871154575e-45,103
HSD11B1,0.9286,4.607427269933691e-06,13
SFN,0.9269,8.699165219366343e-45,103
DACH1,0.9266,1.0809386649185139e-44,103
PGR,0.9254,2.381283886462852e-44,103
FAM167A,0.9253,2.136570349610813e-06,14
TPPP3,0.9251,2.9180244109966246e-44,103
PHYHIPL,0.925,3.1609491746508485e-44,103
C1orf116,0.925,3.0755261130909397e-44,103
RASAL1,0.9229,1.154587747569494e-43,103
IGF2BP2,0.9191,1.1992982637631132e-42,103
PAPSS2,0.9189,1.3992339668157292e-42,103
NCAPH,0.9183,1.9276984094268805e-42,103
CASP10,0.9181,2.1452026827214196e-42,103
IQGAP2,0.9175,3.1518455348338594e-42,103
LAD1,0.9174,3.2502129158552083e-42,103
SFTPD,0.9161,2.8428045348547132e-05,12
COL8A1,0.9161,2.8428045348547132e-05,12
PPM1H,0.9159,7.723477666276175e-42,103
CGN,0.9158,8.500774245284701e-42,103
FKBP10,0.9149,1.3736022610592018e-41,103
MYH14,0.9143,1.9152312118419174e-41,103
SLC9A3R1,0.9143,1.9418637574412704e-41,103
MAP1A,0.914,2.3043028870352073e-41,103
FAM83B,0.9135,3.9453097528758453e-36,90
TNFAIP2,0.913,4.084943449705298e-41,103
MISP,0.9127,4.794482733469124e-41,103
LEF1,0.9126,5.166976667273188e-41,103
TPX2,0.9125,5.34360983854941e-41,103
TESC,0.9125,5.244522014241807e-41,103
HGD,0.9114,9.594737341163642e-41,103
MAPK11,0.9109,5.951060951647864e-06,14
CCL24,0.9106,1.528912324371962e-05,13
PLA2G4A,0.9097,2.4581509574090605e-40,103
JSRP1,0.909,5.405117106059619e-11,27
SH2D4A,0.9073,8.661407529570811e-40,103
SULT2B1,0.907,1.889573385217993e-37,97
PRTFDC1,0.907,1.0405379692597618e-39,103
UHRF1,0.9067,1.191100944809645e-39,103
SPAG1,0.9065,1.332401401550127e-39,103
NNMT,0.9064,1.4174800114454068e-39,103
AGR3,0.9055,2.21628680342421e-39,103
NECTIN4,0.9049,2.905687426220693e-39,103
STK33,0.9048,3.149856922518697e-39,103
KIF13B,0.904,4.664720190649977e-39,103
